drug,jewelry,album,abstract,artist,driver,dish,item,animal,tent,maid,cleaner,valve,flutist,lunchbox,cook,quilt,illustrator,fish,pie,song,roadtripper,cello,cellist,potter,carpet,countertop,van,pepper,poem,vegetable,racer,portraitist,packaging,dressmaker,wall,photographer,blogger,professor,container,cloth,novelist,tuna,stone,cardboard,screw,broadcaster,turkey,peddler,potato,patissier,beard,mountain,thread,clarinetist,soloist,teacher,cameraman,woman,shirt,businesswoman,mason,man,surface,meat,gem,scribe,jet,herb,surgeon,scene,fillet,letter,worker,saleswoman,code,dancer,student,aircraft,machine,board,building,narrator,toy,comedian,dough,tractor,pastry,landscape,canvas,seamster,marble,stubble,hairdresser,material,script,piano,painter,CD,mushroom,trader,bike,pianist,blanket,truck,bottle,wound,barber,concerto,model,salmon,upholsterer,glass,author,backpacker,lotion,traveller,vehicle,verse,tailor,passage,waiter,ingredient,silk,mover,pumpkin,book,panel,duffle,report,telemarketer,carver,waitress,novel,basket,doctor,line,baker,yarn,backpack,sideburn,essay,instrument,bus,make,businessman,SUV,proposal,section,sonata,motorcycle,bag,choreography,product,singer,routine,cut,seamstress,captain,tank,food,clay,steak,bowl,pattern,view,pizza,caterer,confectioner,mirror,journalist,salesman,notetaker,flute,tub,convertible,pot,sculptor,ice,cake,aviator,suitcase,pilot,clarinet,lake,janitor,car,magazine,jacket,wood,cotton,chauffeur,hat,violin,essayist,poet,announcer,wool,shopkeeper,chef,snack,cushion,clerk,camper,person,violinist,orator,artisan,housekeeper,handle,dealer,bedding,musician,butcher,crate,actor,lady,motorist,bread,fabric,silverware,hiker,floor,kite,plane,busboy,paper,jeweler,coat,windshield,window,knob,drummer
2,1,1,2,5,5,1,1,5,2,5,5,2,5,1,5,1,5,3,2,2,4,2,5,4,1,1,3,1,2,1,5,5,2,5,1,4,4,5,1,1,5,3,1,1,2,5,1,5,1,4,1,1,1,5,5,5,4,4,1,5,5,4,1,1,1,5,3,1,5,1,1,2,5,5,2,5,5,1,3,2,1,4,3,5,1,2,2,1,1,5,1,1,5,1,1,2,5,2,2,5,2,5,1,3,1,2,5,2,4,3,5,2,5,4,1,5,3,2,5,1,5,1,1,5,2,1,1,1,2,5,5,5,1,1,5,1,5,1,2,1,2,2,3,2,5,3,2,3,2,3,2,2,1,5,2,2,5,5,3,1,1,1,1,1,2,1,5,5,2,5,5,5,2,1,3,1,5,1,1,5,1,5,2,1,5,3,1,2,1,1,4,1,2,5,4,5,1,4,5,2,1,4,4,4,5,5,4,5,1,5,1,5,5,1,5,4,5,2,1,2,5,1,3,3,4,1,5,2,2,1,1,5
3,1,1,1,4,5,1,1,4,1,5,5,1,5,1,5,1,5,3,1,1,5,1,5,5,1,1,1,1,1,1,5,5,1,5,1,5,5,5,2,1,5,1,1,1,1,5,1,5,1,5,1,1,1,5,5,5,5,5,1,5,5,5,1,1,1,4,4,2,5,1,1,2,4,5,2,5,4,4,3,1,1,5,1,5,1,2,1,1,1,5,1,1,5,1,1,1,5,1,1,5,1,5,1,2,1,1,5,1,4,3,5,1,5,5,2,5,2,1,5,1,4,1,1,5,1,1,1,1,1,5,5,4,1,1,4,1,5,1,1,1,1,1,2,1,5,2,1,1,1,2,1,1,1,5,1,1,5,5,2,1,1,1,1,1,1,1,5,5,3,5,5,5,1,1,2,1,5,1,1,5,1,5,1,1,5,2,1,1,1,1,5,1,1,5,5,5,1,5,5,1,2,5,5,4,5,5,5,5,1,5,1,5,5,1,5,4,5,1,1,1,5,1,2,2,5,1,5,1,1,1,1,5
5,2,4,1,5,5,2,4,5,1,5,5,5,5,3,5,5,5,5,4,5,5,3,5,5,2,1,4,5,4,5,4,4,4,5,2,5,4,5,4,4,5,3,2,2,1,5,3,3,1,5,3,2,3,5,5,5,4,5,3,5,4,5,3,1,1,5,2,3,5,2,3,1,5,5,1,4,5,3,4,3,3,5,5,5,5,4,4,2,2,5,2,1,5,2,2,3,5,3,3,5,5,5,2,4,1,2,5,3,5,3,5,2,5,3,1,5,3,1,5,3,5,1,4,3,2,3,1,2,1,3,5,5,3,2,5,4,5,2,3,2,2,2,4,3,5,4,1,3,3,5,2,1,3,4,2,2,5,5,5,3,1,2,1,1,1,1,5,4,2,5,5,5,3,2,2,3,5,2,2,5,2,5,5,4,5,5,2,3,3,3,2,2,4,5,5,5,2,5,5,1,2,4,5,5,5,5,5,5,1,3,3,5,5,2,5,4,4,2,3,3,5,2,4,3,4,3,5,3,5,3,1,5
3,3,2,3,5,4,2,2,5,1,5,4,3,5,2,5,1,5,4,2,3,3,3,5,5,1,2,3,3,3,2,4,5,2,4,2,5,5,5,3,3,5,3,2,2,2,5,3,5,2,5,2,2,2,5,5,5,5,5,2,5,5,4,1,3,2,5,3,3,5,2,3,3,4,5,4,5,5,3,4,3,2,5,3,5,2,4,3,1,2,5,2,1,5,3,4,3,5,3,2,5,3,5,2,4,2,3,5,4,4,3,5,3,5,5,2,5,4,3,5,3,4,3,2,4,3,3,2,2,4,4,5,4,3,3,5,3,5,1,3,3,3,3,3,3,5,4,3,1,3,3,3,3,2,5,3,1,5,5,3,3,1,3,1,2,3,3,5,5,3,5,5,5,3,2,3,3,5,1,3,5,2,5,3,1,5,3,2,2,1,2,5,2,3,5,5,5,2,5,5,2,2,5,5,4,5,5,5,5,2,5,2,5,5,2,5,5,5,2,1,2,5,1,2,4,5,2,5,2,2,2,3,5
4,2,2,1,5,4,1,1,3,1,4,4,4,4,1,4,1,5,3,1,2,5,1,5,5,1,1,3,1,1,1,5,5,3,5,1,5,5,5,3,1,5,1,2,1,3,5,1,5,1,5,2,3,1,5,5,5,5,3,2,5,5,3,1,1,1,5,4,1,5,1,1,1,5,5,3,5,5,4,4,1,1,5,1,5,2,4,2,1,1,5,1,2,5,1,1,2,5,1,2,5,3,5,1,4,1,2,5,1,5,3,5,2,5,5,1,5,4,1,5,2,5,2,1,5,2,2,1,1,1,5,5,5,2,2,5,1,5,2,2,1,1,2,3,1,5,2,1,1,2,4,2,2,1,5,1,3,5,5,4,1,1,1,2,1,1,2,5,5,1,5,4,5,2,2,3,2,5,3,1,5,2,4,2,2,5,4,1,1,1,1,5,1,2,5,5,5,1,4,5,1,1,4,1,3,5,5,5,4,1,5,3,4,4,1,5,3,2,1,1,2,4,1,4,5,3,1,4,2,1,1,1,4
2,1,2,2,5,4,1,3,3,2,4,3,1,5,2,4,2,5,3,1,3,5,3,4,5,1,1,3,1,3,3,5,5,2,5,3,4,4,4,3,2,5,2,2,1,3,5,1,4,1,4,1,2,3,4,5,4,5,4,2,5,4,4,1,2,1,5,3,1,5,3,1,2,4,5,3,4,4,4,3,2,3,4,3,4,2,3,1,1,1,5,1,1,4,3,3,2,5,3,2,5,3,5,2,3,1,3,5,3,4,3,5,2,4,5,2,4,3,2,5,2,4,3,1,4,1,2,2,1,2,4,5,4,3,2,4,1,4,2,2,2,2,3,3,1,4,3,3,3,3,3,2,3,2,4,4,4,5,4,3,2,1,2,3,2,2,2,4,5,1,4,4,4,3,2,3,2,5,1,1,5,3,4,2,1,4,3,3,1,2,1,3,2,3,5,5,5,1,4,4,3,2,4,4,4,5,5,4,4,2,4,1,5,4,1,5,4,4,1,2,1,5,1,3,3,4,2,5,1,1,1,2,5
1,1,1,1,5,5,1,1,4,1,5,3,2,5,2,5,2,4,3,1,3,3,1,5,3,2,3,3,1,3,2,5,5,3,5,1,5,5,4,3,1,5,2,1,1,3,5,1,5,2,5,2,1,2,5,5,5,5,4,2,5,5,4,3,2,1,1,4,2,5,2,1,2,3,5,2,5,4,4,3,2,3,5,2,5,1,4,2,1,3,5,1,1,5,2,2,2,5,2,2,5,2,5,1,3,2,1,5,5,5,3,5,2,5,4,1,5,4,2,5,2,5,2,1,5,2,3,1,1,3,5,5,5,4,2,5,2,5,1,3,1,3,2,3,2,5,3,4,2,2,3,3,2,3,5,2,1,5,5,4,3,1,1,2,2,1,2,5,5,2,5,5,5,2,2,2,3,5,1,1,5,3,5,1,3,5,3,2,2,1,1,5,1,1,5,5,5,2,5,5,1,1,5,5,4,5,5,5,4,2,5,2,5,5,3,5,4,5,1,1,1,5,2,3,3,5,3,5,2,2,2,1,5
4,1,1,1,5,5,1,1,1,1,5,3,1,3,1,1,1,5,1,1,2,4,1,3,4,1,1,2,1,3,2,4,2,2,2,3,5,2,5,2,1,5,1,1,1,1,3,1,1,1,1,1,1,1,1,1,5,2,5,1,5,1,5,1,1,1,1,1,1,4,1,1,1,5,5,1,4,5,1,1,1,1,4,1,5,1,1,1,1,1,1,1,1,3,1,1,1,4,1,1,4,1,4,1,1,1,1,4,1,4,1,1,1,5,5,1,3,1,1,4,1,4,1,1,3,1,1,1,1,1,5,4,5,1,1,5,1,2,1,3,1,1,1,1,1,5,1,2,1,1,1,1,3,1,4,1,1,4,5,1,1,1,1,1,1,2,1,4,4,1,4,5,4,1,1,1,1,5,1,3,5,1,5,1,1,5,1,1,1,1,1,5,1,1,5,5,5,1,5,4,1,1,3,3,5,4,4,4,4,1,5,1,1,5,1,5,5,5,1,1,1,4,1,1,1,4,1,4,1,1,1,1,4
2,1,3,2,4,4,2,3,3,1,4,4,1,4,1,4,1,4,3,1,1,4,1,4,4,1,1,1,1,2,1,4,4,1,4,1,4,4,4,1,1,4,2,1,1,1,4,1,4,2,4,1,2,1,4,4,4,4,4,1,5,4,4,1,1,1,4,4,2,4,1,1,2,4,4,2,4,3,3,3,1,1,5,2,4,1,3,1,1,1,4,1,1,4,1,1,1,4,2,2,4,2,4,1,2,1,2,4,2,4,3,4,1,4,4,1,4,3,2,4,2,4,1,1,4,1,1,1,1,1,4,4,4,2,1,4,2,4,1,1,1,2,2,2,1,4,2,3,1,2,3,1,2,1,4,2,2,4,4,2,1,1,1,1,2,1,1,4,4,1,4,4,4,2,1,2,1,4,1,1,4,1,4,2,2,4,2,1,1,1,1,4,1,2,4,4,4,1,4,4,1,1,4,4,4,4,4,4,4,1,4,1,4,4,1,4,4,4,1,1,1,4,1,2,3,4,1,4,1,1,1,1,4
3,2,1,2,5,5,1,2,4,1,5,5,3,5,1,5,2,5,4,1,3,5,1,5,5,2,1,3,3,3,1,5,5,1,5,1,5,5,5,2,1,5,3,1,1,3,4,1,5,1,5,2,1,2,5,5,5,5,3,1,5,5,3,1,1,1,5,3,1,5,1,1,1,5,5,4,5,5,3,4,1,1,5,3,5,2,3,1,1,1,5,1,1,5,1,3,2,5,1,3,5,3,5,1,3,1,3,5,1,5,4,5,1,5,5,1,5,3,2,5,1,5,3,2,5,1,2,1,1,1,5,5,5,1,2,5,1,5,2,2,1,1,3,4,1,5,3,1,1,1,3,2,1,1,5,3,1,5,5,4,1,1,1,2,1,1,1,5,5,2,5,5,5,1,1,3,2,5,2,1,5,1,5,1,1,5,3,1,1,1,1,5,1,2,5,5,5,1,5,5,1,1,5,5,3,5,5,5,5,1,5,1,5,5,1,5,3,5,1,1,3,5,1,3,4,5,1,5,1,1,1,3,5
