noun,nsubj,dobj,subj_ratio,label
sideburn,0,32,0.0,patient
backpack,2789,37088,0.06994006570203376,patient
suitcase,27210,254733,0.09650886881390919,patient
snack,8157,65935,0.11009285752847811,patient
bike,26794,204974,0.11560698629664147,patient
jacket,165035,1055165,0.13525241763645304,patient
bag,432054,2653272,0.14003512108607,patient
bottle,482115,2874330,0.1436385818924487,patient
shirt,331356,1922150,0.1470402120074231,patient
blanket,105112,575248,0.15449467928743607,patient
hat,767568,3996321,0.16112214201464392,patient
handle,166327,773430,0.17698937065645692,patient
violin,51686,232940,0.18159268654304245,patient
motorcycle,8687,38525,0.1839998305515547,patient
windshield,3437,14990,0.1865197807564986,patient
pizza,17157,71665,0.19316160410709057,patient
knob,45348,175430,0.2054009004520378,patient
coat,846731,3235409,0.2074233122822833,patient
basket,201688,764036,0.20884641988808397,patient
glass,1201018,4473982,0.21163312775330395,patient
cello,2617,9706,0.21236711839649436,patient
bread,859104,3128469,0.21544533479387085,patient
jewelry,34714,119205,0.22553420955177722,patient
steak,34677,118805,0.22593528882865743,patient
bowl,263635,892105,0.22810926332912246,patient
cake,212318,710726,0.230019370690888,patient
cushion,34833,113513,0.23480916236366334,patient
pot,294775,900954,0.24652325066967515,patient
quilt,39848,121594,0.2468254853136111,patient
flute,47968,144885,0.24872830601546256,patient
lunchbox,161,486,0.24884080370942813,patient
piano,202727,601279,0.2521461282627244,patient
letter,8061085,22893160,0.2604193705903665,patient
tent,205653,581581,0.2612349060126976,patient
toy,57251,158309,0.26559194655780294,patient
pastry,11517,31112,0.2701681953599662,patient
food,4505666,11615001,0.279496251612914,patient
yarn,63177,159550,0.28365218406389886,patient
pie,100529,252878,0.28445673119094983,patient
dough,113785,285826,0.28473940907532574,patient
meat,823364,1979346,0.29377423993206575,patient
cloth,422139,992019,0.2985090774863912,patient
dish,265050,602607,0.3054778558808377,patient
cardboard,5241,11310,0.31665760377016494,patient
pepper,172625,363100,0.32222688879555744,patient
song,1717023,3501329,0.32903548859869935,patient
convertible,5242,10456,0.333927888903045,patient
