noun,avg_LL_delta
abstract,-0.25
actor,0.875
aircraft,1.398193359375
album,-0.75048828125
animal,0.34375
announcer,0.45263671875
artisan,0.43701171875
artist,0.18798828125
author,0.71826171875
aviator,1.15625
backpack,-0.109375
backpacker,0.21875
bag,0.1875
baker,0.29736328125
barber,-0.50048828125
basket,-0.46875
beard,0.171875
bedding,-0.46826171875
bike,-0.40625
blanket,-0.171875
blogger,0.140625
board,-0.37451171875
book,-0.265625
bottle,-0.40576171875
bowl,-0.56201171875
bread,-0.046875
broadcaster,0.17919921875
building,0.74169921875
bus,0.78076171875
busboy,0.17236328125
businessman,0.140625
businesswoman,0.125
butcher,-0.23486328125
cake,-0.35986328125
cameraman,0.171875
camper,0.92919921875
canvas,-0.28125
captain,1.640380859375
car,0.640625
cardboard,-0.65625
carpet,-0.265625
carver,-0.35986328125
caterer,0.109375
cd,0.0
cellist,0.078125
cello,-0.71923828125
chauffeur,1.171875
chef,1.09375
choreography,-0.3671875
clarinet,-0.49951171875
clarinetist,-0.21923828125
clay,-0.421875
cleaner,0.65625
clerk,0.4375
cloth,-0.42138671875
coat,0.21875
code,0.421875
comedian,0.0
concerto,-0.53125
confectioner,-0.34326171875
container,-0.1875
convertible,0.375
cook,0.53125
cotton,-0.74951171875
countertop,0.34375
crate,-0.578125
cushion,-0.28125
cut,-0.15625
dancer,-0.10986328125
dealer,1.616455078125
dish,-0.140625
doctor,-0.53125
dough,0.078125
dressmaker,-0.15625
driver,0.79736328125
drug,0.26513671875
drummer,-0.78857421875
duffle,0.03125
essay,0.421875
essayist,0.42236328125
fabric,-0.39013671875
fillet,-0.546875
fish,0.0
floor,-0.26611328125
flute,-0.484375
flutist,-0.203125
food,0.109375
gem,-0.890869140625
glass,-0.48388671875
hairdresser,0.0
handle,0.03125
hat,-0.171875
herb,0.265625
hiker,0.0625
housekeeper,0.375
ice,-0.140625
illustrator,0.0
ingredient,0.5859375
instrument,-0.21826171875
item,0.34375
jacket,0.1875
janitor,0.796875
jet,0.484375
jeweler,-0.5625
jewelry,-0.57763671875
journalist,0.6015625
kite,0.375
knob,-0.140625
lady,0.265625
lake,-0.03125
landscape,0.7890625
letter,0.45263671875
line,0.53125
lotion,0.09375
lunchbox,-0.68798828125
machine,0.265625
magazine,0.1640625
maid,1.125
make,0.17138671875
man,0.51513671875
marble,-1.0
mason,0.0
material,0.34375
meat,-0.015625
mirror,-0.515625
model,0.15673828125
motorcycle,-0.125
motorist,0.765625
mountain,-0.28125
mover,1.249755859375
mushroom,-0.15625
musician,-0.328125
narrator,0.93701171875
notetaker,0.4375
novel,0.828125
novelist,0.93798828125
orator,0.046875
packaging,-0.015625
painter,0.43701171875
panel,-0.1875
paper,-0.3125
passage,0.96826171875
pastry,-0.046875
patissier,-0.21875
pattern,-0.171875
peddler,0.28125
pepper,0.45263671875
person,0.359375
photographer,-0.078125
pianist,-0.46875
piano,-1.015869140625
pie,0.03125
pilot,2.046875
pizza,-0.390625
plane,1.234130859375
poem,-0.09375
poet,0.36767578125
portraitist,0.03125
pot,-0.421875
potato,-0.296875
potter,-0.34375
product,0.5
professor,-0.3828125
proposal,0.0703125
pumpkin,-0.92236328125
quilt,-0.390625
racer,-0.015625
report,0.23388671875
roadtripper,0.85888671875
routine,0.3212890625
salesman,1.8212890625
saleswoman,1.61669921875
salmon,-0.265625
scene,0.8359375
screw,-0.15625
scribe,0.140625
script,-0.046875
sculptor,-0.44482421875
seamster,0.03076171875
seamstress,0.0859375
section,0.3359375
shirt,-0.078125
shopkeeper,0.48486328125
sideburn,-0.140625
silk,-0.53173828125
silverware,-0.64111328125
singer,0.265625
snack,0.109375
soloist,0.328125
sonata,-0.09375
song,0.015625
steak,-0.453125
stone,-0.484375
stubble,0.3125
student,0.203125
suitcase,0.390625
surface,-0.125
surgeon,-0.64013671875
suv,0.9140625
tailor,-0.109375
tank,0.046875
teacher,0.09375
telemarketer,0.937255859375
tent,0.171875
thread,0.09375
toy,0.26611328125
tractor,0.4375
trader,1.671875
traveller,1.078369140625
truck,0.24951171875
tub,-0.34375
tuna,-0.53125
turkey,-0.09375
upholsterer,0.26611328125
valve,0.0
van,0.60888671875
vegetable,0.0625
vehicle,0.59423828125
verse,-0.2578125
view,0.68701171875
violin,-1.124755859375
violinist,-0.83544921875
waiter,-0.109375
waitress,-0.3125
wall,-0.171875
window,0.28125
windshield,0.43798828125
woman,0.0625
wood,-0.68798828125
wool,-0.171875
worker,0.79736328125
wound,0.140625
yarn,-0.328125
