noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-0.2578125
actor,1,0.0,0.09375
aircraft,3,0.0,1.3072916666666667
album,3,0.0,0.18229166666666666
animal,2,0.0,0.3359375
announcer,2,1.0,-0.7188720703125
artisan,4,1.0,-0.89434814453125
artist,4,1.0,-0.5509033203125
author,2,0.5,0.015625
aviator,3,0.0,0.54150390625
backpack,2,0.5,-0.03125
backpacker,2,1.0,-0.5311279296875
bag,2,0.0,0.234375
baker,6,1.0,-0.5415445963541666
barber,7,1.0,-0.8974609375
basket,2,1.0,-0.09375
beard,3,1.0,-0.23958333333333334
bedding,5,0.0,0.259375
bike,4,0.0,0.109375
blanket,2,1.0,-0.359375
blogger,2,1.0,-0.2578125
board,4,1.0,-0.06640625
book,3,0.0,0.5782877604166666
bottle,2,0.0,0.3046875
bowl,2,0.0,0.2265625
bread,3,0.0,0.1875
broadcaster,2,1.0,-0.851318359375
building,2,0.0,0.4296875
bus,3,0.0,0.5623372395833334
busboy,5,1.0,-0.6154296875
businessman,3,1.0,-0.2708333333333333
businesswoman,3,1.0,-0.3125
butcher,4,1.0,-0.56610107421875
cake,3,1.0,-0.23958333333333334
cameraman,2,1.0,-0.359375
camper,2,1.0,-0.03125
canvas,4,0.0,0.171875
captain,3,0.0,0.390625
car,12,0.0,0.7396443684895834
cardboard,4,0.25,0.0234375
carpet,3,0.0,0.4375813802083333
carver,7,1.0,-0.7478376116071429
caterer,3,1.0,-0.7132975260416666
cd,3,1.0,-0.09895833333333333
cellist,2,1.0,-0.7191162109375
cello,2,1.0,-0.4609375
chauffeur,3,0.0,0.11458333333333333
chef,10,1.0,-0.7060302734375
choreography,1,1.0,-0.296875
clarinet,2,1.0,-0.586181640625
clarinetist,2,1.0,-0.9608154296875
clay,6,0.0,0.5805257161458334
cleaner,5,0.0,0.531396484375
clerk,2,1.0,-0.5621337890625
cloth,8,1.0,-0.228515625
coat,2,0.0,0.0625
code,2,0.0,1.218505859375
comedian,1,1.0,-0.703125
concerto,1,1.0,-0.593505859375
confectioner,3,1.0,-0.8699544270833334
container,2,0.0,0.234375
convertible,3,0.6666666666666666,-0.03125
cook,6,1.0,-0.5625
cotton,4,1.0,-0.19921875
countertop,3,0.0,0.3697916666666667
crate,2,0.0,0.1015625
cushion,4,0.0,0.0546875
cut,4,1.0,-0.50396728515625
dancer,1,1.0,-0.515869140625
dealer,3,0.0,0.4791666666666667
dish,2,0.0,0.2890625
doctor,2,1.0,-0.8123779296875
dough,3,0.0,0.3177083333333333
dressmaker,4,1.0,-1.070068359375
driver,7,1.0,-0.12053571428571429
drug,3,0.0,0.65625
drummer,2,1.0,-1.078125
duffle,2,0.0,0.2734375
essay,4,0.5,-0.125
essayist,2,1.0,-0.140625
fabric,20,0.5,0.0015625
fillet,3,1.0,-0.4375
fish,3,0.6666666666666666,-0.026041666666666668
floor,3,0.0,0.71875
flute,2,1.0,-0.4453125
flutist,2,1.0,-0.7342529296875
food,2,0.0,0.578125
gem,4,1.0,-0.34375
glass,4,0.0,0.3360595703125
hairdresser,7,1.0,-0.7922712053571429
handle,4,0.0,0.54693603515625
hat,3,0.0,0.23958333333333334
herb,3,0.0,0.421875
hiker,2,1.0,-0.6878662109375
housekeeper,3,1.0,-0.4947916666666667
ice,7,0.0,0.18526785714285715
illustrator,4,1.0,-0.45697021484375
ingredient,3,0.0,0.3177083333333333
instrument,2,1.0,-0.2265625
item,3,0.0,1.0157877604166667
jacket,2,0.0,0.078125
janitor,3,1.0,-0.109375
jet,3,0.0,0.9740397135416666
jeweler,4,1.0,-0.94122314453125
jewelry,3,0.3333333333333333,0.046875
journalist,2,0.0,0.109375
kite,3,0.0,0.8907877604166666
knob,4,0.0,0.65252685546875
lady,5,1.0,-0.88125
lake,2,0.0,0.203125
landscape,2,0.0,0.6558837890625
letter,2,0.0,0.375
line,2,0.0,0.5625
lotion,3,0.0,0.5623372395833334
lunchbox,2,1.0,-0.4140625
machine,8,0.875,-0.0859375
magazine,3,0.0,0.625244140625
maid,5,1.0,-0.390625
make,3,0.0,0.6043294270833334
man,5,1.0,-0.45634765625
marble,3,1.0,-0.18229166666666666
mason,3,1.0,-0.4375
material,4,0.0,0.6014404296875
meat,7,0.0,0.12946428571428573
mirror,3,0.3333333333333333,0.052083333333333336
model,2,1.0,-0.0625
motorcycle,4,0.0,0.25390625
motorist,4,0.5,0.01171875
mountain,2,0.0,0.03125
mover,2,0.0,0.421875
mushroom,3,0.3333333333333333,0.010416666666666666
musician,3,1.0,-0.9064127604166666
narrator,2,1.0,-0.3125
notetaker,2,1.0,-0.28125
novel,3,0.0,0.953369140625
novelist,2,0.0,0.265625
orator,2,1.0,-0.5234375
packaging,4,0.0,0.26171875
painter,4,1.0,-0.1796875
panel,4,0.0,0.1171875
paper,4,0.0,0.1640625
passage,6,0.6666666666666666,0.1328125
pastry,3,0.0,0.041666666666666664
patissier,3,1.0,-0.78125
pattern,5,0.0,0.121875
peddler,3,0.0,0.07291666666666667
pepper,3,0.0,0.4896647135416667
person,30,0.7333333333333333,-0.241162109375
photographer,2,1.0,-0.15625
pianist,2,1.0,-0.96875
piano,2,1.0,-0.7886962890625
pie,3,0.6666666666666666,-0.036458333333333336
pilot,7,0.0,0.5201939174107143
pizza,3,1.0,-0.22916666666666666
plane,3,0.0,1.1825358072916667
poem,2,1.0,-0.15625
poet,2,0.0,0.140625
portraitist,4,1.0,-0.51171875
pot,3,0.0,0.2916666666666667
potato,3,0.6666666666666666,-0.020833333333333332
potter,3,1.0,-0.3802083333333333
product,3,0.0,1.0885416666666667
professor,2,1.0,-0.9141845703125
proposal,2,0.0,0.570068359375
pumpkin,4,1.0,-0.78094482421875
quilt,4,1.0,-0.3359375
racer,4,1.0,-0.2734375
report,2,1.0,-0.1171875
roadtripper,2,1.0,-0.25
routine,1,0.0,0.3125
salesman,3,0.0,0.6875813802083334
saleswoman,3,0.0,0.3854166666666667
salmon,3,1.0,-0.3020833333333333
scene,1,0.0,0.4375
screw,4,0.0,0.745849609375
scribe,2,1.0,-0.34375
