verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,1.0,0.0,0.42857142857142855,1.3575575086805556,0.8814900716145834
carves,20,28,1.0,0.0,0.4166666666666667,1.259320068359375,0.8057294573102679
cleans,21,33,1.0,0.0,0.3888888888888889,1.4254789806547619,0.8333000414299242
cooks,12,33,1.0,0.0,0.26666666666666666,1.0858052571614583,0.6316583806818182
cuts,16,24,1.0,0.0,0.4,1.3280105590820312,0.5467936197916666
drives,9,27,1.0,0.0,0.25,1.4234890407986112,0.8669162326388888
embroiders,12,16,1.0,0.0,0.42857142857142855,1.10943603515625,0.5430450439453125
flies,12,12,1.0,0.0,0.5,1.320220947265625,0.78662109375
knits,20,15,1.0,0.0,0.5714285714285714,1.45623779296875,0.7311360677083333
packs,16,24,1.0,0.0,0.4,1.2207717895507812,0.7305806477864584
paints,20,28,1.0,0.0,0.4166666666666667,1.296929931640625,0.5379638671875
performs,7,6,1.0,0.0,0.5384615384615384,1.5758579799107142,1.30712890625
photographs,4,14,1.0,0.0,0.2222222222222222,1.09375,1.2052961077008928
plays,14,12,1.0,0.0,0.5384615384615384,1.26568603515625,0.8983968098958334
reads,14,20,1.0,0.0,0.4117647058823529,1.64508056640625,1.5687744140625
sculpts,15,15,1.0,0.0,0.5,1.2270345052083333,0.6416829427083334
sells,27,45,1.0,0.0,0.375,1.3414261429398149,0.9160319010416667
sews,12,8,1.0,0.0,0.6,0.9687703450520834,0.710845947265625
shaves,6,9,1.0,0.0,0.4,1.2709147135416667,0.7708062065972222
stitches,20,28,1.0,0.0,0.4166666666666667,0.95164794921875,0.7822788783482143
turns,16,28,1.0,0.03571428571428571,0.38636363636363635,1.072357177734375,0.6907958984375
washes,8,18,1.0,0.0,0.3076923076923077,1.5783538818359375,0.7690565321180556
writes,24,10,1.0,0.0,0.7058823529411765,1.6784871419270833,1.534442138671875
