noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,0.0,1.0,1.42950439453125
actor,1,1.0,1.0,2.093017578125
aircraft,3,0.0,1.0,2.6039225260416665
album,3,0.0,1.0,2.6817830403645835
animal,2,0.0,1.0,2.499786376953125
announcer,2,1.0,1.0,2.0697021484375
artisan,4,1.0,1.0,2.6326446533203125
artist,4,1.0,1.0,2.0784912109375
author,2,1.0,1.0,2.00726318359375
aviator,3,1.0,1.0,2.7501424153645835
backpack,2,0.0,1.0,2.273040771484375
backpacker,2,1.0,1.0,2.3905029296875
bag,2,0.0,1.0,2.398345947265625
baker,6,1.0,1.0,2.1012166341145835
barber,7,1.0,1.0,2.2237112862723216
basket,2,0.0,1.0,2.22625732421875
beard,3,0.0,1.0,2.0415445963541665
bedding,5,0.0,1.0,2.47181396484375
bike,4,0.0,1.0,2.48870849609375
blanket,2,0.0,1.0,2.1170654296875
blogger,2,1.0,1.0,2.9686431884765625
board,4,0.0,1.0,2.136932373046875
book,3,0.0,1.0,2.5050048828125
bottle,2,0.0,1.0,2.313140869140625
bowl,2,0.0,1.0,2.367034912109375
bread,3,0.0,1.0,2.3130696614583335
broadcaster,2,1.0,1.0,2.17181396484375
building,2,0.0,1.0,1.60980224609375
bus,3,0.0,1.0,2.6824747721354165
busboy,5,1.0,1.0,2.90279541015625
businessman,3,1.0,1.0,2.224365234375
businesswoman,3,1.0,1.0,2.5313720703125
butcher,4,1.0,1.0,1.85540771484375
cake,3,0.0,1.0,2.5154825846354165
cameraman,2,1.0,1.0,2.046600341796875
camper,2,1.0,1.0,3.108917236328125
canvas,4,0.0,1.0,2.363616943359375
captain,3,1.0,1.0,2.7394205729166665
car,12,0.0,1.0,2.28033447265625
cardboard,4,0.0,1.0,1.847442626953125
carpet,3,0.0,1.0,2.7447713216145835
carver,7,1.0,1.0,2.2587890625
caterer,3,1.0,1.0,2.2453206380208335
cd,3,0.0,1.0,2.37982177734375
cellist,2,1.0,1.0,2.601715087890625
cello,2,0.0,1.0,2.703643798828125
chauffeur,3,1.0,1.0,2.6666056315104165
chef,10,1.0,1.0,2.681341552734375
choreography,1,0.0,1.0,2.17138671875
clarinet,2,0.0,1.0,2.390777587890625
clarinetist,2,1.0,1.0,2.280792236328125
clay,6,0.0,1.0,1.9560139973958333
cleaner,5,1.0,1.0,2.44051513671875
