noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,0.9609375
actor,1,0.0,2.26629638671875
aircraft,3,0.0,2.59869384765625
album,3,0.0,2.442626953125
animal,2,0.0,2.06964111328125
announcer,2,0.0,1.94525146484375
artisan,4,0.0,1.937225341796875
artist,4,0.0,1.539093017578125
author,2,0.0,2.148529052734375
aviator,3,0.0,2.5574951171875
backpack,2,0.0,2.42156982421875
backpacker,2,0.0,2.054046630859375
bag,2,0.0,2.397918701171875
baker,6,0.0,2.176727294921875
barber,7,0.0,2.1026611328125
basket,2,0.0,2.2113037109375
beard,3,0.0,1.9272054036458333
bedding,5,0.0,2.0655517578125
bike,4,0.0,2.9020919799804688
blanket,2,0.0,2.4383544921875
blogger,2,0.0,2.367034912109375
board,4,0.0,2.374908447265625
book,3,0.0,2.6357421875
bottle,2,0.0,2.8989105224609375
bowl,2,0.0,2.492340087890625
bread,3,0.0,2.70843505859375
broadcaster,2,0.0,2.194854736328125
building,2,0.0,1.69525146484375
bus,3,0.0,2.4738972981770835
busboy,5,0.0,2.412548828125
businessman,3,0.0,2.0680135091145835
businesswoman,3,0.0,1.7394612630208333
butcher,4,0.0,1.453369140625
cake,3,0.0,2.5110880533854165
cameraman,2,0.0,1.8519287109375
camper,2,0.0,2.54754638671875
canvas,4,0.0,2.172088623046875
captain,3,0.0,2.4112141927083335
car,12,0.0,2.432428995768229
cardboard,4,0.0,2.1134490966796875
carpet,3,0.0,2.6194661458333335
carver,7,0.0,2.0958687918526784
caterer,3,0.0,2.1874186197916665
cd,3,0.0,2.3384195963541665
cellist,2,0.0,2.460418701171875
cello,2,0.0,3.031341552734375
chauffeur,3,0.0,2.228759765625
chef,10,0.0,2.229510498046875
choreography,1,0.0,1.5465087890625
clarinet,2,0.0,2.836181640625
clarinetist,2,0.0,2.203582763671875
clay,6,0.0,2.5551249186197915
cleaner,5,0.0,2.24144287109375
clerk,2,0.0,2.211212158203125
cloth,8,0.0,2.14434814453125
coat,2,0.0,2.8358306884765625
code,2,0.0,2.6329803466796875
comedian,1,0.0,2.0311279296875
concerto,1,0.0,2.92193603515625
confectioner,3,0.0,1.713623046875
container,2,0.0,2.640228271484375
convertible,3,0.0,2.0829671223958335
cook,6,0.0,2.276214599609375
cotton,4,0.0,1.851715087890625
countertop,3,0.0,2.2344767252604165
crate,2,0.0,2.101837158203125
cushion,4,0.0,1.90673828125
cut,4,0.0,0.92596435546875
dancer,1,0.0,2.15692138671875
dealer,3,0.0,2.4422607421875
dish,2,0.0,2.327606201171875
doctor,2,0.0,1.9215087890625
