verb,overall_acc,avg_LL_delta
bakes,1.0,2.174407958984375
carves,1.0,2.2719319661458335
cleans,1.0,2.5072077998408564
cooks,1.0,2.160903591579861
cuts,1.0,2.316145324707031
drives,1.0,2.2560238308376737
embroiders,1.0,2.0210113525390625
flies,1.0,2.5206209818522134
knits,1.0,2.031614467075893
packs,1.0,2.4210975646972654
paints,1.0,1.8297958374023438
performs,1.0,2.2991051307091346
photographs,1.0,1.5685967339409723
plays,1.0,2.2240224984975963
reads,1.0,1.3910342945772058
sculpts,1.0,2.1511189778645834
sells,1.0,2.3004637824164496
sews,1.0,1.9601409912109375
shaves,1.0,2.029052734375
stitches,1.0,1.7262694040934246
turns,1.0,2.310393593528054
washes,1.0,2.5925375131460338
writes,1.0,1.9144789751838236
