noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-1.2498779296875
actor,1,1.0,-0.75
aircraft,3,1.0,-0.8334147135416666
album,3,1.0,-0.7500813802083334
animal,2,1.0,-1.625
announcer,2,1.0,-0.7501220703125
artisan,4,1.0,-1.249755859375
artist,4,1.0,-1.687591552734375
author,2,1.0,-1.00048828125
aviator,3,1.0,-0.9999186197916666
backpack,2,1.0,-1.87457275390625
backpacker,2,1.0,-1.99981689453125
bag,2,1.0,-1.25
baker,6,1.0,-1.124755859375
barber,7,1.0,-1.5713936941964286
basket,2,1.0,-1.6248779296875
beard,3,1.0,-1.2499186197916667
bedding,5,1.0,-1.050146484375
bike,4,1.0,-0.62506103515625
blanket,2,1.0,-1.500244140625
blogger,2,1.0,-0.6248779296875
board,4,1.0,-1.06243896484375
book,3,1.0,-0.9165852864583334
bottle,2,1.0,-0.7496337890625
bowl,2,1.0,-1.0
bread,3,1.0,-0.8331705729166666
broadcaster,2,1.0,-1.2498779296875
building,2,0.0,0.25
bus,3,1.0,-0.91650390625
busboy,5,1.0,-1.24970703125
businessman,3,0.0,0.3333333333333333
businesswoman,3,1.0,-0.6666666666666666
butcher,4,1.0,-1.500213623046875
cake,3,1.0,-1.0000813802083333
cameraman,2,1.0,-0.374755859375
camper,2,1.0,-1.5001220703125
canvas,4,1.0,-1.375030517578125
captain,3,1.0,-1.3335367838541667
car,12,0.75,-0.33331298828125
cardboard,4,1.0,-1.25018310546875
carpet,3,1.0,-0.999755859375
carver,7,1.0,-0.9643903459821429
caterer,3,1.0,-1.6666666666666667
cd,3,1.0,-1.0831705729166667
cellist,2,1.0,-1.625244140625
cello,2,1.0,-1.3751220703125
chauffeur,3,1.0,-0.7496744791666666
chef,10,1.0,-0.9749755859375
choreography,1,1.0,-1.25048828125
clarinet,2,1.0,-1.0003662109375
clarinetist,2,1.0,-1.50006103515625
clay,6,1.0,-1.20843505859375
cleaner,5,1.0,-0.899853515625
clerk,2,1.0,-1.49981689453125
cloth,8,1.0,-0.90625
coat,2,1.0,-1.0
code,2,1.0,-0.6253662109375
comedian,1,1.0,-1.0
concerto,1,1.0,-1.000244140625
confectioner,3,1.0,-1.2498372395833333
container,2,1.0,-1.5001220703125
convertible,3,1.0,-0.8335774739583334
cook,6,1.0,-1.2500203450520833
cotton,4,1.0,-1.0623779296875
countertop,3,1.0,-1.333740234375
crate,2,1.0,-1.62493896484375
cushion,4,1.0,-1.250244140625
cut,4,1.0,-1.0001220703125
dancer,1,1.0,-1.499755859375
dealer,3,0.0,0.25
dish,2,1.0,-1.1248779296875
doctor,2,1.0,-2.12451171875
dough,3,1.0,-0.7499186197916666
dressmaker,4,1.0,-1.6251220703125
driver,7,1.0,-0.7856794084821429
drug,3,1.0,-1.16650390625
drummer,2,1.0,-1.7498779296875
duffle,2,1.0,-1.25
essay,4,1.0,-0.93756103515625
essayist,2,1.0,-1.1248779296875
fabric,20,1.0,-1.1248779296875
fillet,3,1.0,-1.7497151692708333
fish,3,1.0,-1.5000406901041667
floor,3,1.0,-1.4998779296875
flute,2,1.0,-1.1248779296875
flutist,2,1.0,-1.50006103515625
food,2,1.0,-1.37506103515625
gem,4,1.0,-0.6876220703125
glass,4,1.0,-0.8748779296875
hairdresser,7,1.0,-1.3570033482142858
handle,4,1.0,-0.87493896484375
hat,3,1.0,-0.25
herb,3,1.0,-0.7500813802083334
hiker,2,1.0,-2.37481689453125
housekeeper,3,1.0,-1.416748046875
ice,7,1.0,-0.8213588169642857
illustrator,4,1.0,-1.062255859375
ingredient,3,0.6666666666666666,-0.16666666666666666
instrument,2,1.0,-1.1251220703125
item,3,0.6666666666666666,-0.25
jacket,2,1.0,-1.0
janitor,3,1.0,-1.5000406901041667
jet,3,1.0,-0.8333333333333334
jeweler,4,1.0,-0.9376220703125
jewelry,3,1.0,-1.4170735677083333
journalist,2,1.0,-1.125
kite,3,1.0,-1.08349609375
knob,4,1.0,-0.812744140625
lady,5,1.0,-1.59990234375
lake,2,1.0,-0.6251220703125
landscape,2,1.0,-1.000244140625
letter,2,1.0,-1.25048828125
line,2,1.0,-1.124755859375
lotion,3,1.0,-0.5830891927083334
lunchbox,2,1.0,-1.37451171875
machine,8,1.0,-1.187530517578125
magazine,3,1.0,-0.25
maid,5,1.0,-0.90009765625
make,3,0.6666666666666666,-0.16666666666666666
man,5,1.0,-1.249951171875
marble,3,1.0,-1.4998372395833333
mason,3,1.0,-1.6669108072916667
material,4,1.0,-0.62506103515625
meat,7,1.0,-1.6069510323660714
mirror,3,1.0,-1.2500813802083333
model,2,1.0,-0.8751220703125
motorcycle,4,1.0,-0.68756103515625
motorist,4,1.0,-0.9373779296875
mountain,2,1.0,-1.6253662109375
mover,2,1.0,-0.500244140625
mushroom,3,1.0,-1.4997151692708333
musician,3,1.0,-1.5832112630208333
narrator,2,1.0,-1.0003662109375
notetaker,2,1.0,-1.6248779296875
novel,3,0.0,0.16682942708333334
novelist,2,1.0,-0.75
orator,2,1.0,-1.249755859375
packaging,4,1.0,-0.625
painter,4,1.0,-1.312744140625
panel,4,1.0,-1.312347412109375
paper,4,1.0,-1.00018310546875
passage,6,1.0,-0.9162190755208334
pastry,3,1.0,-1.2501627604166667
patissier,3,1.0,-1.6665445963541667
pattern,5,1.0,-1.1498046875
peddler,3,1.0,-0.6666666666666666
pepper,3,1.0,-0.9166666666666666
person,30,1.0,-1.0916788736979166
photographer,2,1.0,-0.875244140625
pianist,2,1.0,-1.25006103515625
piano,2,1.0,-1.500244140625
pie,3,1.0,-0.749755859375
pilot,7,1.0,-1.0000348772321428
pizza,3,1.0,-0.5001627604166666
plane,3,1.0,-1.0830891927083333
poem,2,1.0,-1.3751220703125
poet,2,1.0,-1.750244140625
portraitist,4,1.0,-1.5623779296875
pot,3,1.0,-0.916748046875
potato,3,1.0,-1.4166666666666667
potter,3,1.0,-1.4996744791666667
product,3,0.3333333333333333,0.08333333333333333
professor,2,1.0,-1.625
proposal,2,0.5,-0.250244140625
pumpkin,4,1.0,-1.31256103515625
quilt,4,1.0,-1.374908447265625
racer,4,1.0,-1.437713623046875
report,2,1.0,-0.75
roadtripper,2,1.0,-1.6251220703125
routine,1,1.0,-1.5001220703125
salesman,3,0.0,0.08333333333333333
saleswoman,3,0.3333333333333333,-0.08333333333333333
salmon,3,1.0,-1.3330485026041667
scene,1,1.0,-0.75
screw,4,1.0,-0.625
scribe,2,1.0,-1.2501220703125
script,2,0.5,-0.125
sculptor,7,1.0,-1.6072823660714286
seamster,8,1.0,-1.00018310546875
seamstress,4,1.0,-1.18719482421875
section,2,1.0,-1.750244140625
shirt,2,1.0,-1.125244140625
shopkeeper,3,1.0,-1.083251953125
sideburn,3,1.0,-1.6670328776041667
silk,4,1.0,-1.2498779296875
silverware,3,1.0,-0.8330891927083334
singer,1,1.0,-1.4998779296875
snack,3,1.0,-0.833251953125
soloist,1,1.0,-1.749755859375
sonata,1,1.0,-1.249755859375
song,1,1.0,-1.0
steak,7,1.0,-1.25
stone,7,1.0,-1.535888671875
stubble,3,1.0,-1.3334147135416667
student,4,1.0,-1.93768310546875
suitcase,2,1.0,-1.62481689453125
surface,7,1.0,-1.4998779296875
surgeon,4,1.0,-2.1872711181640625
suv,6,0.8333333333333334,-0.4999593098958333
tailor,12,1.0,-1.8960673014322917
tank,3,1.0,-0.9998372395833334
teacher,2,1.0,-1.5
telemarketer,3,1.0,-1.0834147135416667
tent,2,1.0,-1.2503662109375
thread,4,1.0,-1.624908447265625
toy,3,1.0,-0.5
tractor,3,1.0,-0.6668294270833334
trader,3,0.3333333333333333,-0.08333333333333333
traveller,2,1.0,-2.1246337890625
truck,3,1.0,-0.666748046875
tub,2,1.0,-1.2498779296875
tuna,3,1.0,-1.3332926432291667
turkey,4,1.0,-1.5626220703125
upholsterer,4,1.0,-1.93743896484375
valve,4,1.0,-0.625
van,3,0.3333333333333333,-0.08333333333333333
vegetable,3,1.0,-1.083251953125
vehicle,3,1.0,-0.3333333333333333
verse,2,1.0,-0.625244140625
view,2,1.0,-0.750244140625
violin,2,1.0,-1.625
violinist,2,1.0,-1.75
waiter,3,1.0,-1.8332926432291667
waitress,3,1.0,-1.9160970052083333
wall,4,1.0,-1.812530517578125
window,3,1.0,-0.9169921875
windshield,5,1.0,-1.00009765625
woman,5,1.0,-1.899951171875
wood,11,1.0,-1.1591020063920454
wool,5,1.0,-1.249951171875
worker,4,1.0,-1.31256103515625
wound,4,1.0,-1.68780517578125
yarn,5,1.0,-1.15029296875
