noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.5,-0.015625
actor,1,1.0,0.827880859375
aircraft,3,1.0,0.3125
album,3,1.0,0.3331705729166667
animal,2,1.0,0.234375
announcer,2,1.0,0.359375
artisan,4,1.0,0.765380859375
artist,4,1.0,0.5860595703125
author,2,1.0,0.867431640625
aviator,3,1.0,0.5157063802083334
backpack,2,1.0,0.5704345703125
backpacker,2,1.0,0.718505859375
bag,2,1.0,0.7113037109375
baker,6,1.0,0.3802083333333333
barber,7,1.0,0.3973911830357143
basket,2,1.0,0.586181640625
beard,3,1.0,0.265625
bedding,5,0.8,0.134375
bike,4,1.0,0.42962646484375
blanket,2,1.0,0.390869140625
blogger,2,1.0,1.0313720703125
board,4,1.0,0.32415771484375
book,3,1.0,0.375
bottle,2,1.0,0.422119140625
bowl,2,1.0,0.375244140625
bread,3,1.0,0.2864583333333333
broadcaster,2,1.0,0.52392578125
building,2,1.0,0.21875
bus,3,1.0,0.24479166666666666
busboy,5,1.0,0.384375
businessman,3,1.0,0.7499186197916666
businesswoman,3,1.0,0.6194661458333334
butcher,4,1.0,0.5079345703125
cake,3,1.0,0.265625
cameraman,2,1.0,0.4140625
camper,2,1.0,0.531494140625
canvas,4,1.0,0.35150146484375
captain,3,1.0,0.520751953125
car,12,1.0,0.4246012369791667
cardboard,4,1.0,0.3905029296875
carpet,3,1.0,0.4739583333333333
carver,7,1.0,0.5958426339285714
caterer,3,1.0,0.3020833333333333
cd,3,1.0,0.4635416666666667
cellist,2,1.0,0.461181640625
cello,2,1.0,0.40625
chauffeur,3,1.0,0.4842122395833333
chef,10,1.0,0.4312255859375
choreography,1,1.0,0.65625
clarinet,2,1.0,0.523681640625
clarinetist,2,1.0,0.5078125
clay,6,1.0,0.3907063802083333
cleaner,5,1.0,0.5875
clerk,2,1.0,0.6875
cloth,8,0.875,0.396392822265625
coat,2,1.0,0.6796875
code,2,1.0,0.5623779296875
comedian,1,1.0,0.609130859375
concerto,1,1.0,0.703125
confectioner,3,1.0,0.4480794270833333
container,2,1.0,0.5390625
convertible,3,1.0,0.24479166666666666
cook,6,1.0,0.2682291666666667
cotton,4,0.75,0.33197021484375
countertop,3,1.0,0.4012044270833333
crate,2,1.0,0.5704345703125
cushion,4,0.75,0.1171875
cut,4,0.75,0.26171875
dancer,1,1.0,0.60888671875
dealer,3,1.0,0.6248372395833334
dish,2,1.0,0.34375
doctor,2,1.0,0.5391845703125
dough,3,1.0,0.234375
dressmaker,4,1.0,0.41790771484375
driver,7,1.0,0.5312848772321429
drug,3,1.0,0.4688313802083333
drummer,2,1.0,0.3515625
duffle,2,1.0,0.5313720703125
essay,4,1.0,0.69921875
essayist,2,1.0,1.0701904296875
fabric,20,0.95,0.36639404296875
fillet,3,1.0,0.14583333333333334
fish,3,1.0,0.24479166666666666
floor,3,1.0,0.3489583333333333
flute,2,1.0,0.359375
flutist,2,1.0,0.34375
food,2,1.0,0.4141845703125
gem,4,1.0,0.7462158203125
glass,4,1.0,0.49609375
hairdresser,7,1.0,0.19642857142857142
handle,4,1.0,0.4140625
hat,3,1.0,0.578125
herb,3,1.0,0.421875
hiker,2,1.0,0.5311279296875
housekeeper,3,1.0,0.4896647135416667
ice,7,1.0,0.4220493861607143
illustrator,4,1.0,0.37506103515625
ingredient,3,1.0,0.359375
instrument,2,1.0,0.3515625
item,3,1.0,0.505126953125
jacket,2,1.0,0.8515625
janitor,3,1.0,0.5052083333333334
jet,3,1.0,0.40625
jeweler,4,1.0,0.758056640625
jewelry,3,1.0,0.672119140625
journalist,2,1.0,1.0074462890625
kite,3,1.0,0.47900390625
knob,4,1.0,0.49615478515625
lady,5,1.0,0.39384765625
lake,2,1.0,0.1875
landscape,2,1.0,0.0859375
letter,2,1.0,0.2578125
line,2,1.0,0.2578125
lotion,3,1.0,0.421875
lunchbox,2,1.0,0.6094970703125
