verb,overall_acc,avg_LL_delta
bakes,1.0,0.2764253162202381
carves,1.0,0.5602162679036459
cleans,1.0,0.45197663483796297
cooks,1.0,0.29130859375
cuts,1.0,0.4148193359375
drives,1.0,0.37408447265625
embroiders,0.9642857142857143,0.34596470424107145
flies,1.0,0.4134114583333333
knits,0.8857142857142857,0.37862025669642857
packs,1.0,0.59810791015625
paints,0.9791666666666666,0.3961741129557292
performs,1.0,0.6839130108173077
photographs,0.9444444444444444,0.2369656032986111
plays,1.0,0.42012845552884615
reads,0.9705882352941176,0.3222009995404412
sculpts,1.0,0.5000244140625
sells,1.0,0.5329555935329862
sews,0.9,0.31480712890625
shaves,1.0,0.30520833333333336
stitches,0.7916666666666666,0.2779897054036458
turns,1.0,0.4602328213778409
washes,0.9615384615384616,0.40090707632211536
writes,1.0,0.7830954159007353
