verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,1.0,0.0,0.42857142857142855,2.4180105527242026,1.4651836150636275
carves,20,28,1.0,0.0,0.4166666666666667,2.0905384119600057,1.4217895200209958
cleans,21,33,1.0,0.0,0.3888888888888889,2.657776690309956,1.7563878042679844
cooks,12,33,1.0,0.0,0.26666666666666666,2.4592128607134023,1.6946146138238185
cuts,16,24,1.0,0.20833333333333334,0.525,1.965804081875831,0.440387765566508
drives,9,27,1.0,0.0,0.25,2.6046585771772595,1.910823694533772
embroiders,12,16,1.0,0.0,0.42857142857142855,2.1451175150771937,1.1291138948872685
flies,12,12,1.0,0.0,0.5,1.998287593324979,0.8951553342243036
knits,20,15,1.0,0.06666666666666667,0.6,2.1896588930860164,0.7799939483404159
packs,16,24,1.0,0.08333333333333333,0.45,2.462562731001526,0.7922611596683661
paints,20,28,1.0,0.07142857142857142,0.4583333333333333,2.020009573549032,0.6725604135010924
performs,7,6,1.0,0.0,0.5384615384615384,2.6514905063169345,1.800688919921716
photographs,4,14,1.0,0.0,0.2222222222222222,2.2994076684117317,1.1089125935520445
plays,14,12,1.0,0.0,0.5384615384615384,1.9485747558729989,0.8781665911277136
reads,14,20,1.0,0.0,0.4117647058823529,1.9221693240106106,1.2582191921770574
sculpts,15,15,1.0,0.0,0.5,1.7371719241142274,0.7596370637416839
sells,27,45,1.0,0.0,0.375,3.3979356774577387,2.307615234868394
sews,12,8,1.0,0.125,0.65,2.013829859594504,0.5142040438950062
shaves,6,9,1.0,0.0,0.4,2.136409141123295,1.1177052391899958
stitches,20,28,1.0,0.07142857142857142,0.4583333333333333,1.8570783730596303,0.9032256177493504
turns,16,28,1.0,0.10714285714285714,0.4318181818181818,2.3834849284030497,1.3044877299772841
washes,8,18,1.0,0.0,0.3076923076923077,3.0159407681785524,1.9726752622259989
writes,24,10,1.0,0.0,0.7058823529411765,3.052573658137893,1.6825501501560212
