noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-0.7951135635375979
actor,1,0.0,-0.7116127014160156
aircraft,3,0.0,-0.7670262455940247
album,3,0.0,-0.34531911214192706
animal,2,0.0,-0.8650284111499786
announcer,2,0.0,-0.6472492218017578
artisan,4,0.0,-0.7885627597570419
artist,4,0.0,-0.9704685360193253
author,2,1.0,0.400196075439453
aviator,3,0.0,-0.9109344283739725
backpack,2,0.0,-0.9047965705394745
backpacker,2,0.0,-0.8490943759679794
bag,2,0.0,-1.4279594123363495
baker,6,0.0,-0.750455861290296
barber,7,0.0,-0.6231940048081535
basket,2,0.0,-0.8984489440917969
beard,3,0.0,-0.6171938776969909
bedding,5,0.0,-0.4648193597793579
bike,4,0.0,-0.724759116768837
blanket,2,0.0,-0.31277465820312506
blogger,2,0.5,0.0261669158935547
board,4,0.0,-1.1760330125689507
book,3,1.0,0.7529436747233073
bottle,2,0.0,-0.7317962795495987
bowl,2,0.0,-0.4441528618335724
bread,3,0.0,-0.8949572443962097
broadcaster,2,0.0,-0.465782105922699
building,2,0.0,-0.27489137649536133
bus,3,0.0,-1.250823934872945
busboy,5,0.0,-0.8988128662109375
businessman,3,0.0,-0.6878382364908854
businesswoman,3,0.0,-0.434406320254008
butcher,4,0.0,-0.7533798217773438
cake,3,0.0,-0.6934394935766856
cameraman,2,0.0,-0.9854488372802734
camper,2,0.0,-0.5489577949047089
canvas,4,0.0,-0.6914405673742294
captain,3,0.0,-0.5653076569239298
car,12,0.0,-0.6613531162341436
cardboard,4,0.0,-0.8520917817950249
carpet,3,0.0,-0.23611323038736973
carver,7,0.0,-0.7073222654206412
caterer,3,0.0,-0.8893635968367258
cd,3,0.0,-1.015509267648061
cellist,2,0.0,-0.3178691864013671
cello,2,0.0,-0.4923686981201172
chauffeur,3,0.0,-0.30340449015299475
chef,10,0.0,-0.6622024416923523
choreography,1,1.0,0.7964324355125427
clarinet,2,0.0,-0.6298217475414276
clarinetist,2,0.0,-0.22192001342773435
clay,6,0.0,-0.5392856399218241
cleaner,5,0.0,-0.36172713041305543
clerk,2,0.0,-0.1169624328613281
cloth,8,0.25,-0.2845940738916397
coat,2,0.0,-0.6160526871681213
code,2,0.0,-0.44545742869377125
comedian,1,0.0,-0.2826194763183595
concerto,1,0.0,-0.0707740783691406
confectioner,3,0.0,-0.5645879109700521
container,2,0.0,-0.2617187500000001
convertible,3,0.0,-1.0228576461474101
cook,6,0.0,-0.3145014345645905
cotton,4,0.0,-0.48563577234745026
countertop,3,0.0,-0.5318577885627748
crate,2,0.0,-0.5852318108081817
cushion,4,0.0,-0.8506632000207901
cut,4,0.5,0.04257202148437503
dancer,1,0.0,-0.3050193786621094
dealer,3,0.0,-0.5404014786084493
dish,2,0.0,-0.46520230174064636
doctor,2,1.0,0.0790443420410156
dough,3,0.0,-0.985867847998937
dressmaker,4,0.5,-0.05790328979492185
driver,7,0.0,-0.48423440967287334
drug,3,0.0,-0.1269073486328125
drummer,2,0.0,-0.7984428554773331
duffle,2,0.0,-0.6557216644287109
essay,4,1.0,0.5938720703125
essayist,2,1.0,0.5008106529712676
fabric,20,0.0,-0.3649682939052582
fillet,3,0.0,-1.0256093442440033
fish,3,0.0,-0.875569631656011
floor,3,0.0,-0.3450037638346355
flute,2,0.0,-1.0884533077478409
flutist,2,0.0,-0.7367325127124786
food,2,0.0,-0.6370048522949219
gem,4,0.0,-1.1639108657836914
glass,4,0.0,-0.5619630515575409
hairdresser,7,0.0,-0.5758961183684213
handle,4,0.0,-0.3641719967126845
hat,3,0.0,-0.25515747070312506
herb,3,0.0,-0.5051116744677225
hiker,2,0.0,-0.6638221442699432
housekeeper,3,0.0,-0.48552703857421875
ice,7,0.0,-0.732070905821664
illustrator,4,0.0,-0.21882724761962885
ingredient,3,0.0,-0.26737085978190095
instrument,2,0.0,-0.5282096862792969
item,3,1.0,0.7020517786343893
jacket,2,0.0,-0.5017814636230468
janitor,3,0.0,-0.11504618326822913
jet,3,0.0,-0.40521240234375
jeweler,4,0.0,-0.6132087856531142
jewelry,3,0.0,-0.6304601033528646
journalist,2,1.0,0.11371994018554685
kite,3,0.0,-0.7612101137638092
knob,4,0.0,-0.2859783172607422
lady,5,0.0,-0.5413253545761109
lake,2,0.0,-0.3822822570800781
landscape,2,1.0,0.10252761840820304
letter,2,1.0,0.1477813720703125
line,2,0.0,-0.20123672485351565
lotion,3,1.0,0.07029215494791663
lunchbox,2,0.0,-1.1318435817956924
machine,8,0.375,-0.01497459411621093
magazine,3,1.0,0.1758219401041666
maid,5,0.0,-0.28525389432907106
make,3,0.0,-0.6403605143229166
man,5,0.0,-0.4831009149551392
marble,3,0.0,-0.5730870564778646
mason,3,0.0,-0.671960194905599
material,4,0.0,-0.16065597534179685
meat,7,0.0,-0.961990875857217
mirror,3,0.0,-0.32437640428543096
model,2,0.0,-0.4639435112476349
motorcycle,4,0.0,-0.9277553707361221
motorist,4,0.0,-0.6319694370031357
mountain,2,0.0,-0.8588371872901918
mover,2,0.0,-0.6752319335937499
mushroom,3,0.0,-0.4556909998257956
musician,3,0.0,-0.7786611020565033
narrator,2,0.0,-0.4818458557128906
notetaker,2,0.0,-0.29566192626953114
novel,3,1.0,1.0364221334457397
novelist,2,1.0,0.2779769897460937
