noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-0.2303924560546875
actor,1,0.0,1.5499343872070312
aircraft,3,1.0,-0.4289194345474243
album,3,0.3333333333333333,0.05656687418619797
animal,2,1.0,-1.1345120072364807
announcer,2,0.0,0.5242805182933807
artisan,4,0.5,-0.02379035949707034
artist,4,0.0,0.47039987146854395
author,2,1.0,-0.31917956471443176
aviator,3,1.0,-0.6411031087239584
backpack,2,1.0,-0.3816146850585937
backpacker,2,1.0,-0.6696395576000213
bag,2,1.0,-0.8578491359949112
baker,6,1.0,-0.8389244178930918
barber,7,1.0,-1.6150817743369512
basket,2,1.0,-0.9748287051916121
beard,3,1.0,-1.836489309867223
bedding,5,0.4,0.15770722627639766
bike,4,1.0,-1.5935459211468697
blanket,2,0.5,-0.0235176086425781
blogger,2,0.0,0.05125045776367185
board,4,1.0,-1.151378646492958
book,3,0.6666666666666666,-0.0688018798828125
bottle,2,1.0,-1.3299064189195633
bowl,2,1.0,-0.2987060248851775
bread,3,1.0,-1.4143778483072917
broadcaster,2,0.0,0.30345535278320324
building,2,0.0,2.528615914285183
bus,3,1.0,-0.5162862141927083
busboy,5,1.0,-1.5545974999666214
businessman,3,0.3333333333333333,0.0749384562174479
businesswoman,3,1.0,-0.37819671630859375
butcher,4,1.0,-0.9638710021972656
cake,3,1.0,-1.267384866873423
cameraman,2,0.0,0.644023895263672
camper,2,1.0,-1.0543174296617508
canvas,4,1.0,-0.8773364871740341
captain,3,0.0,1.0941747029622395
car,12,1.0,-1.6614710241556168
cardboard,4,1.0,-1.4035024270415306
carpet,3,1.0,-0.23992663621902457
carver,7,1.0,-0.8709095673901694
caterer,3,1.0,-0.2896321813265483
cd,3,1.0,-1.4262059032917023
cellist,2,1.0,-1.3676185607910156
cello,2,1.0,-1.8659706562757492
chauffeur,3,1.0,-0.2877858281135559
chef,10,0.8,-0.13854751586914058
choreography,1,0.0,0.0586776733398437
clarinet,2,1.0,-0.626491516828537
clarinetist,2,1.0,-0.0940589904785156
clay,6,1.0,-1.7370198319355648
cleaner,5,0.6,-0.24223020076751708
clerk,2,1.0,-2.078998610377312
cloth,8,1.0,-2.218080513179302
coat,2,0.5,-0.052734375
code,2,1.0,-0.5297278761863708
comedian,1,1.0,-0.2073211073875427
concerto,1,1.0,-0.309539794921875
confectioner,3,1.0,-1.0416259864966075
container,2,1.0,-0.8503799587488174
convertible,3,1.0,-1.1061706344286601
cook,6,1.0,-0.6330969880024592
cotton,4,1.0,-1.4955860748887062
countertop,3,1.0,-0.18492126464843753
crate,2,1.0,-0.6979712843894958
cushion,4,1.0,-0.7808461338281631
cut,4,1.0,-0.22835922241210938
dancer,1,1.0,-0.133270263671875
dealer,3,1.0,-0.6657638748486837
dish,2,1.0,-0.6292496025562286
doctor,2,1.0,-2.5064697712659836
dough,3,1.0,-1.9245096445083612
dressmaker,4,0.0,0.6715221405029297
driver,7,1.0,-1.792918643781117
drug,3,1.0,-0.5263926188151041
drummer,2,1.0,-0.857219696044922
duffle,2,1.0,-0.9135513305664065
essay,4,0.0,0.48753164708614355
essayist,2,0.0,1.0624656826257706
fabric,20,1.0,-0.41222801208496096
fillet,3,1.0,-1.3811022738615673
fish,3,1.0,-1.4712632497151696
floor,3,1.0,-1.0925827225049336
flute,2,1.0,-1.030050739645958
flutist,2,1.0,-1.0495414435863495
food,2,1.0,-1.255577102303505
gem,4,1.0,-0.8288769647479057
glass,4,1.0,-0.7237796783447266
hairdresser,7,1.0,-0.6621748038700649
handle,4,0.0,0.4303760230541229
hat,3,0.0,0.27080535888671875
herb,3,1.0,-1.394844075043996
hiker,2,1.0,-1.4672508239746092
housekeeper,3,1.0,-0.874488890171051
ice,7,1.0,-0.2636118616376604
illustrator,4,0.0,0.6580886542797089
