verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.8333333333333334,0.3333333333333333,0.5476190476190477,0.46556514667140114,0.08114759127298989
carves,20,28,1.0,0.14285714285714285,0.5,0.6832732133567333,0.4191805624536106
cleans,21,33,1.0,0.0,0.3888888888888889,1.0368437071641285,0.5181002761378433
cooks,12,33,1.0,0.030303030303030304,0.28888888888888886,0.6000692745049795,0.4076738375605959
cuts,16,24,1.0,0.0,0.4,0.8738101124763489,0.5793040494124094
drives,9,27,1.0,0.0,0.25,0.9262009759744009,0.30145422617594403
embroiders,12,16,1.0,0.25,0.5714285714285714,0.34556253751118976,0.18633574061095712
flies,12,12,1.0,0.0,0.5,0.887011626114448,0.42583315074443817
knits,20,15,1.0,0.0,0.5714285714285714,0.9039938919246197,0.6254695932070414
packs,16,24,1.0,0.16666666666666666,0.5,0.9208382908254862,0.20372355108459791
paints,20,28,1.0,0.17857142857142858,0.5208333333333334,0.6441684320569039,0.23981663265398567
performs,7,6,1.0,0.0,0.5384615384615384,1.3138675732272012,0.77152747909228
photographs,4,14,0.5,0.14285714285714285,0.2222222222222222,0.1829698085784912,0.25741141395909445
plays,14,12,1.0,0.0,0.5384615384615384,0.864071501152856,0.411399282515049
reads,14,20,1.0,0.0,0.4117647058823529,1.1438014773385865,0.84532281011343
sculpts,15,15,1.0,0.5333333333333333,0.7666666666666667,0.5148704548676809,0.20244331359863285
sells,27,45,1.0,0.022222222222222223,0.3888888888888889,1.2394510457913082,0.5833801296022203
sews,12,8,1.0,0.0,0.6,0.6164813141028086,0.66817582026124
shaves,6,9,1.0,0.0,0.4,0.744383176167806,0.38006962339083356
stitches,20,28,1.0,0.0,0.4166666666666667,0.8336832016706467,0.46504426321813036
turns,16,28,1.0,0.17857142857142858,0.4772727272727273,0.6414665468037128,0.28706185839005877
washes,8,18,1.0,0.0,0.3076923076923077,1.1849335487931967,0.4465531259775162
writes,24,10,1.0,0.0,0.7058823529411765,1.2927981242537498,1.127860264480114
