noun,avg_LL_delta
abstract,-1.82835948
actor,-1.5363905
aircraft,-1.89885595
album,-2.75224394
animal,-1.7044964
announcer,-0.8728284399999999
artisan,-1.1023295000000002
artist,-2.0954292
author,-1.2569884999999998
aviator,-1.4979611999999998
backpack,-2.5264548
backpacker,-2.16671762
bag,-2.79734018
baker,-2.3642347
barber,-2.1039372
basket,-3.63085373
beard,-2.50688541
bedding,-2.49059078
bike,-3.02647104
blanket,-2.42484659
blogger,-2.75069132
board,-1.63517843
book,-2.34877211
bottle,-2.94971425
bowl,-3.032825124
bread,-2.91765102
broadcaster,-1.30233376
building,-1.97087956
bus,-2.3839271500000003
busboy,-2.39429364
businessman,-0.5551653000000001
businesswoman,-1.787919
butcher,-2.91474625
cake,-3.5013014
cameraman,-2.2363205300000004
camper,-2.22940895
canvas,-3.12461175
captain,-2.42781993
car,-1.80458652
cardboard,-2.97963785
carpet,-2.52778908
carver,-2.02030863
caterer,-2.81136318
cd,-2.0710896
cellist,-2.80404825
cello,-3.14800171
chauffeur,-1.2787677
chef,-2.4152623600000003
choreography,-2.83507523
clarinet,-3.13490095
clarinetist,-2.64781922
clay,-2.62108334
cleaner,-2.26676949
clerk,-1.6438676
cloth,-2.44084532
coat,-2.49409087
code,-3.0839326500000004
comedian,-1.7516202500000002
concerto,-2.61276524
confectioner,-2.84130835
container,-2.99489476
convertible,-1.6800420400000002
cook,-2.63440895
cotton,-2.75756609
countertop,-1.99471445
crate,-3.30643725
cushion,-3.0737330700000003
cut,-2.22546474
dancer,-2.2606145
dealer,-1.59803364
dish,-2.96855078
doctor,-2.220745
dough,-2.5842057
dressmaker,-2.74347191
driver,-2.36846434
drug,-1.68551638
drummer,-2.99877454
duffle,-3.10247197
essay,-2.5362624
essayist,-1.7459002
fabric,-2.59412173
fillet,-3.32203174
fish,-2.4366682
floor,-1.90548897
flute,-2.98748462
flutist,-2.67942886
food,-2.69619767
gem,-2.70625397
glass,-2.6449222
hairdresser,-2.33637143
handle,-2.92896568
hat,-2.4437274
herb,-2.20740596
hiker,-2.96611581
housekeeper,-2.43823436
ice,-2.36777664
illustrator,-2.46809665
ingredient,-1.1963138
instrument,-2.4617165400000003
item,-2.20126446
jacket,-2.55073748
janitor,-1.7304403
jet,-2.10826105
jeweler,-2.48255625
jewelry,-3.19137075
journalist,-1.7778329999999998
kite,-2.71758371
knob,-2.20222564
lady,-2.44383632
lake,-3.30605558
landscape,-2.58461473
letter,-2.32078933
line,-2.61015417
lotion,-2.74477938
lunchbox,-3.52266467
machine,-2.5993521
magazine,-2.5034215100000003
maid,-2.6754037
make,-2.51131721
man,-1.9796228
marble,-2.9648418
mason,-2.64676557
material,-1.7557943000000005
meat,-2.5853662
mirror,-3.12069885
model,-2.2318571800000004
motorcycle,-2.77164831
motorist,-2.18553158
mountain,-2.95667248
mover,-1.97086516
mushroom,-3.04920483
musician,-2.77928618
narrator,-2.7066030000000003
notetaker,-2.86799305
novel,-2.2695045300000003
novelist,-2.0660343
orator,-1.5818203999999998
packaging,-2.890552
painter,-2.8073376
panel,-2.37794296
paper,-2.93984213
passage,-2.90838045
pastry,-3.3688133700000003
patissier,-3.2313486
pattern,-3.0941122
peddler,-2.2855415
pepper,-2.8479118800000003
person,-1.6870870999999998
photographer,-3.14127103
pianist,-3.06293067
piano,-3.53179728
pie,-3.49232591
pilot,-2.35175414
pizza,-3.12888996
plane,-2.50829593
poem,-3.60056861
poet,-2.9168614
portraitist,-2.55560865
pot,-3.1665437900000004
potato,-3.20765572
potter,-3.17760962
product,-2.01088237
professor,-1.51194386
proposal,-2.60940541
pumpkin,-3.690914844
quilt,-3.1946181
racer,-2.77165863
report,-1.6742438300000002
roadtripper,-2.5752277
routine,-2.22584343
salesman,-0.8524856000000001
saleswoman,-0.9787444
salmon,-2.946789696
scene,-2.34767343
screw,-1.85713197
scribe,-1.2428264000000002
script,-2.29808235
sculptor,-2.26790046
seamster,-1.95074843
seamstress,-2.2832204000000003
section,-2.03286832
shirt,-2.77845057
shopkeeper,-2.5364911
sideburn,-2.54903302
silk,-2.77172339
silverware,-3.68492511
singer,-2.6114462
snack,-2.6786619
soloist,-1.97186657
sonata,-3.12945347
song,-3.41028873
steak,-2.84323286
stone,-2.78087029
stubble,-2.83065777
student,-1.8429708
suitcase,-3.5376336800000003
surface,-1.71678425
surgeon,-2.3194360200000004
suv,-2.33097716
tailor,-1.87764166
tank,-3.01869115
teacher,-2.37218
telemarketer,-2.01198282
tent,-2.70273954
thread,-2.83306679
toy,-2.87745554
tractor,-2.7168426
trader,-1.1697978999999998
traveller,-1.64150535
truck,-3.2792569
tub,-2.8856112
tuna,-2.77817994
turkey,-3.08510413
upholsterer,-1.4096783
valve,-2.44515783
van,-2.06216058
vegetable,-2.74047647
vehicle,-2.57925382
verse,-2.99919504
view,-2.02169794
violin,-3.54639514
violinist,-3.12198923
waiter,-2.77997127
waitress,-2.98768321
wall,-2.37508397
window,-2.31405146
windshield,-2.63945544
woman,-2.6160477
wood,-2.66159042
wool,-2.61108695
worker,-1.85340012
wound,-2.51174625
yarn,-3.05937682
