noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-3.674366785
actor,1,0.0,-2.83100865
aircraft,3,0.0,-3.3207176293333336
album,3,0.0,-3.706042366666667
animal,2,0.0,-4.170869345
announcer,2,0.0,-3.8933953619999997
artisan,4,0.0,-3.59177897625
artist,4,0.0,-3.79538931
author,2,0.0,-3.564814459
aviator,3,0.0,-3.2570735306666667
backpack,2,0.0,-2.994334034
backpacker,2,0.0,-3.0920361659999998
bag,2,0.0,-3.640623696
baker,6,0.0,-3.757144972166667
barber,7,0.0,-3.527157901285715
basket,2,0.0,-3.365447015
beard,3,0.0,-3.33322034
bedding,5,0.0,-2.951476874
bike,4,0.0,-2.9692317137499997
blanket,2,0.0,-2.54814809
blogger,2,0.0,-3.5444949274999997
board,4,0.0,-3.02424118875
book,3,0.0,-3.3636641056666665
bottle,2,0.0,-2.727218542
bowl,2,0.0,-2.61642641
bread,3,0.0,-3.2965079146666665
broadcaster,2,0.0,-3.3932407424999997
building,2,0.0,-4.336937107500001
bus,3,0.0,-3.0123372833333337
busboy,5,0.0,-2.5651049099999996
businessman,3,0.0,-1.3566328733333333
businesswoman,3,0.0,-3.7120670533333335
butcher,4,0.0,-4.025863939500001
cake,3,0.0,-3.730777615333333
cameraman,2,0.0,-3.8507746165
camper,2,0.0,-2.902532492
canvas,4,0.0,-3.9145730029999997
captain,3,0.0,-4.088375813333333
car,12,0.0,-2.8999357619166664
cardboard,4,0.0,-3.2648960860000003
carpet,3,0.0,-2.258873596666666
carver,7,0.0,-3.781262137714286
caterer,3,0.0,-3.7001531693333334
cd,3,0.0,-3.6088467493333334
cellist,2,0.0,-5.7666616475
cello,2,0.0,-5.610956432
chauffeur,3,0.0,-3.928521628
chef,10,0.0,-4.305989009999999
choreography,1,0.0,-3.518320065
clarinet,2,0.0,-4.973683213499999
clarinetist,2,0.0,-5.0482073325000005
clay,6,0.0,-3.4700554211666663
cleaner,5,0.0,-2.095116774
clerk,2,0.0,-2.856851985
cloth,8,0.0,-3.3559241432499993
coat,2,0.0,-3.2360428299999997
code,2,0.0,-3.7580869535000003
comedian,1,0.0,-2.23947938
concerto,1,0.0,-3.23742656
confectioner,3,0.0,-4.1939806373333335
container,2,0.0,-3.660294073
convertible,3,0.0,-3.144741585666667
cook,6,0.0,-4.2991417705
cotton,4,0.0,-3.209685015
countertop,3,0.0,-2.306852908666667
crate,2,0.0,-3.526792307
cushion,4,0.0,-3.67082284625
cut,4,0.0,-3.27941368925
dancer,1,0.0,-2.67093819
dealer,3,0.0,-2.3965072566666668
dish,2,0.0,-2.48497387
doctor,2,0.0,-4.540200469
dough,3,0.0,-3.4612647983333336
dressmaker,4,0.0,-4.587087578
driver,7,0.0,-3.451270125857143
drug,3,0.0,-2.896290951333333
drummer,2,0.0,-4.49048986
duffle,2,0.0,-3.5344171330000007
essay,4,0.0,-4.1105798147499994
essayist,2,0.0,-3.4349327499999998
fabric,20,0.0,-3.3404383989000004
fillet,3,0.0,-4.057154225000001
fish,3,0.0,-3.616922841333334
floor,3,0.0,-1.8387457200000001
flute,2,0.0,-4.3136610715
flutist,2,0.0,-4.88048018
food,2,0.0,-2.37944509
gem,4,0.0,-3.8587323005
glass,4,0.0,-3.28398473175
hairdresser,7,0.0,-3.5694663815714294
handle,4,0.0,-3.06972636775
hat,3,0.0,-3.4218677873333334
herb,3,0.0,-4.508377236666667
hiker,2,0.0,-3.878247127
housekeeper,3,0.0,-3.452481355333333
ice,7,0.0,-3.2337680711428574
illustrator,4,0.0,-5.0871179597500005
ingredient,3,0.0,-3.0648475133333335
instrument,2,0.0,-5.448333298
item,3,0.0,-3.4817616500000006
jacket,2,0.0,-3.1104420394999996
janitor,3,0.0,-2.0374431266666666
jet,3,0.0,-2.8888402450000004
jeweler,4,0.0,-4.0591659315
jewelry,3,0.0,-3.3919948466666665
journalist,2,0.0,-3.280239003
kite,3,0.0,-3.218492787666667
knob,4,0.0,-3.0940064290000002
lady,5,0.0,-5.5661044118
lake,2,0.0,-4.7504889299999995
landscape,2,0.0,-3.32943794
letter,2,0.0,-4.3215689555
line,2,0.0,-3.59329537
lotion,3,0.0,-2.917150476666667
lunchbox,2,0.0,-3.359864964
machine,8,0.0,-3.5289770523750006
magazine,3,0.0,-3.1331083566666664
maid,5,0.0,-4.212988141
make,3,0.0,-3.3099636853333334
man,5,0.0,-3.8508800380000006
marble,3,0.0,-3.3626889920000003
mason,3,0.0,-3.6186963790000006
material,4,0.0,-3.5735686089999996
meat,7,0.0,-2.875215776571429
mirror,3,0.0,-3.179249844333333
model,2,0.0,-4.5822709395
motorcycle,4,0.0,-2.9281901099999996
motorist,4,0.0,-2.60151456625
mountain,2,0.0,-4.4636133099999995
mover,2,0.0,-2.939201295
mushroom,3,0.0,-3.7275988066666668
musician,3,0.0,-4.369893144
narrator,2,0.0,-4.6394760865
notetaker,2,0.0,-4.2101977085
novel,3,0.0,-3.1627304316666667
novelist,2,0.0,-3.269764055
orator,2,0.0,-4.308413995
packaging,4,0.0,-2.7684877625
painter,4,0.0,-4.09964256
panel,4,0.0,-3.911580397
paper,4,0.0,-3.15532578025
passage,6,0.0,-4.159977743
pastry,3,0.0,-4.100481915666667
patissier,3,0.0,-3.7958290409999997
pattern,5,0.0,-3.9181456012
peddler,3,0.0,-2.649791296666667
pepper,3,0.0,-2.6704649333333332
person,30,0.0,-3.0596117204666657
photographer,2,0.0,-4.243222922
pianist,2,0.0,-4.807086288000001
piano,2,0.0,-4.731675371
pie,3,0.0,-3.632876362333333
pilot,7,0.0,-3.5089051458571427
pizza,3,0.0,-3.149892016666667
plane,3,0.0,-3.3212683043333335
poem,2,0.0,-4.3791450065
poet,2,0.0,-4.4744799515
portraitist,4,0.0,-4.4375195615
pot,3,0.0,-3.0509585099999996
potato,3,0.0,-3.7527724080000002
potter,3,0.0,-4.339192123
product,3,0.0,-2.4530270766666664
professor,2,0.0,-3.37050465
proposal,2,0.0,-3.6343382225000003
pumpkin,4,0.0,-3.9281063595
quilt,4,0.0,-3.8779282165
racer,4,0.0,-3.093798645
report,2,0.0,-3.841780601
roadtripper,2,0.0,-3.369310075
routine,1,0.0,-2.48729124
salesman,3,0.0,-0.9737332800000001
saleswoman,3,0.0,-2.6461408
salmon,3,0.0,-3.241211865
scene,1,0.0,-2.71028117
screw,4,0.0,-2.42220193775
scribe,2,0.0,-3.2620855344999997
script,2,0.0,-3.748098121
sculptor,7,0.0,-4.0912950004285715
seamster,8,0.0,-3.502841174125
seamstress,4,0.0,-4.1206137465
section,2,0.0,-3.5339298035
shirt,2,0.0,-2.4873980749999998
shopkeeper,3,0.0,-3.1346895113333333
sideburn,3,0.0,-3.140028459333333
silk,4,0.0,-3.38313477175
silverware,3,0.0,-2.671219972
singer,1,0.0,-2.95937345
snack,3,0.0,-3.0495177656666663
soloist,1,0.0,-2.51347728
sonata,1,0.0,-3.69432437
song,1,0.0,-3.43025222
steak,7,0.0,-3.5656276282857147
stone,7,0.0,-3.239263817142857
stubble,3,0.0,-2.4058010646666665
student,4,0.0,-2.8944524225
suitcase,2,0.0,-3.5482337735
surface,7,0.0,-1.6024807057142856
surgeon,4,0.0,-4.47436018225
suv,6,0.0,-2.566453455833333
tailor,12,0.0,-4.059445777416667
tank,3,0.0,-3.804079692
teacher,2,0.0,-3.955859185
telemarketer,3,0.0,-2.837678813666667
tent,2,0.0,-3.3059558085000003
thread,4,0.0,-3.8557783920000004
toy,3,0.0,-3.6151928909999995
tractor,3,0.0,-3.4412580463333335
trader,3,0.0,-2.2749221299999998
traveller,2,0.0,-3.056984883
truck,3,0.0,-3.1294738283333334
tub,2,0.0,-2.9463099010000002
tuna,3,0.0,-2.860660671666667
turkey,4,0.0,-3.55253275625
upholsterer,4,0.0,-3.2370567785
valve,4,0.0,-2.9291700532500005
van,3,0.0,-3.1988891033333338
vegetable,3,0.0,-3.55680357
vehicle,3,0.0,-3.2184702020000002
verse,2,0.0,-5.1525329200000005
view,2,0.0,-3.951793116
violin,2,0.0,-5.367740691
violinist,2,0.0,-5.33109194
waiter,3,0.0,-3.1548529033333335
waitress,3,0.0,-4.009410581666667
wall,4,0.0,-3.1171854100000003
window,3,0.0,-1.9977620333333335
windshield,5,0.0,-1.9688006000000002
woman,5,0.0,-4.832043436999999
wood,11,0.0,-3.1773662849999997
wool,5,0.0,-3.323821117599999
worker,4,0.0,-2.8992773285
wound,4,0.0,-3.09767797075
yarn,5,0.0,-3.3835010080000005
