noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,1.0,-1.23288251
actor,1,0.0,1.0,-0.1281224
aircraft,3,1.0,1.0,-1.3550046366666668
album,3,1.0,1.0,-0.9363317633333333
animal,2,1.0,1.0,-1.195557525
announcer,2,0.0,1.0,-0.10377404
artisan,4,0.25,0.25,0.015265440000000054
artist,4,0.0,1.0,-0.34509180249999993
author,2,0.0,1.0,-0.2126579349999999
aviator,3,0.0,1.0,-0.20183748666666665
backpack,2,1.0,1.0,-1.2295428
backpacker,2,0.0,1.0,-0.733781925
bag,2,1.0,1.0,-1.60474109
baker,6,0.0,1.0,-0.8368147466666668
barber,7,0.0,1.0,-0.4124124242857143
basket,2,1.0,1.0,-1.80063532
beard,3,1.0,1.0,-1.0042763
bedding,5,1.0,1.0,-1.2162772939999997
bike,4,1.0,1.0,-0.9827651475000001
blanket,2,1.0,1.0,-1.6145313300000002
blogger,2,0.0,1.0,-0.527345635
board,4,1.0,1.0,-0.80911397
book,3,1.0,1.0,-0.7580890433333334
bottle,2,1.0,1.0,-1.47566502
bowl,2,1.0,1.0,-1.5137519300000002
bread,3,1.0,1.0,-1.2655906033333333
broadcaster,2,0.0,1.0,-1.0434876350000002
building,2,1.0,1.0,-1.0853176000000002
bus,3,1.0,1.0,-0.8991336533333333
busboy,5,0.0,1.0,-0.611234786
businessman,3,0.3333333333333333,0.6666666666666666,0.0555343766666667
businesswoman,3,0.0,1.0,-0.32220202
butcher,4,0.0,1.0,-0.6082749150000001
cake,3,1.0,1.0,-1.4277120666666665
cameraman,2,0.0,1.0,-0.52380841
camper,2,0.0,1.0,-0.98939501
canvas,4,1.0,1.0,-1.6642500550000001
captain,3,0.3333333333333333,0.6666666666666666,-0.0166492433333333
car,12,1.0,1.0,-0.8310189416666668
cardboard,4,1.0,1.0,-1.10749104
carpet,3,1.0,1.0,-1.18755713
carver,7,0.0,1.0,-0.7178938300000002
caterer,3,0.0,1.0,-0.64566815
cd,3,1.0,1.0,-0.9507082766666667
cellist,2,0.0,1.0,-0.598254085
cello,2,1.0,1.0,-1.06716346
chauffeur,3,0.0,1.0,-0.1072266666666666
chef,10,0.0,1.0,-0.2440923499999999
choreography,1,1.0,1.0,-1.11464113
clarinet,2,1.0,1.0,-1.3011693599999998
clarinetist,2,0.0,1.0,-0.83364483
clay,6,1.0,1.0,-1.511775085
cleaner,5,0.0,1.0,-0.9138580099999999
clerk,2,0.0,1.0,-0.36882857999999996
cloth,8,1.0,1.0,-1.62956587
coat,2,1.0,1.0,-1.6167694799999999
code,2,1.0,1.0,-1.035548855
comedian,1,0.0,1.0,-0.3784655999999999
concerto,1,1.0,1.0,-1.27899745
confectioner,3,0.0,1.0,-1.32574012
container,2,1.0,1.0,-1.71100418
convertible,3,1.0,1.0,-1.2307319566666666
cook,6,0.0,1.0,-0.9502004049999999
cotton,4,1.0,1.0,-1.740311555
countertop,3,1.0,1.0,-1.4976857266666668
crate,2,1.0,1.0,-1.87347119
cushion,4,1.0,1.0,-1.9870252375000002
cut,4,1.0,1.0,-1.5427282725
dancer,1,0.0,1.0,-1.13566968
dealer,3,0.0,1.0,-0.32929996333333333
dish,2,1.0,1.0,-1.5099706
doctor,2,0.0,1.0,-0.2167835149999999
dough,3,1.0,1.0,-1.66486294
dressmaker,4,0.0,1.0,-1.1971631125
driver,7,0.0,1.0,-0.38160859999999996
drug,3,1.0,1.0,-1.1251603533333334
drummer,2,0.0,1.0,-0.43764735499999996
duffle,2,1.0,1.0,-1.8772249250000002
essay,4,1.0,1.0,-0.6419673225
essayist,2,0.0,1.0,-0.3685235499999999
fabric,20,1.0,1.0,-1.6957079220000004
fillet,3,1.0,1.0,-1.1366333933333332
fish,3,1.0,1.0,-1.4588692833333334
floor,3,1.0,1.0,-1.2087707566666666
flute,2,1.0,1.0,-1.54703923
flutist,2,0.0,1.0,-0.9518184949999999
food,2,1.0,1.0,-1.285909625
gem,4,1.0,1.0,-1.14275167
glass,4,1.0,1.0,-1.6866205825
hairdresser,7,0.0,1.0,-0.5180298928571428
handle,4,1.0,1.0,-1.3848566974999998
hat,3,1.0,1.0,-0.9958498033333334
