noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-0.43324657
actor,1,1.0,0.6379527700000001
aircraft,3,0.0,-0.3548113766666667
album,3,1.0,0.14222971999999998
animal,2,0.0,-0.32344531499999996
announcer,2,1.0,0.5248202999999999
artisan,4,1.0,1.0038137374999998
artist,4,1.0,0.29513552499999995
author,2,1.0,0.5701733800000001
aviator,3,1.0,1.0588652233333333
backpack,2,1.0,0.21071045999999993
backpacker,2,1.0,0.1874037149999999
bag,2,0.0,-0.54272065
baker,6,0.3333333333333333,-0.11427685333333332
barber,7,1.0,0.2594187514285714
basket,2,0.0,-0.64256185
beard,3,0.0,-0.19027391666666663
bedding,5,0.0,-0.4768465859999999
bike,4,0.5,0.0007181349999999809
blanket,2,0.0,-0.379205645
blogger,2,1.0,0.24674758499999994
board,4,0.75,0.05236610999999998
book,3,0.3333333333333333,-0.06358846666666663
bottle,2,0.0,-0.41051201
bowl,2,0.0,-0.51950645
bread,3,0.0,-0.5796698866666667
broadcaster,2,0.0,-0.50532637
building,2,0.0,-0.56302544
bus,3,0.0,-0.14690273333333326
busboy,5,0.6,0.12493970400000001
businessman,3,1.0,0.6757872733333333
businesswoman,3,1.0,0.25880384333333334
butcher,4,1.0,0.2301883975
cake,3,0.0,-0.6054916066666668
cameraman,2,1.0,0.109309205
camper,2,0.0,-0.07873346
canvas,4,0.0,-0.5978460125
captain,3,1.0,0.8002656233333334
car,12,0.75,0.057184115833333306
cardboard,4,0.0,-0.1381740775
carpet,3,0.0,-0.06150881333333324
carver,7,0.7142857142857143,0.06670108571428571
caterer,3,0.6666666666666666,-0.0364557366666667
cd,3,1.0,0.1792412366666667
cellist,2,1.0,0.2120581199999999
cello,2,0.0,-0.17058937000000002
chauffeur,3,1.0,0.6756523933333334
chef,10,1.0,0.453373327
choreography,1,0.0,-0.1619967599999999
clarinet,2,0.0,-0.12685104499999994
clarinetist,2,1.0,0.052250815
clay,6,0.0,-0.6066936366666668
cleaner,5,0.2,-0.10722237799999997
clerk,2,1.0,0.21258358499999996
cloth,8,0.0,-0.757702195
coat,2,0.0,-0.41358087
code,2,0.0,-0.31893726499999997
comedian,1,1.0,0.60152812
concerto,1,1.0,0.28655424
confectioner,3,0.0,-0.5733591133333333
container,2,0.0,-0.69060904
convertible,3,0.0,-0.0431773333333333
cook,6,0.0,-0.23833911666666663
cotton,4,0.0,-0.7845908149999998
countertop,3,0.0,-0.2702478166666666
crate,2,0.0,-0.637429955
cushion,4,0.0,-1.0552783075
cut,4,0.0,-0.86374378
dancer,1,0.0,-0.10594364
dealer,3,1.0,0.2570847
dish,2,0.0,-0.56388435
doctor,2,0.5,-0.031888950000000006
dough,3,0.0,-0.7931690933333333
dressmaker,4,0.0,-0.657204875
driver,7,1.0,0.4732919871428572
drug,3,0.0,-0.3431656999999999
drummer,2,1.0,0.35654736500000006
duffle,2,0.0,-0.39667415000000006
essay,4,1.0,0.1886387175
essayist,2,1.0,0.43359282499999996
fabric,20,0.0,-0.9832042624999999
fillet,3,0.0,-0.13224408999999993
fish,3,0.0,-0.5382583033333334
floor,3,0.0,-0.21739450666666668
flute,2,0.0,-0.21962264999999995
flutist,2,1.0,0.11577316999999995
food,2,0.0,-0.60517891
gem,4,0.25,-0.11253838249999998
glass,4,0.0,-0.6014785975
hairdresser,7,1.0,0.17757336428571427
handle,4,0.0,-0.4061961049999999
hat,3,1.0,0.25690464999999996
herb,3,0.0,-0.39172868999999994
hiker,2,0.0,-0.12312224999999996
housekeeper,3,0.6666666666666666,-0.023602066666666702
ice,7,0.0,-0.3266784142857143
illustrator,4,1.0,0.13952514249999992
ingredient,3,0.0,-0.46320511000000003
instrument,2,0.0,-0.470972945
item,3,0.0,-0.13180477999999993
jacket,2,0.0,-0.20850085999999993
janitor,3,1.0,0.39367048
jet,3,1.0,0.10204247333333327
jeweler,4,1.0,0.23136328250000002
jewelry,3,0.0,-0.5773753566666666
journalist,2,0.0,-0.23771002499999996
kite,3,0.0,-0.23676879666666664
knob,4,0.0,-0.53476643
lady,5,0.0,-0.732376264
lake,2,0.0,-0.65959554
landscape,2,0.0,-0.754883175
letter,2,0.0,-0.3250456249999999
line,2,0.0,-0.81023896
lotion,3,0.0,-0.17356679333333333
lunchbox,2,0.0,-0.49196054
machine,8,0.0,-0.78203034875
magazine,3,0.0,-0.45320472999999994
maid,5,0.6,0.13695285399999996
make,3,0.3333333333333333,-0.0395895266666667
man,5,0.0,-0.33622544599999993
marble,3,0.0,-0.4234034499999999
mason,3,0.0,-0.0649550833333333
material,4,0.0,-0.99197768
meat,7,0.0,-0.538440127142857
mirror,3,0.0,-0.5013485133333333
model,2,0.0,-0.32812692499999996
motorcycle,4,1.0,0.17618060749999992
motorist,4,0.75,0.12319799499999998
mountain,2,0.0,-0.6661262000000001
mover,2,0.0,-0.1779202949999999
mushroom,3,0.0,-0.6795355966666667
musician,3,0.0,-0.1370982833333333
narrator,2,0.0,-0.4210776849999999
notetaker,2,0.0,-0.330826715
novel,3,0.0,-0.1474362033333333
novelist,2,1.0,0.3664186
orator,2,1.0,0.12332824999999994
packaging,4,0.0,-0.6490683650000001
