noun,avg_LL_delta
abstract,0.09659196
actor,0.4841728399999999
aircraft,0.6503370999999999
album,0.9209404
animal,0.8286697500000001
announcer,0.9366205999999996
artisan,0.4892616399999999
artist,0.4884986
author,1.3177757
aviator,1.0499094
backpack,0.85780327
backpacker,0.8496609399999999
bag,0.94975082
baker,0.4921321000000001
barber,-0.13263716
basket,0.5364379
beard,0.34000014
bedding,0.4943009
bike,1.37300483
blanket,-0.11623567
blogger,1.5043011
board,0.7409096499999999
book,1.06415362
bottle,0.5091134
bowl,0.44507785
bread,0.4446868899999999
broadcaster,1.2134397300000002
building,1.00541673
bus,0.52876484
busboy,0.8400879000000001
businessman,0.7233123
businesswoman,0.6742286000000001
butcher,0.1653138
cake,0.0418663499999999
cameraman,0.6185341000000001
camper,0.557867
canvas,0.38147156
captain,0.67312434
car,0.6960413000000001
cardboard,0.1376551299999999
carpet,0.61803054
carver,0.0803413299999999
caterer,0.24052633
cd,0.90344615
cellist,0.6241532000000001
cello,0.3576927
chauffeur,0.71231077
chef,0.0712700299999999
choreography,0.6914956699999999
clarinet,0.7928619699999999
clarinetist,1.27080716
clay,0.6432686
cleaner,1.16445522
clerk,1.7335795800000002
cloth,0.75473408
coat,0.1760025599999999
code,1.5117035
comedian,0.4420469999999999
concerto,1.533617
confectioner,0.4570122000000001
container,0.5087204
convertible,1.06901176
cook,0.12811865
cotton,1.33132556
countertop,0.6321981000000001
crate,0.7983397999999999
cushion,-0.0894661499999999
cut,0.5622994
dancer,0.9049512
dealer,0.8052137
dish,0.2900697
doctor,0.0157241999999999
dough,0.5889891600000001
dressmaker,0.93043515
driver,0.7076569999999999
drug,0.1685332699999999
drummer,0.75213063
duffle,0.6193636
essay,1.4099808
essayist,1.84731287
fabric,1.26616293
fillet,0.57358738
fish,0.5123786
floor,0.6725368199999999
flute,0.4012681
flutist,0.8028717
food,0.1792259
gem,0.72829827
glass,0.4742623000000001
hairdresser,0.5131205999999999
handle,1.35775378
hat,0.6963902000000001
herb,0.7099704
hiker,0.5391577700000001
housekeeper,0.5465298000000001
ice,0.29758076
illustrator,1.8467712
ingredient,0.4737454399999999
instrument,0.1582127599999999
item,0.6204452599999999
jacket,0.6841219999999999
janitor,0.96612937
jet,0.7208613700000001
jeweler,0.5613785600000001
jewelry,0.96472942
journalist,1.1515123000000005
kite,0.8105013
knob,1.1854782
lady,0.3570421699999999
lake,-0.2385636
landscape,0.5193844
letter,1.48705095
line,0.59109123
lotion,1.09843452
lunchbox,0.5667401000000001
machine,0.5546284
magazine,1.21099652
maid,0.4469071599999999
make,1.08738705
man,0.54172536
marble,0.55435377
mason,0.6724967599999999
material,0.49811934
meat,0.5909557999999999
mirror,-0.3208942999999999
model,1.24913408
motorcycle,1.31543346
motorist,1.0124741
mountain,0.3865165699999999
mover,0.7906017
mushroom,0.5634773000000001
musician,0.7488402000000001
narrator,0.7693460999999999
notetaker,1.0296763000000002
novel,1.6377333
novelist,1.1128806
orator,0.7269439000000001
packaging,1.37056542
painter,0.2721176
panel,0.69146534
paper,1.0707015
passage,0.15325159
pastry,0.3786087
patissier,0.0750159499999999
pattern,0.9963053
peddler,0.54038806
pepper,0.8047141500000001
person,0.6147118500000001
photographer,0.37583
pianist,0.94883137
piano,0.7464142
pie,0.51152794
pilot,0.98088457
pizza,0.3935278
plane,0.70137583
poem,1.031721
poet,0.8491782999999999
portraitist,0.1050091
pot,0.6497172000000001
potato,0.0130405999999999
potter,0.749115
product,0.8741837499999999
professor,1.0164928
proposal,0.6215115000000001
pumpkin,-0.1397094299999999
quilt,0.36112787
racer,1.4471854
report,0.8557128700000001
roadtripper,0.66952516
routine,0.5510102000000001
salesman,1.2559851
saleswoman,1.05632024
salmon,0.95989795
scene,0.75955956
screw,1.30786507
scribe,0.5099373
script,1.08437536
sculptor,0.1082935999999999
seamster,0.81893166
seamstress,0.87304304
section,0.5907211000000001
shirt,0.96714775
shopkeeper,0.68083565
sideburn,0.4012775999999999
silk,1.0299168
silverware,0.58069215
singer,1.31310833
snack,0.2505417999999999
soloist,1.5194739999999998
sonata,0.4399185000000001
song,0.5805836000000001
steak,0.6588840599999999
stone,0.19003689
stubble,1.03832245
student,1.2559738
suitcase,1.07750515
surface,0.14875785
surgeon,0.0277138
suv,1.15114588
tailor,0.6713866000000001
tank,0.2792625999999999
teacher,0.73733886
telemarketer,1.17867665
tent,0.44446375
thread,1.09556765
toy,0.90381055
tractor,0.7254333400000001
trader,0.7551556000000001
traveller,0.8251934499999999
truck,0.6216448
tub,0.1670950999999999
tuna,0.4971886499999999
turkey,0.8681220300000001
upholsterer,0.9917715
valve,1.03650487
van,1.0136241
vegetable,0.2790050599999999
vehicle,0.3459757999999999
verse,1.3347014
view,0.5905361
violin,0.7615261200000001
violinist,0.91089806
waiter,0.14131923
waitress,0.5264436
wall,0.7734185
window,0.6836376
windshield,0.6504019999999999
woman,0.4289740999999999
wood,0.31319427
wool,1.33873563
worker,1.18205646
wound,0.4617309999999999
yarn,1.37201317
