noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,0.0,-1.008239395
actor,1,1.0,1.0,1.52887334
aircraft,3,0.0,1.0,1.1883904566666665
album,3,0.6666666666666666,0.3333333333333333,-0.2524978466666666
animal,2,1.0,0.0,-0.41874045000000004
announcer,2,1.0,1.0,1.065038
artisan,4,1.0,1.0,2.1015761775
artist,4,1.0,1.0,1.6498549064999999
author,2,1.0,1.0,2.19321033
aviator,3,1.0,1.0,2.0721311366666666
backpack,2,1.0,1.0,-0.627513
backpacker,2,1.0,1.0,0.3851815049999999
bag,2,1.0,1.0,-1.580400965
baker,6,1.0,1.0,1.6268109533333333
barber,7,1.0,1.0,1.7969268728571426
basket,2,1.0,1.0,-1.515946365
beard,3,1.0,1.0,-0.5673534466666665
bedding,5,1.0,1.0,-1.8195232000000001
bike,4,0.5,0.5,-0.127947835
blanket,2,1.0,1.0,-1.25591136
blogger,2,1.0,1.0,1.4972747599999998
board,4,0.5,0.5,-0.13484682000000003
book,3,0.3333333333333333,0.3333333333333333,0.20628359333333335
bottle,2,1.0,1.0,-1.03526655
bowl,2,1.0,1.0,-1.36734643
bread,3,1.0,1.0,-0.2999540533333333
broadcaster,2,1.0,1.0,1.132883825
building,2,1.0,0.0,-0.76693474
bus,3,0.0,1.0,0.1996716999999999
busboy,5,0.6,0.6,0.180384998
businessman,3,1.0,1.0,0.9828116166666666
businesswoman,3,1.0,1.0,2.0878365933333334
butcher,4,1.0,1.0,1.7623940700000003
cake,3,1.0,0.0,-0.76272113
cameraman,2,1.0,1.0,1.9026517150000002
camper,2,0.0,1.0,-0.7158714749999999
canvas,4,1.0,0.0,-0.751030875
captain,3,1.0,1.0,1.63883948
car,12,0.4166666666666667,0.5833333333333334,0.1675363483333333
cardboard,4,0.75,0.75,-0.08987342999999998
carpet,3,1.0,1.0,-1.27715963
carver,7,1.0,1.0,2.2010114442857147
caterer,3,1.0,1.0,1.5002559966666666
cd,3,0.3333333333333333,0.6666666666666666,-0.015362320000000027
cellist,2,1.0,1.0,1.746162745
cello,2,0.0,0.0,0.66616775
chauffeur,3,1.0,1.0,1.70928433
chef,10,1.0,1.0,1.7999524175000001
choreography,1,0.0,1.0,0.1427359
clarinet,2,0.0,1.0,1.27499111
clarinetist,2,1.0,1.0,1.8205259200000001
clay,6,1.0,1.0,-0.7601312116666666
cleaner,5,1.0,1.0,1.1187564859999999
clerk,2,0.5,0.5,-0.06455495500000005
cloth,8,0.75,0.75,-0.518117005
coat,2,1.0,1.0,-1.367512925
code,2,0.0,1.0,0.8152335299999999
comedian,1,1.0,1.0,1.99082291
concerto,1,0.0,1.0,0.8358199000000001
confectioner,3,1.0,1.0,1.0410048766666666
container,2,1.0,1.0,-1.265551385
convertible,3,0.6666666666666666,0.3333333333333333,0.06767000333333333
cook,6,1.0,1.0,1.6795204675
cotton,4,1.0,1.0,-0.8698615749999999
countertop,3,1.0,1.0,-1.6278981866666669
crate,2,1.0,1.0,-1.34084545
cushion,4,1.0,1.0,-1.3633200775
cut,4,0.0,1.0,0.383576025
dancer,1,1.0,1.0,1.44251744
dealer,3,1.0,1.0,1.5533090366666666
dish,2,1.0,1.0,-1.3059715
doctor,2,1.0,1.0,1.734938605
dough,3,1.0,0.0,-1.3128186233333334
dressmaker,4,1.0,1.0,2.06059465
driver,7,0.8571428571428571,0.8571428571428571,1.3967881714285715
drug,3,0.3333333333333333,0.6666666666666666,0.20711547333333327
drummer,2,1.0,1.0,1.5190243200000002
duffle,2,1.0,1.0,-0.970179385
essay,4,0.75,0.25,-0.48741183999999993
essayist,2,1.0,1.0,1.975648405
fabric,20,0.85,0.15,-0.7646197344999999
fillet,3,1.0,1.0,-0.7898332566666667
fish,3,1.0,1.0,-0.8041177533333332
floor,3,1.0,1.0,-1.6354462200000002
flute,2,0.0,1.0,0.99418062
flutist,2,1.0,1.0,1.8181201850000002
food,2,1.0,0.0,-1.45989215
gem,4,0.0,0.0,0.5525273725000001
glass,4,1.0,0.0,-0.845766635
hairdresser,7,1.0,1.0,1.8864324942857142
handle,4,0.5,0.5,0.27253413750000005
hat,3,1.0,1.0,-0.8455990099999999
herb,3,1.0,1.0,-1.0640172966666663
hiker,2,0.5,0.5,-0.0009436200000000478
housekeeper,3,1.0,1.0,1.70828088
ice,7,0.14285714285714285,0.14285714285714285,0.2915838357142856
illustrator,4,1.0,1.0,1.9862725177500002
ingredient,3,1.0,0.0,-1.1256882633333334
instrument,2,0.0,1.0,1.14300084
item,3,1.0,0.0,-1.1043579766666667
jacket,2,1.0,1.0,-1.194148465
janitor,3,1.0,1.0,1.16595828
jet,3,0.0,1.0,0.53606579
jeweler,4,1.0,1.0,2.2063508475
jewelry,3,1.0,1.0,-1.0766065533333333
journalist,2,1.0,1.0,2.174846925
kite,3,0.0,1.0,0.6907323566666667
knob,4,1.0,1.0,-0.943901355
lady,5,0.6,0.6,-0.031414010000000006
lake,2,1.0,1.0,-2.06161511
landscape,2,1.0,0.0,-1.37987684
letter,2,1.0,1.0,-0.585696105
line,2,1.0,1.0,-0.681467935
lotion,3,1.0,0.0,-0.8518859133333333
lunchbox,2,1.0,1.0,-1.0176131050000001
machine,8,0.75,0.75,0.8785368387500001
magazine,3,0.6666666666666666,0.3333333333333333,-0.23857910000000004
maid,5,0.6,0.6,0.09637179800000005
make,3,0.0,1.0,0.53787843
man,5,0.8,0.8,0.37029792199999995
marble,3,0.0,0.0,0.43773934
mason,3,1.0,1.0,2.5837921033333333
material,4,1.0,0.0,-0.8584533575
meat,7,0.8571428571428571,0.8571428571428571,-0.4517153814285715
mirror,3,0.6666666666666666,0.6666666666666666,-0.53792163
model,2,0.0,1.0,0.06770347999999995
motorcycle,4,0.5,0.5,0.2501022225
motorist,4,0.5,0.5,0.3316734975000001
mountain,2,1.0,1.0,-0.8676133050000001
mover,2,1.0,1.0,0.6667961
mushroom,3,1.0,1.0,-1.35035447
musician,3,1.0,1.0,1.6379727
narrator,2,1.0,1.0,1.708771
notetaker,2,1.0,1.0,0.370173365
novel,3,0.0,1.0,0.44545666666666667
novelist,2,1.0,1.0,2.316521025
orator,2,1.0,1.0,1.064894845
packaging,4,0.25,0.75,0.18257385
painter,4,1.0,1.0,1.9444509664999998
panel,4,1.0,0.0,-1.02680583
paper,4,0.5,0.5,0.07240070750000004
passage,6,1.0,0.0,-0.6605482733333333
pastry,3,1.0,0.0,-0.9823525166666666
patissier,3,1.0,1.0,1.7000347333333332
pattern,5,1.0,0.0,-0.43079284399999995
peddler,3,1.0,1.0,0.9970917833333334
pepper,3,1.0,1.0,-0.35966571666666675
person,30,0.7666666666666667,0.7666666666666667,0.38283814133333344
photographer,2,1.0,1.0,2.47338229
pianist,2,1.0,1.0,1.80712064
piano,2,0.0,1.0,0.75532149
pie,3,1.0,1.0,-0.7648164333333334
pilot,7,0.8571428571428571,0.8571428571428571,1.4277058305714285
pizza,3,1.0,1.0,-0.8392491533333333
plane,3,0.0,1.0,0.5397458233333333
poem,2,1.0,0.0,-0.30020976999999993
poet,2,1.0,1.0,1.6618978649999998
portraitist,4,1.0,1.0,2.1011813325
pot,3,1.0,1.0,-0.64403356
potato,3,1.0,1.0,-1.06682786
potter,3,1.0,1.0,2.7162484436666667
product,3,0.3333333333333333,0.6666666666666666,0.1693341933333333
professor,2,1.0,1.0,2.0718626075
proposal,2,0.0,1.0,0.7495066
pumpkin,4,0.75,0.75,-0.2600465549999999
quilt,4,1.0,1.0,-1.03952329
racer,4,0.75,0.75,0.49354977999999994
report,2,1.0,0.0,-0.551133385
roadtripper,2,0.0,0.0,-0.2315524
routine,1,0.0,1.0,0.2581706
salesman,3,1.0,1.0,2.1283251666666665
saleswoman,3,1.0,1.0,1.9495649000000002
salmon,3,1.0,1.0,-0.45294489999999993
scene,1,1.0,0.0,-0.23208245
screw,4,0.5,0.5,0.05347522500000004
scribe,2,1.0,1.0,1.36311574
script,2,0.5,0.5,-0.11717058500000005
sculptor,7,1.0,1.0,2.8676198362857144
seamster,8,0.875,0.875,1.13153413
seamstress,4,0.75,0.75,1.9143051100000001
section,2,0.5,0.5,-0.15933958000000004
shirt,2,1.0,1.0,-1.24600238
shopkeeper,3,1.0,1.0,1.4472424033333333
sideburn,3,1.0,0.0,-0.7586477766666668
silk,4,0.75,0.25,-0.5049669750000001
silverware,3,0.6666666666666666,0.3333333333333333,-0.43363317333333334
singer,1,1.0,1.0,1.20893085
snack,3,1.0,0.0,-0.3419698566666667
soloist,1,1.0,1.0,1.27178874
sonata,1,0.0,1.0,0.5824625999999999
song,1,0.0,1.0,0.3537947
steak,7,0.8571428571428571,0.8571428571428571,-0.49119066
stone,7,0.0,0.0,0.9910160499999999
stubble,3,1.0,1.0,-0.3200137333333333
student,4,1.0,1.0,0.8811403975000001
suitcase,2,1.0,1.0,-0.905797695
surface,7,1.0,1.0,-1.5038702014285714
surgeon,4,1.0,1.0,2.1534743825
suv,6,0.16666666666666666,0.8333333333333334,0.43413152166666663
tailor,12,1.0,1.0,1.9429878603333333
tank,3,0.0,1.0,0.43971430000000006
teacher,2,1.0,1.0,1.781482645
telemarketer,3,1.0,1.0,1.15669737
tent,2,1.0,1.0,-1.3296477649999998
thread,4,0.75,0.25,-0.19972197000000005
toy,3,0.3333333333333333,0.3333333333333333,0.02955096999999997
tractor,3,0.0,1.0,1.3007841466666665
trader,3,1.0,1.0,1.51979514
traveller,2,1.0,1.0,0.27448419
truck,3,0.0,1.0,0.8749105266666667
tub,2,1.0,1.0,-1.55842174
tuna,3,1.0,1.0,-0.49618159999999994
turkey,4,0.0,0.0,0.30048050000000004
upholsterer,4,1.0,1.0,1.597499394
valve,4,0.5,0.5,0.098585105
van,3,0.0,1.0,0.15264158999999997
vegetable,3,1.0,1.0,-1.2100759333333333
vehicle,3,0.0,1.0,0.8317388933333333
verse,2,1.0,0.0,-0.23443429999999998
view,2,1.0,1.0,-2.052408035
violin,2,0.0,0.0,1.093352475
violinist,2,1.0,1.0,1.6812267699999999
waiter,3,1.0,1.0,0.96021462
waitress,3,1.0,1.0,0.8221532433333333
wall,4,1.0,1.0,-1.6895074350000003
window,3,1.0,0.0,-0.48738073666666654
windshield,5,1.0,1.0,-0.7616300979999999
woman,5,0.8,0.8,0.5792841400000001
wood,11,0.45454545454545453,0.45454545454545453,-0.22616677909090913
wool,5,1.0,1.0,-0.637234898
worker,4,0.75,0.75,0.44625801249999997
wound,4,1.0,1.0,-1.5533490825
yarn,5,0.8,0.8,-0.213589788
