model,agent_acc,patient_acc,overall_acc,macro_f1,thresh_overall_acc,thresh_macro_f1,min_LL,max_LL,thresh
bloom-560m,0.05865102639296188,0.949685534591195,0.578239608801956,0.4140583636986515,0.5880195599022005,0.5509587081914126,-2.24957275390625,0.75048828125,-0.7495727539062487
bloom-1b1,0.5073313782991202,0.2851153039832285,0.37775061124694376,0.3764749047180478,0.58679706601467,0.4207090177673483,-0.76611328125,1.5316162109375,1.0338867187499996
bloom-1b7,1.0,0.0020964360587002098,0.4180929095354523,0.29656527991559534,0.8264058679706602,0.8257548483102919,-0.03125,2.12554931640625,0.96875
bloom-3b,1.0,0.0,0.41687041564792177,0.2942191544434858,0.5904645476772616,0.38990967644262775,0.265625,3.57867431640625,3.1656249999999995
bloom-7b1,1.0,0.0,0.41687041564792177,0.2942191544434858,0.5916870415647921,0.40991948303269055,0.109375,1.359619140625,1.109375
gpt2-small,0.9530791788856305,0.3668763102725367,0.6112469437652812,0.5977198495570841,0.8202933985330073,0.8136007031478889,-1.4044646620750427,3.8595582097768784,1.0955353379249595
gpt2-medium,0.9002932551319648,0.7169811320754716,0.793398533007335,0.7930196032633676,0.80440097799511,0.8014334176877187,-1.4674987494945526,2.4548035711050034,0.2325012505054489
gpt2-large,1.0,0.033542976939203356,0.43643031784841074,0.3307920688412934,0.7506112469437652,0.7488758465011287,-0.91637322306633,4.214795155450702,1.7836267769336693
gpt2-xl,0.9853372434017595,0.0880503144654088,0.4621026894865526,0.38231094513702013,0.7555012224938875,0.7345121254608713,-0.42934322357177734,1.8028469681739807,0.7706567764282224
gpt3-ada,0.05571847507331378,1.0,0.6063569682151589,0.42660222918843604,0.7909535452322738,0.7820872130973876,-5.626694248000001,2.8731238,-2.2266942480000127
gpt3-babbage,0.008797653958944282,1.0,0.58679706601467,0.3779159766721866,0.8288508557457213,0.8239854417578094,-2.29600538,0.19248595000000002,-0.9960053799999988
gpt3-curie,0.011730205278592375,0.9853249475890985,0.5794621026894865,0.37740725007080145,0.6968215158924206,0.6924065987384764,-1.72792417,0.25171260000000006,-0.527924169999999
gpt3-davinci,0.9149560117302052,0.6813417190775681,0.7787286063569682,0.7786727059368717,0.8386308068459658,0.8304194596088729,-2.41951852,3.2170568200000003,0.6804814800000027
text-ada-001,0.782991202346041,0.6918238993710691,0.7298288508557457,0.7282167314385368,0.7444987775061125,0.7373448107924578,-7.6172152985,9.9033106833,0.5827847014999712
text-babbage-001,0.8651026392961877,0.10482180293501048,0.421760391198044,0.36477649774502996,0.5819070904645477,0.3678516228748067,-2.85963323,5.571137875,5.440366770000008
text-curie-001,0.16715542521994134,0.7693920335429769,0.5183374083129584,0.43755933433852684,0.58679706601467,0.3831566359677304,-3.951866001,1.36427868,1.0481339990000045
text-davinci-001,0.9530791788856305,0.20335429769392033,0.5158924205378973,0.47511423663998437,0.8447432762836186,0.8349766410440921,-5.503720303,14.0452956843,7.3962796969999545
text-davinci-003,1.0,0.8364779874213837,0.9046454767726161,0.9041636625811103,0.9779951100244498,0.9773113905325443,-16.7869904603,19.4025478409,12.513009539700416
