model,corr_noun_LL,corr_human,corr_subj
bloom-560m,0.679471368872319,0.21448234436382507,0.17603256544318993
bloom-1b1,0.6636501367974463,-0.09624044414722821,-0.03021506569618557
bloom-1b7,0.5618651704555438,0.6175002564486918,0.5353010338245272
bloom-3b,0.3429368194940697,0.04872730394802602,-0.006871102763000724
bloom-7b1,0.36410308444715467,0.049695805584186604,0.021557912330230192
gpt2-small,0.7719491191710054,0.6584112388382538,0.5118536598625522
gpt2-medium,0.6813942629405476,0.5463263540584149,0.5244810297742288
gpt2-large,0.5653974423498652,0.6315101643840269,0.47413901127625757
gpt2-xl,0.6117952642193405,0.48357274267972356,0.46930940555659967
gpt3-ada,0.671759502622268,0.5576344322569864,0.49704898389239976
gpt3-babbage,0.598227205433951,0.7457162731813004,0.5799040020658017
gpt3-curie,0.3731412685372773,0.4199758524098972,0.4081679197702033
gpt3-davinci,0.766530912485695,0.7715804723388452,0.6027031061467102
text-ada-001,0.6392667520320379,0.574230847861315,0.46890377974130554
text-babbage-001,0.09213627578336747,-0.029912176832078887,-0.05297422361212264
text-curie-001,0.2515131785303878,0.04527161613542603,0.12955189060669897
text-davinci-001,0.5564453428821395,0.6726477930262662,0.5376871261884141
text-davinci-003,0.9191298481687986,0.9273643655068396,0.7103572999286802
