verb,gpt3-davinci_acc,gpt3-davinci_agent_acc,gpt3-davinci_patient_acc,gpt3-davinci_agent_avg_LL_delta,gpt3-davinci_patient_avg_LL_delta,gpt3-babbage_acc,gpt3-babbage_agent_acc,gpt3-babbage_patient_acc,gpt3-babbage_agent_avg_LL_delta,gpt3-babbage_patient_avg_LL_delta,text-davinci-001_acc,text-davinci-001_agent_acc,text-davinci-001_patient_acc,text-davinci-001_agent_avg_LL_delta,text-davinci-001_patient_avg_LL_delta,bloom-1b1_acc,bloom-1b1_agent_acc,bloom-1b1_patient_acc,bloom-1b1_agent_avg_LL_delta,bloom-1b1_patient_avg_LL_delta,bloom-3b_acc,bloom-3b_agent_acc,bloom-3b_patient_acc,bloom-3b_agent_avg_LL_delta,bloom-3b_patient_avg_LL_delta,gpt2-x_acc,gpt2-x_agent_acc,gpt2-x_patient_acc,gpt2-x_agent_avg_LL_delta,gpt2-x_patient_avg_LL_delta,bloom-560m_acc,bloom-560m_agent_acc,bloom-560m_patient_acc,bloom-560m_agent_avg_LL_delta,bloom-560m_patient_avg_LL_delta,gpt3-ada_acc,gpt3-ada_agent_acc,gpt3-ada_patient_acc,gpt3-ada_agent_avg_LL_delta,gpt3-ada_patient_avg_LL_delta,gpt3-curie_acc,gpt3-curie_agent_acc,gpt3-curie_patient_acc,gpt3-curie_agent_avg_LL_delta,gpt3-curie_patient_avg_LL_delta,text-davinci-003_acc,text-davinci-003_agent_acc,text-davinci-003_patient_acc,text-davinci-003_agent_avg_LL_delta,text-davinci-003_patient_avg_LL_delta,gpt2-medium_acc,gpt2-medium_agent_acc,gpt2-medium_patient_acc,gpt2-medium_agent_avg_LL_delta,gpt2-medium_patient_avg_LL_delta,gpt2-xl_acc,gpt2-xl_agent_acc,gpt2-xl_patient_acc,gpt2-xl_agent_avg_LL_delta,gpt2-xl_patient_avg_LL_delta,bloom-1b7_acc,bloom-1b7_agent_acc,bloom-1b7_patient_acc,bloom-1b7_agent_avg_LL_delta,bloom-1b7_patient_avg_LL_delta,text-ada-001_acc,text-ada-001_agent_acc,text-ada-001_patient_acc,text-ada-001_agent_avg_LL_delta,text-ada-001_patient_avg_LL_delta,gpt2-large_acc,gpt2-large_agent_acc,gpt2-large_patient_acc,gpt2-large_agent_avg_LL_delta,gpt2-large_patient_avg_LL_delta,text-curie-001_acc,text-curie-001_agent_acc,text-curie-001_patient_acc,text-curie-001_agent_avg_LL_delta,text-curie-001_patient_avg_LL_delta,text-babbage-001_acc,text-babbage-001_agent_acc,text-babbage-001_patient_acc,text-babbage-001_agent_avg_LL_delta,text-babbage-001_patient_avg_LL_delta,bloom-7b1_acc,bloom-7b1_agent_acc,bloom-7b1_patient_acc,bloom-7b1_agent_avg_LL_delta,bloom-7b1_patient_avg_LL_delta
bakes,0.9761904761904762,0.9444444444444444,1.0,1.2079901788888887,-0.90333397375,0.5714285714285714,0.0,1.0,-0.9006926794444445,-1.5461429008333332,0.7142857142857143,0.7777777777777778,0.6666666666666666,5.199582650705555,-1.1655761375,0.3333333333333333,0.1666666666666666,0.4583333333333333,-0.2291666666666666,0.03515625,0.4285714285714285,1.0,0.0,2.0155758327907987,1.9767786661783853,0.7619047619047619,1.0,0.5833333333333334,1.3792290021147993,-0.0329979459444682,0.5714285714285714,0.0,1.0,-0.8333740234375,-0.937530517578125,0.5714285714285714,0.0,1.0,-2.872732038222222,-3.697151045916667,0.5714285714285714,0.0,1.0,-0.6199324988888888,-1.1755503254166666,1.0,1.0,1.0,16.23982966656833,-10.565339525840416,0.9285714285714286,0.8333333333333334,1.0,0.4594645996888478,-0.4363988228142261,0.5476190476190477,0.8333333333333334,0.3333333333333333,0.4655651466714011,0.0811475912729898,0.4285714285714285,1.0,0.0,1.3575575086805556,0.8814900716145834,0.7857142857142857,0.5,1.0,-0.5356686778888888,-5.310136195875,0.4285714285714285,1.0,0.0,2.4180105527242026,1.4651836150636277,0.5714285714285714,0.0,1.0,-1.5238804605555556,-2.188000096125,0.4285714285714285,0.5555555555555556,0.3333333333333333,0.0856547049999999,0.23582135875,0.4285714285714285,1.0,0.0,0.5764431423611112,0.64263916015625
carves,0.5625,1.0,0.25,2.0543560375,0.2479023503571427,0.6041666666666666,0.05,1.0,-0.5222800725,-1.1873603475,0.4166666666666667,1.0,0.0,10.863782511874998,3.817219205910714,0.5833333333333334,0.2,0.8571428571428571,-0.37891845703125,-0.2516915457589285,0.4166666666666667,1.0,0.0,2.2756591796875,2.3356541224888394,0.6666666666666666,1.0,0.4285714285714285,2.0071772476658225,0.1102384839739118,0.5833333333333334,0.0,1.0,-0.6749267578125,-1.1339460100446428,0.5833333333333334,0.0,1.0,-1.876874618,-3.627908103946429,0.5833333333333334,0.0,1.0,-0.4292467165,-0.6255582985714286,1.0,1.0,1.0,16.72997896894,-9.256561558465716,0.8541666666666666,0.65,1.0,0.2385765105485916,-0.668877471770559,0.5,1.0,0.1428571428571428,0.6832732133567333,0.4191805624536106,0.4166666666666667,1.0,0.0,1.259320068359375,0.8057294573102679,0.8333333333333334,0.65,0.9642857142857144,1.6134229581999997,-3.4436849778142857,0.4166666666666667,1.0,0.0,2.0905384119600057,1.4217895200209958,0.4791666666666667,0.0,0.8214285714285714,-0.7511259115,-0.5185750660714287,0.5,1.0,0.1428571428571428,1.7512393604,1.346336541321428,0.4166666666666667,1.0,0.0,0.92105712890625,0.7617536272321429
cleans,0.925925925925926,0.9047619047619048,0.9393939393939394,0.9076079019047618,-1.0434721169696972,0.6111111111111112,0.0,1.0,-0.6267713114285715,-1.3027233939393938,0.4074074074074074,1.0,0.0303030303030303,10.31262562795714,3.710858785166667,0.3148148148148148,0.6190476190476191,0.1212121212121212,0.0334821428571428,0.3684008049242424,0.3888888888888889,1.0,0.0,2.669682094029018,2.4395197088068183,0.5370370370370371,1.0,0.2424242424242424,2.0106874988192605,0.5227056570125349,0.6296296296296297,0.0476190476190476,1.0,-0.7500697544642857,-0.9090909090909092,0.6666666666666666,0.1428571428571428,1.0,-1.186700120476191,-2.1903678493333336,0.6111111111111112,0.0,1.0,-0.4719911976190475,-0.7508669924242425,1.0,1.0,1.0,15.795207421819525,-12.978575707721207,0.8518518518518519,0.7619047619047619,0.9090909090909092,0.6620214482148489,-0.2599066513957399,0.3888888888888889,1.0,0.0,1.0368437071641283,0.5181002761378433,0.3888888888888889,1.0,0.0,1.425478980654762,0.8333000414299242,0.6296296296296297,1.0,0.3939393939393939,2.446775757809524,0.3672104142424242,0.3888888888888889,1.0,0.0,2.657776690309956,1.7563878042679844,0.6666666666666666,0.2857142857142857,0.9090909090909092,-0.3224430847619047,-0.3838006700000001,0.3888888888888889,1.0,0.0,1.867261146619048,2.411326846333334,0.3888888888888889,1.0,0.0,0.7462216331845238,0.8385860558712122
cooks,1.0,1.0,1.0,1.7237676450000003,-0.8482103154545454,0.7333333333333333,0.0,1.0,-0.68180526,-1.3258615215151517,0.6222222222222222,0.9166666666666666,0.5151515151515151,7.221512138091668,-0.2259917378181819,0.2888888888888888,0.0,0.3939393939393939,-0.1666666666666666,0.1136215672348484,0.2666666666666666,1.0,0.0,2.2225418090820312,2.0989028468276514,0.4444444444444444,1.0,0.2424242424242424,2.3145608697086573,0.3365087825240511,0.7333333333333333,0.0,1.0,-0.9583740234375,-1.2045750473484849,0.7333333333333333,0.0,1.0,-2.4162092283333334,-3.729966282060607,0.7333333333333333,0.0,1.0,-0.5961233758333333,-0.8502795890909088,1.0,1.0,1.0,17.032749619345832,-12.33256425478788,0.9111111111111112,1.0,0.8787878787878788,0.61576080818971,-0.4813872918938146,0.2888888888888888,1.0,0.0303030303030303,0.6000692745049795,0.4076738375605959,0.2666666666666666,1.0,0.0,1.0858052571614585,0.6316583806818182,0.8,0.5,0.9090909090909092,0.0794655423333334,-2.9676777618484853,0.2666666666666666,1.0,0.0,2.4592128607134023,1.6946146138238185,0.6444444444444445,0.0,0.8787878787878788,-1.2635540175,-1.2139782776666663,0.3111111111111111,0.75,0.1515151515151515,1.1596299341666667,1.641226039939394,0.2666666666666666,1.0,0.0,0.5350545247395834,0.5658365885416666
cuts,0.75,1.0,0.5833333333333334,1.761723178125,-0.0476605937499999,0.6,0.0,1.0,-0.4423402306249999,-1.1849858620833331,0.475,1.0,0.125,9.887700333500002,3.2353477038958336,0.275,0.0,0.4583333333333333,-0.409088134765625,0.060546875,0.4,1.0,0.0,2.268688201904297,2.0839818318684897,0.8,1.0,0.6666666666666666,1.696757322177291,-0.1170252114534378,0.6,0.0,1.0,-0.7812042236328125,-1.000030517578125,0.6,0.0,1.0,-1.7833598468749998,-2.818825147333334,0.6,0.0,1.0,-0.3728758318749999,-0.5934688512499999,0.925,1.0,0.875,16.862266124646876,-7.281279763017085,0.9,1.0,0.8333333333333334,0.4477014616131782,-0.3919766681889693,0.4,1.0,0.0,0.8738101124763489,0.5793040494124094,0.4,1.0,0.0,1.3280105590820312,0.5467936197916666,0.6,1.0,0.3333333333333333,3.858515788562499,0.0689096867916666,0.525,1.0,0.2083333333333333,1.965804081875831,0.440387765566508,0.4,0.1875,0.5416666666666666,-0.444204775625,-0.2626664214583333,0.45,0.875,0.1666666666666666,1.6131439988124998,1.4367020990416666,0.4,1.0,0.0,0.638702392578125,0.7149556477864584
drives,0.3055555555555556,1.0,0.074074074074074,1.4607925322222224,0.5785149551851851,0.75,0.0,1.0,-0.3136787788888888,-0.9247155677777776,0.25,1.0,0.0,9.074086552511112,6.358799673703703,0.25,1.0,0.0,0.6685384114583334,0.6376862702546297,0.25,1.0,0.0,2.310818142361111,2.40556957103588,0.5833333333333334,1.0,0.4444444444444444,1.414546514550845,0.1968195581877672,0.6388888888888888,0.1111111111111111,0.8148148148148148,-0.3333062065972222,-0.3148057725694444,0.75,0.0,1.0,-1.718883248888889,-2.359470518555556,0.75,0.0,1.0,-0.4632602488888889,-0.7171896503703704,0.25,1.0,0.0,17.481246183110002,10.721567385396666,0.8333333333333334,1.0,0.7777777777777778,1.0255889925691817,-0.2538203453576123,0.25,1.0,0.0,0.9262009759744008,0.301454226175944,0.25,1.0,0.0,1.4234890407986112,0.8669162326388888,0.3333333333333333,1.0,0.1111111111111111,4.179632586333334,3.0692114736703697,0.25,1.0,0.0,2.6046585771772595,1.910823694533772,0.7777777777777778,0.1111111111111111,1.0,-0.5500581455555555,-0.8495134407407408,0.25,1.0,0.0,3.430289496333333,3.852543445407408,0.25,1.0,0.0,0.7465549045138888,0.63525390625
embroiders,0.8928571428571429,0.8333333333333334,0.9375,1.563549811666667,-0.780279241875,0.5714285714285714,0.0,1.0,-1.1073498683333332,-1.6734531468750002,0.6071428571428571,0.9166666666666666,0.375,6.825533234141667,0.8299618600625001,0.0,0.0,0.0,-0.4101765950520833,0.24224853515625,0.4285714285714285,1.0,0.0,1.7837575276692708,1.9618453979492188,0.6428571428571429,1.0,0.375,2.3306999442478022,-0.0067803673446178,0.5714285714285714,0.0,1.0,-0.8958028157552084,-1.1093902587890625,0.5714285714285714,0.0,1.0,-1.8892728158333332,-3.0289886220625006,0.5714285714285714,0.0,1.0,-0.5941081275000001,-0.715175240625,1.0,1.0,1.0,14.951783706333332,-12.02825318474,0.6785714285714286,0.6666666666666666,0.6875,0.2529767254988352,-0.1495094187557697,0.5714285714285714,1.0,0.25,0.3455625375111897,0.1863357406109571,0.4285714285714285,1.0,0.0,1.10943603515625,0.5430450439453125,0.8214285714285714,0.8333333333333334,0.8125,1.5338266844166666,-2.872944140668749,0.4285714285714285,1.0,0.0,2.1451175150771937,1.1291138948872683,0.5,0.0,0.875,-1.1835042344166669,-0.925257867875,0.4285714285714285,0.5,0.375,-0.3181786329999999,0.6135427178749999,0.4285714285714285,1.0,0.0,0.8020833333333334,0.736236572265625
flies,0.4166666666666667,0.8333333333333334,0.0,1.5014540486666668,0.7387336066666667,0.5416666666666666,0.0833333333333333,1.0,-0.3359553941666666,-1.3912672575,0.5,1.0,0.0,9.117692724966666,6.779540745000001,0.5,1.0,0.0,1.1536661783854167,1.0273030598958333,0.5,1.0,0.0,2.584747314453125,2.546666463216146,0.5,1.0,0.0,1.991930694008867,0.7117030670245489,0.5,0.0,1.0,-0.8125712076822916,-1.1249186197916667,0.5,0.0,1.0,-1.7637292058333334,-2.9782700595,0.5,0.0,1.0,-0.2626914966666666,-0.5576408516666665,0.5,1.0,0.0,16.713302854179165,7.986494634980832,0.875,0.75,1.0,0.4309399947524071,-0.2862879435221354,0.5,1.0,0.0,0.887011626114448,0.4258331507444381,0.5,1.0,0.0,1.320220947265625,0.78662109375,0.7083333333333334,0.75,0.6666666666666666,1.5035160733333333,-0.4528118484166665,0.5,1.0,0.0,1.998287593324979,0.8951553342243036,0.3333333333333333,0.4166666666666667,0.25,-0.0789607983333333,0.2990325574999999,0.5,1.0,0.0,3.516887461916667,3.625273674916667,0.5,1.0,0.0,0.6772054036458334,0.5509440104166666
knits,0.8,0.7,0.9333333333333332,0.2707439825,-0.4272058433333333,0.4285714285714285,0.0,1.0,-1.0746552590000005,-1.7148578066666669,0.6285714285714286,0.8,0.4,5.156250593145,0.4396689222666668,0.2285714285714285,0.4,0.0,0.05782470703125,0.2427083333333333,0.5714285714285714,1.0,0.0,2.449200439453125,1.900901285807292,0.4857142857142857,0.55,0.4,0.2174400359392166,0.0492055336634318,0.4285714285714285,0.0,1.0,-1.024969482421875,-1.2500244140625,0.4285714285714285,0.0,1.0,-2.4830254423000007,-3.519865680333332,0.4285714285714285,0.0,1.0,-0.5262409905,-0.5843097853333332,1.0,1.0,1.0,14.561059359907995,-9.672682646548669,0.8285714285714286,1.0,0.6,1.0778011202812194,0.1585479736328125,0.5714285714285714,1.0,0.0,0.9039938919246197,0.6254695932070414,0.5714285714285714,1.0,0.0,1.45623779296875,0.7311360677083333,0.8285714285714286,0.7,1.0,0.4592887956499999,-4.027430009233333,0.6,1.0,0.0666666666666666,2.1896588930860164,0.7799939483404159,0.2,0.0,0.4666666666666667,-1.00628865585,-0.3955277604,0.3142857142857143,0.4,0.2,-0.0906165459999999,0.7572680353333332,0.5714285714285714,1.0,0.0,0.58597412109375,0.8916178385416667
packs,0.85,0.625,1.0,0.1093600543749999,-1.2145873879166664,0.6,0.0,1.0,-0.9411777225,-1.5731376391666665,0.425,1.0,0.0416666666666666,5.7382671337812505,2.0936099630833334,0.45,0.75,0.25,0.281219482421875,0.097686767578125,0.4,1.0,0.0,2.5028209686279297,2.339664459228516,0.5,1.0,0.1666666666666666,1.7620239481329918,0.5825836813698212,0.6,0.0,1.0,-1.1094131469726562,-1.2812449137369792,0.6,0.0,1.0,-1.5410803293750002,-3.12931425425,0.6,0.0,1.0,-0.509533543125,-0.8117879245833333,0.85,1.0,0.75,14.464571378325626,-4.591249768369167,0.85,0.875,0.8333333333333334,0.7879066448658705,-0.2306264253954092,0.5,1.0,0.1666666666666666,0.9208382908254862,0.2037235510845979,0.4,1.0,0.0,1.2207717895507812,0.7305806477864584,0.875,0.8125,0.9166666666666666,1.106830948125,-1.9618400770625,0.45,1.0,0.0833333333333333,2.462562731001526,0.7922611596683661,0.55,0.0,0.9166666666666666,-0.71143613875,-0.5608363729166667,0.425,0.9375,0.0833333333333333,0.949918734375,1.4543420183333335,0.4,1.0,0.0,0.663116455078125,0.7616475423177084
