noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,3.3799116755
actor,1,1.0,-0.17767336
aircraft,3,0.0,3.861417064
album,3,1.0,-0.69049323
animal,2,1.0,-2.6315325400000003
announcer,2,0.5,0.14043523
artisan,4,1.0,-1.0698425249999999
artist,4,0.0,1.8375595949999999
author,2,1.0,-0.826066545
aviator,3,0.3333333333333333,0.6346737933333334
backpack,2,1.0,-1.1860772
backpacker,2,1.0,-3.06615965
bag,2,1.0,-3.11784295
baker,6,0.8333333333333334,-2.6295937318333333
barber,7,1.0,-2.1972725915714286
basket,2,0.5,-2.5209514599999996
beard,3,1.0,-4.446294711866667
bedding,5,1.0,-1.7474502309999997
bike,4,0.75,-0.6217603675
blanket,2,1.0,-2.9540806885
blogger,2,1.0,-0.6641698149999999
board,4,0.5,1.0877339125
book,3,0.0,0.30282371333333336
bottle,2,1.0,-1.2183336800000002
bowl,2,1.0,-1.042574815
bread,3,1.0,-2.4936614633333334
broadcaster,2,0.5,-0.2659349250000001
building,2,1.0,-2.5137359999999997
bus,3,0.0,2.944528517666667
busboy,5,1.0,-0.779416278
businessman,3,0.0,3.390090234
businesswoman,3,1.0,-1.4895857666666668
butcher,4,1.0,-2.3140873225
cake,3,1.0,-6.240071896666667
cameraman,2,0.0,3.3992459215000004
camper,2,1.0,-2.5997841800000003
canvas,4,0.25,0.25349545
captain,3,0.0,2.906361009
car,12,0.25,1.2534994249166669
cardboard,4,0.0,1.2246564750000002
carpet,3,0.3333333333333333,0.3303968966666667
carver,7,1.0,-3.2374816779999995
caterer,3,1.0,-3.35516189
cd,3,0.6666666666666666,-0.6967169633333333
cellist,2,1.0,-2.401345537
cello,2,1.0,-2.353417166
chauffeur,3,0.6666666666666666,-0.31154190000000004
chef,10,0.6,-0.5558210298000003
choreography,1,0.0,7.28499234
clarinet,2,1.0,-2.56412788
clarinetist,2,1.0,-2.533917751
clay,6,1.0,-2.7483316668333333
cleaner,5,0.0,3.029165314
clerk,2,0.5,0.17618558499999998
cloth,8,1.0,-1.3663141862500001
coat,2,0.5,-0.9098186200000002
code,2,0.0,5.389159835
comedian,1,0.0,0.7526608399999999
concerto,1,0.0,2.26266288
confectioner,3,1.0,-5.908684884066666
container,2,1.0,-2.5638140304999997
convertible,3,0.0,2.8127962996666667
cook,6,0.8333333333333334,-2.2429976776666667
cotton,4,0.75,-0.902343425
countertop,3,0.6666666666666666,-0.3201675066666667
crate,2,0.5,-0.229406875
cushion,4,1.0,-3.395146665
cut,4,0.0,2.0374448265000003
dancer,1,0.0,0.8298377299999999
dealer,3,0.0,2.09992557
dish,2,1.0,-4.836582847
doctor,2,0.0,1.338392595
dough,3,1.0,-2.571145138
dressmaker,4,1.0,-3.5083371435000004
driver,7,0.0,3.991650276714285
drug,3,0.0,2.3770134400000003
drummer,2,1.0,-1.9304380400000003
duffle,2,0.5,-0.46028280499999996
essay,4,0.0,0.7839672575000001
essayist,2,0.5,0.36782316500000006
fabric,20,0.5,0.17146338299999997
fillet,3,1.0,-2.919443878333334
fish,3,0.6666666666666666,-1.2518208000000002
floor,3,0.0,1.0730332500000002
flute,2,1.0,-1.8895358199999999
flutist,2,1.0,-4.086744455
food,2,0.5,0.634865345
gem,4,1.0,-4.71412252925
glass,4,0.5,0.019206924999999986
hairdresser,7,0.5714285714285714,-0.8213154001428571
handle,4,0.5,0.4006638925
hat,3,1.0,-3.2859829066666664
herb,3,1.0,-3.974051275666666
hiker,2,1.0,-1.4772043325
housekeeper,3,1.0,-4.477841603666667
ice,7,1.0,-2.9220222478571434
illustrator,4,0.5,0.4951968125
ingredient,3,0.6666666666666666,-0.35592231999999996
instrument,2,1.0,-4.637694528000001
item,3,1.0,-1.3441543866666665
jacket,2,0.5,-1.0724564
janitor,3,0.6666666666666666,-0.32947735000000006
jet,3,0.0,3.949269819333333
jeweler,4,1.0,-1.7890027625
jewelry,3,0.0,1.5743779116666665
journalist,2,0.0,1.96671758
kite,3,0.6666666666666666,0.32582630333333334
knob,4,1.0,-2.9001890770000003
lady,5,1.0,-8.28101589021
lake,2,1.0,-2.6447733749999998
landscape,2,0.0,1.9341988350000001
letter,2,0.5,-0.8893240450000001
line,2,0.5,-0.07387678999999991
lotion,3,0.3333333333333333,-0.47405266666666673
lunchbox,2,1.0,-2.0028625425
machine,8,0.25,1.312713068375
magazine,3,0.0,2.0170284133333336
maid,5,1.0,-2.7404081939999996
make,3,1.0,-1.7557014899999999
man,5,1.0,-3.0952724262
marble,3,0.6666666666666666,-0.21595950333333327
mason,3,1.0,-4.650791617433333
material,4,0.5,-0.5438560825000001
meat,7,0.0,4.504981845571429
mirror,3,1.0,-1.4428130999999997
model,2,1.0,-4.8611711865
motorcycle,4,0.0,2.1946101115
motorist,4,0.75,-0.15144345999999986
mountain,2,1.0,-0.5370941600000001
mover,2,0.5,-0.039982809999999924
mushroom,3,1.0,-3.7185006381333334
musician,3,0.0,0.8781718500000001
narrator,2,1.0,-0.91286282
notetaker,2,0.0,0.0498342499999999
novel,3,1.0,-1.2083743366666668
novelist,2,0.0,1.39593597
orator,2,1.0,-3.2093557195
packaging,4,0.0,7.4557446785
painter,4,0.25,0.47552581000000005
panel,4,0.5,-0.8663887825000001
paper,4,0.0,5.905150916875
passage,6,0.6666666666666666,0.5762768425
pastry,3,1.0,-5.7996957898999995
patissier,3,1.0,-3.8928169576666662
pattern,5,0.6,0.27631305159999997
peddler,3,1.0,-3.6343508433333334
pepper,3,0.3333333333333333,0.6811167253333332
person,30,1.0,-4.298691177890001
photographer,2,0.0,1.9482001700000002
pianist,2,1.0,-2.3507356135000004
piano,2,1.0,-3.238670274
pie,3,1.0,-4.899682157
pilot,7,0.0,2.1396091022857147
pizza,3,0.6666666666666666,-0.7873898066666666
plane,3,0.0,3.1151562353333335
poem,2,1.0,-3.54356493
poet,2,1.0,-0.8957157649999999
portraitist,4,0.0,0.9345655225
pot,3,0.0,1.2476291866666667
potato,3,1.0,-7.074401344519999
potter,3,1.0,-3.5447818686666666
product,3,1.0,-0.73783674
professor,2,0.0,2.06813052
proposal,2,0.0,3.6513498209999997
pumpkin,4,1.0,-5.060704323325
quilt,4,1.0,-2.57419719075
racer,4,0.75,-0.96167505125
report,2,1.0,-1.1909780799999998
roadtripper,2,1.0,-1.331903435
routine,1,0.0,6.079867219
salesman,3,0.0,7.292079994199999
saleswoman,3,1.0,-1.28239258
salmon,3,1.0,-2.9857555963333335
scene,1,0.0,5.802753451
screw,4,0.25,1.60860670275
scribe,2,1.0,-1.20434858
script,2,1.0,-1.0959224
sculptor,7,1.0,-1.757812145714286
seamster,8,1.0,-2.3331509817500002
seamstress,4,1.0,-2.9906075657500004
section,2,0.0,0.33740612499999995
shirt,2,1.0,-1.4058645699999999
shopkeeper,3,0.6666666666666666,-0.3221003600000001
sideburn,3,0.0,0.8209826066666667
silk,4,1.0,-2.7342116005
silverware,3,0.0,7.246215804133333
singer,1,1.0,-0.4506817000000001
snack,3,1.0,-2.242933470666667
soloist,1,0.0,0.2159767600000001
sonata,1,0.0,0.79016868
song,1,0.0,1.2955884
steak,7,0.14285714285714285,1.1038049622857142
stone,7,0.8571428571428571,-0.9494054142857143
stubble,3,0.3333333333333333,0.21233715666666664
student,4,1.0,-1.7638814200000001
suitcase,2,0.5,-0.779368265
surface,7,0.42857142857142855,0.6821760242857143
surgeon,4,0.0,2.286149525
suv,6,0.0,3.1959177040000006
tailor,12,1.0,-1.9318102575000002
tank,3,0.6666666666666666,-0.8090113999999998
teacher,2,0.0,0.744205425
telemarketer,3,0.0,3.14708175
tent,2,0.5,-1.576960885
thread,4,1.0,-2.1969136862500003
toy,3,1.0,-1.9276002366666667
tractor,3,0.0,2.5113579466666667
trader,3,0.0,4.170266295666667
traveller,2,0.5,0.28488348999999996
truck,3,0.0,4.490237618666667
tub,2,1.0,-0.28447439499999994
tuna,3,1.0,-2.7850581303333333
turkey,4,1.0,-4.120840641
upholsterer,4,0.25,0.41342783499999997
valve,4,0.25,1.4389597699999999
van,3,0.0,2.3701390759999996
vegetable,3,1.0,-2.634904871333333
vehicle,3,0.0,3.92056588
verse,2,0.5,0.412752015
view,2,1.0,-0.6159200549999999
violin,2,1.0,-3.0238975915
violinist,2,0.5,-0.28997383
waiter,3,1.0,-1.22561778
waitress,3,1.0,-2.4521534433333336
wall,4,0.5,-0.13134763749999995
window,3,0.0,3.397654767
windshield,5,0.0,2.3733441490000002
woman,5,1.0,-4.0410382614
wood,11,0.18181818181818182,1.0738367863636364
wool,5,0.8,-2.0696792271999995
worker,4,1.0,-0.8660188065000001
wound,4,0.0,2.74602838675
