noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,5.1653173765
actor,1,1.0,5.724405848
aircraft,3,1.0,5.363033960666667
album,3,1.0,4.134845557
animal,2,1.0,3.053669655
announcer,2,1.0,2.3808403599999997
artisan,4,1.0,4.002667596
artist,4,1.0,2.492768208
author,2,1.0,3.0755090000000003
aviator,3,1.0,6.189881387333334
backpack,2,1.0,4.1410243345
backpacker,2,1.0,2.677504468
bag,2,1.0,3.32122508
baker,6,1.0,2.2367706640000002
barber,7,1.0,2.803532509
basket,2,1.0,3.137937115
beard,3,1.0,2.952562588333334
bedding,5,1.0,4.0416497504
bike,4,1.0,4.2334888475
blanket,2,1.0,3.9521569230000004
blogger,2,1.0,2.63816015
board,4,1.0,2.5199111157500003
book,3,1.0,4.192310093000001
bottle,2,1.0,4.6746856690000005
bowl,2,1.0,5.002157021
bread,3,1.0,2.12789676
broadcaster,2,1.0,1.66753288
building,2,1.0,4.699040161999999
bus,3,1.0,5.103186240333334
busboy,5,1.0,3.6252960199999995
businessman,3,1.0,4.633139338333334
businesswoman,3,1.0,3.342133163666667
butcher,4,1.0,3.5380688495
cake,3,1.0,1.9079182366666665
cameraman,2,1.0,3.7997040875
camper,2,1.0,2.8216159635
canvas,4,1.0,2.7230893325000003
captain,3,1.0,5.14695057
car,12,1.0,4.629555033166667
cardboard,4,1.0,2.99747876075
carpet,3,1.0,4.1715842720000005
carver,7,1.0,2.9491571477142857
caterer,3,1.0,2.218819828
cd,3,1.0,4.172199915666666
cellist,2,1.0,3.5175658415
cello,2,1.0,3.6043007969999996
chauffeur,3,1.0,5.5264824720000005
chef,10,1.0,3.5764635124
choreography,1,1.0,5.765498187
clarinet,2,1.0,3.1733317095
clarinetist,2,1.0,3.2803084365
clay,6,1.0,1.8729871500000002
cleaner,5,1.0,5.0426176312
clerk,2,1.0,3.09045217
cloth,8,1.0,3.065402012125
coat,2,1.0,3.295441886
code,2,1.0,3.6393812934999996
comedian,1,1.0,5.104627292
concerto,1,1.0,6.0107508130000005
confectioner,3,1.0,1.26299702
container,2,1.0,4.642018634
convertible,3,1.0,5.480694272333333
cook,6,1.0,2.694905327666667
cotton,4,1.0,2.354157788
countertop,3,1.0,3.6711573669999997
crate,2,1.0,3.801663727
cushion,4,1.0,1.4558822774999998
cut,4,1.0,2.4527478525
dancer,1,1.0,5.164500959
dealer,3,1.0,4.280386936666667
dish,2,1.0,4.490625273499999
doctor,2,1.0,2.080819055
dough,3,1.0,2.001404545
dressmaker,4,1.0,2.4284525145
driver,7,1.0,5.534023318285714
drug,3,1.0,3.877914463333333
drummer,2,1.0,4.9819106745
duffle,2,1.0,3.679794145
essay,4,1.0,5.31116639925
essayist,2,1.0,4.209347638
fabric,20,1.0,3.792320611349999
fillet,3,1.0,2.898188409333333
fish,3,1.0,2.7098847313333336
floor,3,1.0,4.473131217333333
flute,2,1.0,3.57291017
flutist,2,1.0,3.3110414500000003
food,2,1.0,2.10656315
gem,4,1.0,3.99466102375
glass,4,1.0,2.90883830175
hairdresser,7,1.0,2.6944488358571426
handle,4,1.0,5.792000582
hat,3,1.0,4.136605295
herb,3,1.0,3.492184599666667
hiker,2,1.0,3.0660810620000003
housekeeper,3,1.0,2.7719645206666663
ice,7,1.0,2.3546591178571425
illustrator,4,1.0,2.065637625
ingredient,3,1.0,2.7238852280000003
instrument,2,1.0,3.41047557
item,3,1.0,5.243374752333334
jacket,2,1.0,3.7453742109999997
janitor,3,1.0,4.5610155416666665
jet,3,1.0,5.834687401833333
jeweler,4,1.0,3.1925282275
jewelry,3,1.0,3.0203403153333332
journalist,2,1.0,3.4128620549999997
kite,3,1.0,4.143185204999999
knob,4,1.0,4.33030800025
lady,5,0.8,1.05107155
lake,2,1.0,2.67415427
landscape,2,1.0,2.813774912
letter,2,1.0,3.819738104
line,2,1.0,2.6506528475
lotion,3,1.0,2.762516601666667
lunchbox,2,1.0,1.85244166
machine,8,1.0,3.1903823795
magazine,3,1.0,3.496912469
maid,5,1.0,3.429547617
make,3,1.0,4.823708613
man,5,1.0,2.5283590879999998
marble,3,1.0,3.0260633996666666
mason,3,1.0,2.690203486666667
material,4,1.0,4.1824638607499995
meat,7,1.0,3.6942801875714286
mirror,3,1.0,3.924083697
model,2,1.0,2.38990971
motorcycle,4,1.0,4.6147707997500005
motorist,4,1.0,4.6105649665
mountain,2,1.0,2.44642024
mover,2,1.0,3.2104413275
mushroom,3,1.0,2.5296126200000004
musician,3,1.0,4.5972022096666665
narrator,2,1.0,1.7817328749999999
notetaker,2,1.0,2.2906331399999997
novel,3,1.0,5.744995263666667
novelist,2,1.0,3.342039969
orator,2,1.0,3.121047855
packaging,4,1.0,3.25315626025
painter,4,1.0,3.6689576385000002
panel,4,1.0,2.7348647545
paper,4,1.0,3.460456435
passage,6,1.0,3.6312164893333336
pastry,3,1.0,1.3604040566666666
patissier,3,0.6666666666666666,0.5784921000000001
pattern,5,1.0,1.7642512760000002
peddler,3,1.0,3.2935155663333333
pepper,3,1.0,2.669751014333334
