noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,0.0,1.0,0.47849655
actor,1,0.0,1.0,-0.0080093399999999
aircraft,3,0.0,0.0,0.41712414999999997
album,3,0.6666666666666666,0.6666666666666666,-0.09525293333333329
animal,2,0.0,0.0,0.631153095
announcer,2,1.0,1.0,0.28142184499999995
artisan,4,0.0,1.0,-0.959920125
artist,4,0.5,0.5,-0.41867729
author,2,1.0,1.0,0.8106478899999999
aviator,3,0.6666666666666666,0.3333333333333333,0.05822789
backpack,2,1.0,1.0,-0.4646549099999999
backpacker,2,0.0,0.0,-0.5415212299999999
bag,2,1.0,1.0,-0.4341374
baker,6,0.0,1.0,-1.8452478426666665
barber,7,0.0,1.0,-0.8581636842857143
basket,2,1.0,1.0,-0.702035925
beard,3,1.0,1.0,-0.9284177366666667
bedding,5,1.0,1.0,-0.49082599999999993
bike,4,1.0,1.0,-1.2762202575
blanket,2,1.0,1.0,-1.008671675
blogger,2,0.5,0.5,0.021060699999999946
board,4,1.0,1.0,-0.76341562
book,3,0.0,0.0,0.3702081666666666
bottle,2,1.0,1.0,-0.38563691499999997
bowl,2,1.0,1.0,-1.052076285
bread,3,1.0,1.0,-2.00368025
broadcaster,2,0.5,0.5,0.15211777
building,2,1.0,1.0,-0.1354326449999999
bus,3,1.0,1.0,-1.1495104066666666
busboy,5,0.0,1.0,-0.657199902
businessman,3,1.0,1.0,0.22441152333333325
businesswoman,3,1.0,1.0,1.2849753333333334
butcher,4,0.0,1.0,-0.60106362
cake,3,1.0,1.0,-2.4641113036666664
cameraman,2,0.0,1.0,-0.11776404499999996
camper,2,0.0,1.0,-0.709170225
canvas,4,1.0,1.0,-0.9140474125
captain,3,0.0,1.0,-0.3380008733333333
car,12,1.0,1.0,-0.9118288849999999
cardboard,4,0.75,0.75,-0.52697565375
carpet,3,1.0,1.0,-0.7227796066666666
carver,7,0.0,1.0,-1.2572246357142858
caterer,3,0.0,0.0,-1.1335430800000001
cd,3,0.3333333333333333,0.3333333333333333,-0.031958883333333334
cellist,2,0.0,1.0,-0.695559015
cello,2,1.0,1.0,-0.50255808
chauffeur,3,0.0,1.0,-0.6201045933333333
chef,10,0.1,0.9,-0.7044258084000001
choreography,1,0.0,0.0,0.15400689
clarinet,2,0.5,0.5,0.02879549
clarinetist,2,0.5,0.5,-0.106155425
clay,6,1.0,0.0,-1.2441153170000003
cleaner,5,0.0,0.0,-0.521612188
clerk,2,0.0,0.0,-1.06102557
cloth,8,1.0,1.0,-0.81349847425
coat,2,1.0,1.0,-1.222032505
code,2,0.0,1.0,0.53053655
comedian,1,0.0,0.0,-0.46414766
concerto,1,1.0,1.0,-0.46286962
confectioner,3,0.0,0.0,-1.2029482233333333
container,2,0.5,0.5,0.021001639999999953
convertible,3,1.0,0.0,-0.48786821666666674
cook,6,0.0,1.0,-1.5264224706666667
cotton,4,1.0,0.0,-0.7810698549999999
countertop,3,1.0,1.0,-0.5479590966666666
crate,2,1.0,1.0,-1.088268145
cushion,4,1.0,1.0,-1.809396083
cut,4,1.0,1.0,-1.5643924235000002
dancer,1,0.0,0.0,-0.19656565
dealer,3,0.0,0.0,-0.50571194
dish,2,1.0,1.0,-1.153144875
doctor,2,1.0,0.0,0.49706678000000004
dough,3,1.0,1.0,-2.28570495
dressmaker,4,0.0,0.0,-0.91834456
driver,7,0.0,1.0,-0.7261261742857144
drug,3,0.0,0.0,0.15996497666666668
drummer,2,0.0,1.0,-0.41263287499999995
duffle,2,1.0,1.0,-0.91057188
essay,4,1.0,0.0,-0.23248097749999996
essayist,2,0.5,0.5,0.06140417500000009
fabric,20,0.35,0.35,-0.3290559945
fillet,3,1.0,1.0,-1.6929328546666669
fish,3,1.0,1.0,-1.4588286626666669
floor,3,1.0,1.0,-1.1079549199999998
flute,2,1.0,1.0,-0.39367595499999997
flutist,2,0.0,1.0,-0.7589912449999999
food,2,0.5,0.5,0.03922755
gem,4,0.0,0.0,0.18184558249999996
glass,4,1.0,1.0,-0.8262247349999998
