noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,0.0,-1.122982355
actor,1,1.0,1.0,10.8905878538
aircraft,3,0.0,1.0,7.379274732500001
album,3,0.0,1.0,4.7161242695666665
animal,2,0.0,1.0,3.5208604340000003
announcer,2,1.0,1.0,10.871974478550001
artisan,4,1.0,1.0,10.883026030625
artist,4,1.0,1.0,9.7868733135
author,2,1.0,1.0,10.66387407285
aviator,3,1.0,1.0,9.7569827611
backpack,2,0.0,1.0,3.0204465755000003
backpacker,2,1.0,1.0,6.49438776965
bag,2,0.0,1.0,3.1419007635
baker,6,0.6666666666666666,0.6666666666666666,6.933084622300001
barber,7,1.0,1.0,9.492634746185715
basket,2,0.0,1.0,1.95005394
beard,3,0.0,1.0,5.804584334833334
bedding,5,0.6,0.4,0.008650350999999983
bike,4,0.25,0.75,1.7823747454999999
blanket,2,0.5,0.5,-1.499990363
blogger,2,1.0,1.0,10.7610522865
board,4,0.0,1.0,4.930664029
book,3,0.0,1.0,5.609240850533333
bottle,2,0.5,0.5,0.68759207
bowl,2,1.0,0.0,-1.2902321799999998
bread,3,0.3333333333333333,0.6666666666666666,-0.16624840333333335
broadcaster,2,1.0,1.0,9.93393737085
building,2,0.0,1.0,3.596260728
bus,3,0.0,1.0,6.8682470339
busboy,5,1.0,1.0,8.72188119214
businessman,3,1.0,1.0,11.544690555
businesswoman,3,1.0,1.0,11.402932409666667
butcher,4,1.0,1.0,9.453386259775
cake,3,0.3333333333333333,0.6666666666666666,-0.5123077500000002
cameraman,2,1.0,1.0,13.210350808600001
camper,2,1.0,1.0,2.06587996
canvas,4,0.25,0.75,4.066452931925
captain,3,1.0,1.0,10.179762622766667
car,12,0.08333333333333333,0.9166666666666666,4.3394665474
cardboard,4,0.25,0.75,1.6300302525
carpet,3,0.0,1.0,2.4050324360000004
carver,7,1.0,1.0,10.628120692542856
caterer,3,1.0,1.0,6.770645689766668
cd,3,0.0,1.0,4.6019789263333335
cellist,2,1.0,1.0,8.22388401625
cello,2,0.0,1.0,4.2337582715
chauffeur,3,1.0,1.0,11.156717487266667
chef,10,1.0,1.0,8.86147809649
choreography,1,0.0,1.0,5.764958827999999
clarinet,2,0.0,1.0,6.82346749225
clarinetist,2,1.0,1.0,10.17763677775
clay,6,0.16666666666666666,0.8333333333333334,1.7380205085
cleaner,5,1.0,1.0,10.031338626659998
clerk,2,1.0,1.0,8.4404495248
cloth,8,0.375,0.625,0.6638409536874998
coat,2,0.0,1.0,2.800266283
code,2,0.0,1.0,9.192973072000001
comedian,1,1.0,1.0,10.4193362863
concerto,1,0.0,1.0,5.039186286
confectioner,3,0.6666666666666666,0.6666666666666666,3.428540271333334
container,2,0.0,1.0,3.2327450235
convertible,3,0.0,1.0,4.875723449666666
cook,6,0.8333333333333334,0.8333333333333334,6.444020182366667
cotton,4,0.25,0.75,1.3794646314999996
countertop,3,0.0,1.0,2.8483699683333334
crate,2,0.0,1.0,1.79566527
cushion,4,0.75,0.25,-1.30113896425
cut,4,0.25,0.75,1.23854971975
dancer,1,1.0,1.0,9.6068734253
dealer,3,1.0,1.0,10.967609342733333
dish,2,1.0,0.0,-1.620446762
doctor,2,1.0,1.0,11.674441964549999
