noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,2.2866037529999996
actor,1,1.0,8.424682937
aircraft,3,1.0,7.7031334529999995
album,3,1.0,4.58556721
animal,2,1.0,6.76158831075
announcer,2,1.0,7.199009580249999
artisan,4,1.0,7.86655029175
artist,4,1.0,8.557899306
author,2,1.0,7.98842110255
aviator,3,1.0,7.963049533133334
backpack,2,1.0,4.9458679255
backpacker,2,1.0,5.2848016455
bag,2,1.0,5.229720283000001
baker,6,1.0,6.573196841816666
barber,7,1.0,7.280021952185715
basket,2,1.0,5.389712203
beard,3,1.0,6.583046740333334
bedding,5,1.0,4.1776836375
bike,4,1.0,5.0181080575
blanket,2,1.0,2.254727718
blogger,2,1.0,7.7627556401
board,4,1.0,8.10389755325
book,3,1.0,6.909766584
bottle,2,1.0,5.1811734365
bowl,2,1.0,3.0411705600000003
bread,3,1.0,1.4687686033333331
broadcaster,2,1.0,8.257524113999999
building,2,1.0,5.62805541
bus,3,1.0,6.031769991
busboy,5,1.0,4.7845010674
businessman,3,1.0,10.870717194000001
businesswoman,3,1.0,10.803905116666668
butcher,4,1.0,9.11648487805
cake,3,1.0,1.5233120533333333
cameraman,2,1.0,8.20782809755
camper,2,1.0,2.719159305
canvas,4,1.0,5.380643413325
captain,3,1.0,9.443520123233334
car,12,1.0,6.048842154491666
cardboard,4,1.0,5.704258983
carpet,3,1.0,6.957203666766667
carver,7,1.0,8.391650951557143
caterer,3,1.0,6.278125014333334
cd,3,1.0,6.019605726333334
cellist,2,1.0,6.2252420219
cello,2,1.0,5.0456853635000005
chauffeur,3,1.0,6.657611192233333
chef,10,1.0,7.6789352478499975
choreography,1,1.0,6.549297759
clarinet,2,1.0,5.586481108999999
clarinetist,2,1.0,7.720611558149999
clay,6,1.0,4.7069107873333325
cleaner,5,1.0,7.85771489206
clerk,2,1.0,5.122356293000001
cloth,8,1.0,4.680446219925
coat,2,1.0,4.208410934
code,2,1.0,9.612904887
comedian,1,1.0,7.9467610224
concerto,1,1.0,6.1890153364
confectioner,3,1.0,6.079324852766667
container,2,1.0,6.720534902
convertible,3,1.0,5.162067779333333
cook,6,1.0,5.916604666083334
cotton,4,1.0,4.581776904
countertop,3,1.0,7.029817936666667
crate,2,1.0,5.08184913
cushion,4,1.0,3.48693765525
cut,4,1.0,3.83935700025
dancer,1,1.0,5.7212899575
dealer,3,1.0,9.965198195
dish,2,1.0,2.4706547949999997
doctor,2,1.0,9.528719188
dough,3,1.0,2.0572730686666665
dressmaker,4,1.0,5.530578774775
driver,7,1.0,7.885849572342857
drug,3,1.0,7.740644418766666
drummer,2,1.0,6.5500401547500005
duffle,2,1.0,5.2332793235
essay,4,0.5,0.38947007499999997
essayist,2,1.0,8.145184079
fabric,20,1.0,5.970134864835001
fillet,3,1.0,1.7581634266666668
fish,3,1.0,1.4510452633333333
floor,3,1.0,6.443977606333333
flute,2,1.0,5.8146363105
flutist,2,1.0,7.2753612668
food,2,1.0,2.3364006675
gem,4,1.0,8.47936980845
glass,4,1.0,5.47625552315
hairdresser,7,1.0,7.971991475499999
handle,4,1.0,10.582173453500001
hat,3,1.0,6.7949585375
herb,3,1.0,3.4575872593333337
hiker,2,1.0,4.3642524265
housekeeper,3,1.0,5.390069010333334
ice,7,1.0,6.698540162028571
illustrator,4,1.0,8.131815358275
ingredient,3,1.0,3.631016353333333
instrument,2,1.0,7.475518697
item,3,1.0,7.326431737666667
jacket,2,1.0,5.022355188500001
janitor,3,1.0,7.2860717541
jet,3,1.0,8.2868208924
jeweler,4,1.0,9.870590120025
jewelry,3,1.0,8.302876174833335
journalist,2,1.0,8.9331012765
kite,3,1.0,5.679340875666667
knob,4,1.0,10.224158840125
lady,5,0.8,2.9440085832
lake,2,1.0,2.470990242
landscape,2,1.0,2.7352248925
letter,2,1.0,2.779449725
line,2,1.0,2.1448060050000004
lotion,3,1.0,5.589926210833333
lunchbox,2,1.0,3.6420784934999997
machine,8,1.0,7.841048390650001
magazine,3,1.0,6.368512049666667
maid,5,1.0,2.3581245809999998
make,3,1.0,9.230418569266666
man,5,0.8,4.63060943354
marble,3,1.0,6.058281118666667
mason,3,1.0,7.633615835066667
material,4,0.75,3.29954841825
meat,7,1.0,5.386217749457144
mirror,3,1.0,8.505516557566667
model,2,1.0,6.63164362975
motorcycle,4,1.0,6.41552009165
motorist,4,1.0,5.9362176749749995
mountain,2,1.0,4.3427437205
mover,2,1.0,6.655614976500001
