model,overall_acc
bloom-560m,0.9621026894865525
bloom-1b1,0.5158924205378973
bloom-1b7,0.007334963325183374
bloom-3b,0.0
bloom-7b1,0.08801955990220049
gpt2-small,0.8105134474327629
gpt2-medium,0.8765281173594132
gpt2-large,0.1625916870415648
gpt2-xl,0.018337408312958436
gpt3-ada,0.9951100244498777
gpt3-babbage,0.8728606356968215
gpt3-curie,0.9767726161369193
gpt3-davinci,0.8850855745721271
text-ada-001,0.6112469437652812
text-babbage-001,0.023227383863080684
text-curie-001,0.7396088019559902
text-davinci-001,0.4132029339853301
text-davinci-003,0.9987775061124694
