noun,semantic role,gpt3-davinci_subj_acc,gpt3-davinci_subj_avg_LL_delta,gpt3-davinci_obj_acc,gpt3-davinci_obj_avg_LL_delta,gpt3-babbage_subj_acc,gpt3-babbage_subj_avg_LL_delta,gpt3-babbage_obj_acc,gpt3-babbage_obj_avg_LL_delta,text-davinci-001_subj_acc,text-davinci-001_subj_avg_LL_delta,text-davinci-001_obj_acc,text-davinci-001_obj_avg_LL_delta,bloom-1b1_subj_acc,bloom-1b1_subj_avg_LL_delta,bloom-1b1_obj_acc,bloom-1b1_obj_avg_LL_delta,bloom-3b_subj_acc,bloom-3b_subj_avg_LL_delta,bloom-3b_obj_acc,bloom-3b_obj_avg_LL_delta,gpt2-x_subj_acc,gpt2-x_subj_avg_LL_delta,gpt2-x_obj_acc,gpt2-x_obj_avg_LL_delta,bloom-560m_subj_acc,bloom-560m_subj_avg_LL_delta,bloom-560m_obj_acc,bloom-560m_obj_avg_LL_delta,gpt3-ada_subj_acc,gpt3-ada_subj_avg_LL_delta,gpt3-ada_obj_acc,gpt3-ada_obj_avg_LL_delta,gpt3-curie_subj_acc,gpt3-curie_subj_avg_LL_delta,gpt3-curie_obj_acc,gpt3-curie_obj_avg_LL_delta,text-davinci-003_subj_acc,text-davinci-003_subj_avg_LL_delta,text-davinci-003_obj_acc,text-davinci-003_obj_avg_LL_delta,gpt2-medium_subj_acc,gpt2-medium_subj_avg_LL_delta,gpt2-medium_obj_acc,gpt2-medium_obj_avg_LL_delta,gpt2-xl_subj_acc,gpt2-xl_subj_avg_LL_delta,gpt2-xl_obj_acc,gpt2-xl_obj_avg_LL_delta,bloom-1b7_subj_acc,bloom-1b7_subj_avg_LL_delta,bloom-1b7_obj_acc,bloom-1b7_obj_avg_LL_delta,text-ada-001_subj_acc,text-ada-001_subj_avg_LL_delta,text-ada-001_obj_acc,text-ada-001_obj_avg_LL_delta,gpt2-large_subj_acc,gpt2-large_subj_avg_LL_delta,gpt2-large_obj_acc,gpt2-large_obj_avg_LL_delta,text-curie-001_subj_acc,text-curie-001_subj_avg_LL_delta,text-curie-001_obj_acc,text-curie-001_obj_avg_LL_delta,text-babbage-001_subj_acc,text-babbage-001_subj_avg_LL_delta,text-babbage-001_obj_acc,text-babbage-001_obj_avg_LL_delta,bloom-7b1_subj_acc,bloom-7b1_subj_avg_LL_delta,bloom-7b1_obj_acc,bloom-7b1_obj_avg_LL_delta
abstract,patient,0.0,-0.8457867650000002,1.0,-0.0625,0.0,-0.43324657,1.0,-0.0625,1.0,2.286603753,1.0,-0.0625,0.0,-0.0859375,1.0,-0.0625,1.0,0.9449462890625,1.0,-0.0625,1.0,0.0580787658691405,1.0,-0.0625,0.0,-0.9998779296875,1.0,-0.0625,0.0,-3.674366785,1.0,-0.0625,0.0,-0.2418289799999999,1.0,-0.0625,1.0,11.53614434123,1.0,-0.0625,0.0,-0.7951135635375979,1.0,-0.0625,1.0,0.6508913040161133,1.0,-0.0625,1.0,1.1561279296875,1.0,-0.0625,0.0,-1.895855825,1.0,-0.0625,0.0,-0.36575847864151,1.0,-0.0625,1.0,0.6983998699999999,1.0,-0.0625,1.0,5.1653173765,1.0,-0.0625,0.5,-0.015625,1.0,-0.0625
actor,agent,1.0,1.8639146,0.0,0.812744140625,1.0,0.6379527700000001,0.0,0.812744140625,1.0,8.424682937,0.0,0.812744140625,1.0,0.34375,0.0,0.812744140625,1.0,2.32769775390625,0.0,0.812744140625,1.0,2.148826479911804,0.0,0.812744140625,0.0,-0.750244140625,0.0,0.812744140625,0.0,-2.83100865,0.0,0.812744140625,0.0,-0.24847037,0.0,0.812744140625,1.0,20.19943593446,0.0,0.812744140625,0.0,-0.7116127014160156,0.0,0.812744140625,1.0,1.2645435631275177,0.0,0.812744140625,1.0,0.68701171875,0.0,0.812744140625,1.0,3.629621427,0.0,0.812744140625,1.0,1.353634774684906,0.0,0.812744140625,0.0,-0.0485682499999999,0.0,0.812744140625,1.0,5.724405848,0.0,0.812744140625,1.0,0.827880859375,0.0,0.812744140625
aircraft,patient,1.0,1.4355461499999995,0.0,0.125,0.0,-0.3548113766666667,0.0,0.125,1.0,7.703133452999999,0.0,0.125,1.0,1.7550048828125,0.0,0.125,1.0,2.7132771809895835,0.0,0.125,0.0,-0.1454264124234517,0.0,0.125,0.0,-1.0,0.0,0.125,0.0,-3.3207176293333336,0.0,0.125,0.0,-0.3312359466666666,0.0,0.125,1.0,17.963159426456667,0.0,0.125,0.0,-0.7670262455940247,0.0,0.125,1.0,0.6551500856876373,0.0,0.125,1.0,0.4791666666666667,0.0,0.125,1.0,1.45043878,0.0,0.125,1.0,0.8036095599333445,0.0,0.125,1.0,0.3163019866666666,0.0,0.125,1.0,5.363033960666667,0.0,0.125,1.0,0.3125,0.0,0.125
album,patient,1.0,0.2644822133333334,0.0,0.31787109375,1.0,0.1422297199999999,0.0,0.31787109375,1.0,4.58556721,0.0,0.31787109375,1.0,0.3645833333333333,0.0,0.31787109375,1.0,2.464263916015625,0.0,0.31787109375,1.0,0.65206907192866,0.0,0.31787109375,0.0,-0.9168294270833334,0.0,0.31787109375,0.0,-3.706042366666667,0.0,0.31787109375,0.0,-0.2528623633333333,0.0,0.31787109375,1.0,16.2366172519,0.0,0.31787109375,0.0,-0.345319112141927,0.0,0.31787109375,1.0,0.9253870646158852,0.0,0.31787109375,1.0,0.0729166666666666,0.0,0.31787109375,0.6666666666666666,-0.1863503966666666,0.0,0.31787109375,1.0,1.4573529660701752,0.0,0.31787109375,1.0,0.3408782133333334,0.0,0.31787109375,1.0,4.134845557,0.0,0.31787109375,1.0,0.3331705729166667,0.0,0.31787109375
animal,patient,0.5,0.0912736699999999,0.0,0.078125,0.0,-0.3234453149999999,0.0,0.078125,1.0,6.76158831075,0.0,0.078125,1.0,0.7186279296875,0.0,0.078125,1.0,1.999755859375,0.0,0.078125,0.0,-0.8830528259277344,0.0,0.078125,0.0,-1.375,0.0,0.078125,0.0,-4.170869345,0.0,0.078125,1.0,0.09947682,0.0,0.078125,1.0,18.52958297537,0.0,0.078125,0.0,-0.8650284111499786,0.0,0.078125,1.0,0.5611739158630371,0.0,0.078125,1.0,0.25,0.0,0.078125,0.0,-2.7232360085,0.0,0.078125,1.0,0.1877226829528808,0.0,0.078125,1.0,0.74185224,0.0,0.078125,1.0,3.053669655,0.0,0.078125,1.0,0.234375,0.0,0.078125
announcer,agent,1.0,1.015419425,0.0,0.1875,1.0,0.5248202999999999,0.0,0.1875,1.0,7.199009580249999,0.0,0.1875,0.0,-0.648681640625,0.0,0.1875,1.0,1.625,0.0,0.1875,1.0,0.3398608863353729,0.0,0.1875,0.0,-1.000244140625,0.0,0.1875,0.0,-3.893395362,0.0,0.1875,0.0,-0.4990129299999999,0.0,0.1875,1.0,19.66659557827,0.0,0.1875,0.0,-0.6472492218017578,0.0,0.1875,1.0,0.9852042496204376,0.0,0.1875,1.0,0.21875,0.0,0.1875,0.0,-0.98387149,0.0,0.1875,0.0,-0.4230575263500213,0.0,0.1875,0.5,-0.0012750449999999,0.0,0.1875,1.0,2.38084036,0.0,0.1875,1.0,0.359375,0.0,0.1875
artisan,agent,1.0,2.2811270635,0.0,0.64453125,1.0,1.0038137374999998,0.0,0.64453125,1.0,7.86655029175,0.0,0.64453125,0.0,-0.390625,0.0,0.64453125,1.0,2.1366424560546875,0.0,0.64453125,0.75,0.1702003329992294,0.0,0.64453125,0.0,-1.0626220703125,0.0,0.64453125,0.0,-3.59177897625,0.0,0.64453125,0.0,-0.9076590425,0.0,0.64453125,1.0,18.083817495675,0.0,0.64453125,0.0,-0.7885627597570419,0.0,0.64453125,1.0,0.6020769998431206,0.0,0.64453125,1.0,0.5079345703125,0.0,0.64453125,0.0,-2.2999629925,0.0,0.64453125,1.0,0.9937620237469672,0.0,0.64453125,0.0,-0.7008628349999999,0.0,0.64453125,1.0,4.002667596,0.0,0.64453125,1.0,0.765380859375,0.0,0.64453125
artist,agent,1.0,1.961675721,0.0,0.50396728515625,1.0,0.2951355249999999,0.0,0.50396728515625,1.0,8.557899306,0.0,0.50396728515625,0.0,-0.19140625,0.0,0.50396728515625,1.0,1.7889404296875,0.0,0.50396728515625,1.0,0.8471565544605253,0.0,0.50396728515625,0.0,-1.562408447265625,0.0,0.50396728515625,0.0,-3.79538931,0.0,0.50396728515625,0.0,-0.4150806075,0.0,0.50396728515625,1.0,20.170431547425,0.0,0.50396728515625,0.0,-0.9704685360193251,0.0,0.50396728515625,1.0,0.9720139503479004,0.0,0.50396728515625,1.0,0.2265625,0.0,0.50396728515625,1.0,1.91548161675,0.0,0.50396728515625,0.75,0.3028313964605331,0.0,0.50396728515625,0.75,-0.2550179675,0.0,0.50396728515625,1.0,2.492768208,0.0,0.50396728515625,1.0,0.5860595703125,0.0,0.50396728515625
author,agent,1.0,2.35882715,0.0,0.6951904296875,1.0,0.5701733800000001,0.0,0.6951904296875,1.0,7.98842110255,0.0,0.6951904296875,1.0,0.1015625,0.0,0.6951904296875,1.0,1.74237060546875,0.0,0.6951904296875,1.0,0.4359398186206818,0.0,0.6951904296875,0.0,-1.0,0.0,0.6951904296875,0.0,-3.564814459,0.0,0.6951904296875,1.0,0.1155129499999999,0.0,0.6951904296875,1.0,19.43984526508,0.0,0.6951904296875,1.0,0.400196075439453,0.0,0.6951904296875,1.0,1.8569846749305725,0.0,0.6951904296875,1.0,0.671875,0.0,0.6951904296875,1.0,1.62638229,0.0,0.6951904296875,1.0,1.2143659889698029,0.0,0.6951904296875,1.0,0.92456942,0.0,0.6951904296875,1.0,3.0755090000000003,0.0,0.6951904296875,1.0,0.867431640625,0.0,0.6951904296875
aviator,agent,1.0,2.074196966666667,0.0,0.4114583333333333,1.0,1.058865223333333,0.0,0.4114583333333333,1.0,7.963049533133334,0.0,0.4114583333333333,1.0,0.77099609375,0.0,0.4114583333333333,1.0,2.5931803385416665,0.0,0.4114583333333333,0.0,-0.1970698038736979,0.0,0.4114583333333333,0.0,-0.9165852864583334,0.0,0.4114583333333333,0.0,-3.2570735306666667,0.0,0.4114583333333333,0.0,-0.34647943,0.0,0.4114583333333333,1.0,19.246696888833338,0.0,0.4114583333333333,0.0,-0.9109344283739724,0.0,0.4114583333333333,1.0,1.0652068257331848,0.0,0.4114583333333333,1.0,0.4896647135416667,0.0,0.4114583333333333,0.3333333333333333,-0.1339734666666666,0.0,0.4114583333333333,1.0,0.7674261927604675,0.0,0.4114583333333333,0.6666666666666666,0.0259248133333332,0.0,0.4114583333333333,1.0,6.189881387333334,0.0,0.4114583333333333,1.0,0.5157063802083334,0.0,0.4114583333333333
