verb,gpt3-davinci_subj_acc,gpt3-davinci_subj_avg_LL_delta,gpt3-davinci_obj_acc,gpt3-davinci_obj_avg_LL_delta,gpt3-babbage_subj_acc,gpt3-babbage_subj_avg_LL_delta,gpt3-babbage_obj_acc,gpt3-babbage_obj_avg_LL_delta,text-davinci-001_subj_acc,text-davinci-001_subj_avg_LL_delta,text-davinci-001_obj_acc,text-davinci-001_obj_avg_LL_delta,bloom-1b1_subj_acc,bloom-1b1_subj_avg_LL_delta,bloom-1b1_obj_acc,bloom-1b1_obj_avg_LL_delta,bloom-3b_subj_acc,bloom-3b_subj_avg_LL_delta,bloom-3b_obj_acc,bloom-3b_obj_avg_LL_delta,gpt2-x_subj_acc,gpt2-x_subj_avg_LL_delta,gpt2-x_obj_acc,gpt2-x_obj_avg_LL_delta,bloom-560m_subj_acc,bloom-560m_subj_avg_LL_delta,bloom-560m_obj_acc,bloom-560m_obj_avg_LL_delta,gpt3-ada_subj_acc,gpt3-ada_subj_avg_LL_delta,gpt3-ada_obj_acc,gpt3-ada_obj_avg_LL_delta,gpt3-curie_subj_acc,gpt3-curie_subj_avg_LL_delta,gpt3-curie_obj_acc,gpt3-curie_obj_avg_LL_delta,text-davinci-003_subj_acc,text-davinci-003_subj_avg_LL_delta,text-davinci-003_obj_acc,text-davinci-003_obj_avg_LL_delta,gpt2-medium_subj_acc,gpt2-medium_subj_avg_LL_delta,gpt2-medium_obj_acc,gpt2-medium_obj_avg_LL_delta,gpt2-xl_subj_acc,gpt2-xl_subj_avg_LL_delta,gpt2-xl_obj_acc,gpt2-xl_obj_avg_LL_delta,bloom-1b7_subj_acc,bloom-1b7_subj_avg_LL_delta,bloom-1b7_obj_acc,bloom-1b7_obj_avg_LL_delta,text-ada-001_subj_acc,text-ada-001_subj_avg_LL_delta,text-ada-001_obj_acc,text-ada-001_obj_avg_LL_delta,gpt2-large_subj_acc,gpt2-large_subj_avg_LL_delta,gpt2-large_obj_acc,gpt2-large_obj_avg_LL_delta,text-curie-001_subj_acc,text-curie-001_subj_avg_LL_delta,text-curie-001_obj_acc,text-curie-001_obj_avg_LL_delta,text-babbage-001_subj_acc,text-babbage-001_subj_avg_LL_delta,text-babbage-001_obj_acc,text-babbage-001_obj_avg_LL_delta,bloom-7b1_subj_acc,bloom-7b1_subj_avg_LL_delta,bloom-7b1_obj_acc,bloom-7b1_obj_avg_LL_delta
bakes,0.8809523809523809,0.8226437291666665,0.119047619047619,0.1681547619047619,0.119047619047619,-0.4792771733333332,0.119047619047619,0.1681547619047619,0.9761904761904762,3.5510933239214277,0.119047619047619,0.1681547619047619,0.4285714285714285,-0.097074962797619,0.119047619047619,0.1681547619047619,1.0,2.174407958984375,0.119047619047619,0.1681547619047619,0.0714285714285714,-0.7087385448671523,0.119047619047619,0.1681547619047619,0.0,-0.9464372907366072,0.119047619047619,0.1681547619047619,0.0,-3.725468885952381,0.119047619047619,0.1681547619047619,0.0,-0.6781192973809522,0.119047619047619,0.1681547619047619,1.0,15.587249418611194,0.119047619047619,0.1681547619047619,0.0,-0.7422061229035968,0.119047619047619,0.1681547619047619,0.8809523809523809,0.438624239393643,0.119047619047619,0.1681547619047619,0.9761904761904762,0.4121675037202381,0.119047619047619,0.1681547619047619,0.0,-4.032781722776191,0.119047619047619,0.1681547619047619,0.8809523809523809,0.7953680906267393,0.119047619047619,0.1681547619047619,0.0,-1.3551324045000002,0.119047619047619,0.1681547619047619,0.9523809523809524,1.7023981893571427,0.119047619047619,0.1681547619047619,1.0,0.2764253162202381,0.119047619047619,0.1681547619047619
carves,1.0,1.8205564729166668,0.0,0.42181396484375,0.3541666666666667,-0.0401890327083333,0.0,0.42181396484375,1.0,7.483880769316666,0.0,0.42181396484375,0.3333333333333333,-0.1933797200520833,0.0,0.42181396484375,1.0,2.271931966145833,0.0,0.42181396484375,0.25,-0.4756830635791023,0.0,0.42181396484375,0.0,-0.9375178019205728,0.0,0.42181396484375,0.0,-3.5899372048125007,0.0,0.42181396484375,0.0,-0.4262798504166669,0.0,0.42181396484375,1.0,16.438299116390834,0.0,0.42181396484375,0.0,-0.800988445058465,0.0,0.42181396484375,0.9166666666666666,0.7592929064606627,0.0,0.42181396484375,0.9166666666666666,0.3977813720703125,0.0,0.42181396484375,0.0833333333333333,-2.612660819597917,0.0,0.42181396484375,0.9166666666666666,0.9178933358440796,0.0,0.42181396484375,0.1875,-0.282111816875,0.0,0.42181396484375,1.0,2.8750283394166662,0.0,0.42181396484375,1.0,0.5602162679036459,0.0,0.42181396484375
cleans,0.5740740740740741,0.0697527716666666,0.074074074074074,0.3119122540509259,0.2592592592592592,-0.1913580855555555,0.074074074074074,0.3119122540509259,1.0,6.769449166403704,0.074074074074074,0.3119122540509259,0.7222222222222222,0.2885425708912037,0.074074074074074,0.3119122540509259,1.0,2.5072077998408564,0.074074074074074,0.3119122540509259,0.2222222222222222,-0.5226526188629644,0.074074074074074,0.3119122540509259,0.0,-0.9351444950810184,0.074074074074074,0.3119122540509259,0.0,-2.7129573059259258,0.074074074074074,0.3119122540509259,0.0,-0.5218532024074074,0.074074074074074,0.3119122540509259,1.0,16.983716653501105,0.074074074074074,0.3119122540509259,0.0555555555555555,-0.4347080621454451,0.074074074074074,0.3119122540509259,1.0,0.9603350877209946,0.074074074074074,0.3119122540509259,0.9629629629629628,0.5063838252314815,0.074074074074074,0.3119122540509259,0.6666666666666666,0.7092328507962963,0.074074074074074,0.3119122540509259,1.0,1.3470537347926037,0.074074074074074,0.3119122540509259,0.3148148148148148,-0.2263968722222221,0.074074074074074,0.3119122540509259,1.0,3.9248216328148153,0.074074074074074,0.3119122540509259,1.0,0.4519766348379629,0.074074074074074,0.3119122540509259
cooks,0.8,0.6671859836888889,0.1555555555555555,0.1680555555555555,0.1111111111111111,-0.3365199766666666,0.1555555555555555,0.1680555555555555,1.0,3.5660513597511114,0.1555555555555555,0.1680555555555555,0.4666666666666667,-0.0319390190972222,0.1555555555555555,0.1680555555555555,1.0,2.160903591579861,0.1555555555555555,0.1680555555555555,0.2666666666666666,-0.4281739546193017,0.1555555555555555,0.1680555555555555,0.0,-1.1944471571180555,0.1555555555555555,0.1680555555555555,0.0,-3.6216904947111113,0.1555555555555555,0.1680555555555555,0.0444444444444444,-0.5319862822222221,0.1555555555555555,0.1680555555555555,1.0,14.520210689167328,0.1555555555555555,0.1680555555555555,0.0,-0.7249955879317389,0.1555555555555555,0.1680555555555555,1.0,0.8295867913299136,0.1555555555555555,0.1680555555555555,0.8666666666666667,0.1715277777777777,0.1555555555555555,0.1680555555555555,0.0444444444444444,-3.184722765237778,0.1555555555555555,0.1680555555555555,1.0,1.2202106518877878,0.1555555555555555,0.1680555555555555,0.1777777777777777,-0.9010536884444444,0.1555555555555555,0.1680555555555555,1.0,2.999975939066668,0.1555555555555555,0.1680555555555555,1.0,0.29130859375,0.1555555555555555,0.1680555555555555
cuts,0.9,1.070539355125,0.025,0.311737060546875,0.475,-0.1416928304999999,0.025,0.311737060546875,1.0,7.5616434964425,0.025,0.311737060546875,0.6,-0.01795654296875,0.025,0.311737060546875,1.0,2.316145324707031,0.025,0.311737060546875,0.1,-0.7916352674365044,0.025,0.311737060546875,0.0,-0.9625213623046877,0.025,0.311737060546875,0.0,-3.2910978498,0.025,0.311737060546875,0.0,-0.4082461525,0.025,0.311737060546875,1.0,16.662659752152003,0.025,0.311737060546875,0.0,-0.7294957958161831,0.025,0.311737060546875,1.0,0.992326144129038,0.025,0.311737060546875,0.975,0.2601318359375,0.025,0.311737060546875,0.5,0.089823841375,0.025,0.311737060546875,0.6,0.1280142322182655,0.025,0.311737060546875,0.4,-0.2322623414999998,0.025,0.311737060546875,1.0,3.3868840556000004,0.025,0.311737060546875,1.0,0.4148193359375,0.025,0.311737060546875
drives,1.0,1.4852755597222225,0.0277777777777777,0.2916463216145833,0.4444444444444444,0.0614998980555555,0.0277777777777777,0.2916463216145833,1.0,6.380500049619443,0.0277777777777777,0.2916463216145833,1.0,0.7561509874131944,0.0277777777777777,0.2916463216145833,1.0,2.2560238308376737,0.0277777777777777,0.2916463216145833,0.1666666666666666,-0.7479203591744105,0.0277777777777777,0.2916463216145833,0.1666666666666666,-0.4305487738715278,0.0277777777777777,0.2916463216145833,0.0,-3.364644961777777,0.0277777777777777,0.2916463216145833,0.0,-0.4377444474999999,0.0277777777777777,0.2916463216145833,1.0,20.23138309722667,0.0277777777777777,0.2916463216145833,0.0,-0.8261069133877754,0.0277777777777777,0.2916463216145833,1.0,0.5006066444847319,0.0277777777777777,0.2916463216145833,0.9722222222222222,0.328125,0.0277777777777777,0.2916463216145833,0.4166666666666667,-0.2374462443055555,0.0277777777777777,0.2916463216145833,0.9722222222222222,0.9291859484381146,0.0277777777777777,0.2916463216145833,0.0277777777777777,-0.8296013183333332,0.0277777777777777,0.2916463216145833,1.0,5.4497284375,0.0277777777777777,0.2916463216145833,1.0,0.37408447265625,0.0277777777777777,0.2916463216145833
embroiders,0.5357142857142857,0.1162510992857142,0.0714285714285714,0.2226736886160714,0.0,-0.8752409571428572,0.0714285714285714,0.2226736886160714,0.9642857142857144,4.701889291135714,0.0714285714285714,0.2226736886160714,0.5714285714285714,-0.04974365234375,0.0714285714285714,0.2226736886160714,1.0,2.0210113525390625,0.0714285714285714,0.2226736886160714,0.3571428571428571,-0.324067656482969,0.0714285714285714,0.2226736886160714,0.0,-0.999969482421875,0.0714285714285714,0.2226736886160714,0.0,-3.6852181519285714,0.0714285714285714,0.2226736886160714,0.1428571428571428,-0.3304627414285714,0.0714285714285714,0.2226736886160714,1.0,14.87675109753,0.0714285714285714,0.2226736886160714,0.0,-0.6516425950186593,0.0714285714285714,0.2226736886160714,0.9642857142857144,0.5395617453115327,0.0714285714285714,0.2226736886160714,0.9642857142857144,0.3258928571428571,0.0714285714285714,0.2226736886160714,0.1785714285714285,-1.5817110662499996,0.0714285714285714,0.2226736886160714,0.5357142857142857,0.0790945046714374,0.0714285714285714,0.2226736886160714,0.4285714285714285,-0.3860004757142857,0.0714285714285714,0.2226736886160714,0.9642857142857144,2.131370139428572,0.0714285714285714,0.2226736886160714,0.9642857142857144,0.3459647042410714,0.0714285714285714,0.2226736886160714
flies,1.0,1.6198125429166668,0.0,0.2643229166666667,0.5833333333333334,0.16626376,0.0,0.2643229166666667,1.0,7.857436879450002,0.0,0.2643229166666667,1.0,1.0319366455078125,0.0,0.2643229166666667,1.0,2.5206209818522134,0.0,0.2643229166666667,0.375,0.2125301448007424,0.0,0.2643229166666667,0.0,-0.9687093098958334,0.0,0.2643229166666667,0.0,-3.342110757375,0.0,0.2643229166666667,0.0,-0.3216631299999999,0.0,0.2643229166666667,1.0,19.15585137264625,0.0,0.2643229166666667,0.125,-0.6018594019114971,0.0,0.2643229166666667,1.0,0.9067269153892994,0.0,0.2643229166666667,1.0,0.52606201171875,0.0,0.2643229166666667,0.5,-0.1195070451250001,0.0,0.2643229166666667,0.9166666666666666,0.5621836992601553,0.0,0.2643229166666667,0.5,-0.1073511104166666,0.0,0.2643229166666667,1.0,5.0153135236875,0.0,0.2643229166666667,1.0,0.4134114583333333,0.0,0.2643229166666667
knits,0.8857142857142857,0.4793125082857143,0.1428571428571428,0.2236258370535714,0.0,-0.7297859511428572,0.1428571428571428,0.2236258370535714,0.8857142857142857,3.9023283664257136,0.1428571428571428,0.2236258370535714,0.4571428571428571,-0.0272739955357142,0.1428571428571428,0.2236258370535714,1.0,2.031614467075893,0.1428571428571428,0.2236258370535714,0.1428571428571428,-0.8481961888926369,0.1428571428571428,0.2236258370535714,0.0,-1.0928815569196428,0.1428571428571428,0.2236258370535714,0.0,-3.982388487657143,0.1428571428571428,0.2236258370535714,0.0571428571428571,-0.4010353265714285,0.1428571428571428,0.2236258370535714,1.0,15.236651786797712,0.1428571428571428,0.2236258370535714,0.1428571428571428,-0.3391264770712171,0.1428571428571428,0.2236258370535714,1.0,1.0849622207028524,0.1428571428571428,0.2236258370535714,1.0,0.3500279017857143,0.1428571428571428,0.2236258370535714,0.1142857142857142,-2.4363765627371423,0.1428571428571428,0.2236258370535714,0.6571428571428571,0.1688840674502509,0.1428571428571428,0.2236258370535714,0.4857142857142857,-0.5246935499142859,0.1428571428571428,0.2236258370535714,0.9142857142857144,1.787556977885714,0.1428571428571428,0.2236258370535714,0.8857142857142857,0.3786202566964285,0.1428571428571428,0.2236258370535714
packs,0.575,0.278859059,0.075,0.316754150390625,0.225,-0.2735859297499999,0.075,0.316754150390625,1.0,4.805211234625001,0.075,0.316754150390625,0.8,0.177734375,0.075,0.316754150390625,1.0,2.421097564697265,0.075,0.316754150390625,0.15,-0.4025642350316047,0.075,0.316754150390625,0.0,-1.2249923706054688,0.075,0.316754150390625,0.0,-3.2446683549250004,0.075,0.316754150390625,0.0,-0.50399695725,0.075,0.316754150390625,1.0,17.203322182388252,0.075,0.316754150390625,0.05,-0.6448759078979492,0.075,0.316754150390625,0.975,0.7182621013373136,0.075,0.316754150390625,0.975,0.330462646484375,0.075,0.316754150390625,0.325,-0.9942883308900003,0.075,0.316754150390625,0.775,0.441635799407959,0.075,0.316754150390625,0.125,-0.4009739127499999,0.075,0.316754150390625,1.0,3.26798784325,0.075,0.316754150390625,1.0,0.59810791015625,0.075,0.316754150390625
