noun,avg_LL_delta
abstract,0.21875
actor,-0.171875
aircraft,-0.40625
album,-0.296875
animal,-0.296875
announcer,0.046875
artisan,-0.43701171875
artist,-0.18798828125
author,0.4375
aviator,0.34326171875
backpack,-0.8125
backpacker,-0.03125
bag,-0.59375
baker,-0.21875
barber,-0.89111328125
basket,-0.75
beard,-0.68798828125
bedding,-1.140625
bike,-1.28173828125
blanket,-1.24951171875
blogger,0.70361328125
board,-0.54638671875
book,0.109375
bottle,-0.65576171875
bowl,-1.25048828125
bread,0.046875
broadcaster,0.859375
building,-0.296875
bus,-0.75048828125
busboy,-0.203125
businessman,0.39013671875
businesswoman,0.67138671875
butcher,-0.34423828125
cake,0.15576171875
cameraman,0.0
camper,-0.453125
canvas,-0.51513671875
captain,0.0
car,-0.203125
cardboard,-0.109375
carpet,-0.1875
carver,-0.45361328125
caterer,0.03173828125
cd,0.125
cellist,-0.09375
cello,-0.359375
chauffeur,-0.59326171875
chef,-0.15625
choreography,-0.234375
clarinet,-0.484375
clarinetist,0.03125
clay,0.18798828125
cleaner,0.20361328125
clerk,-0.015625
cloth,-0.15625
coat,-0.37548828125
code,0.265625
comedian,0.203125
concerto,0.0
confectioner,0.015625
container,-0.3603515625
convertible,-0.234375
cook,-0.71923828125
cotton,0.0625
countertop,-0.1875
crate,-0.515625
cushion,-0.5
cut,0.53125
dancer,-0.09326171875
dealer,0.09375
dish,-0.890625
doctor,-1.452880859375
dough,0.71923828125
dressmaker,-0.234375
driver,-0.87548828125
drug,-0.109375
drummer,-0.578125
duffle,-0.5625
essay,-0.09375
essayist,0.64111328125
fabric,0.125
fillet,-0.87451171875
fish,-0.68798828125
floor,-0.51611328125
flute,-1.0615234375
flutist,-0.765625
food,0.328125
gem,0.09375
glass,-1.03125
hairdresser,-0.46875
handle,-0.296875
hat,-0.96875
herb,-0.46875
hiker,-0.90625
housekeeper,-0.109375
ice,-0.7041015625
illustrator,-0.640625
ingredient,0.234375
instrument,-1.0322265625
item,-0.546875
jacket,-0.39111328125
janitor,-0.03125
jet,0.234375
jeweler,-0.09375
jewelry,0.296875
journalist,0.328125
kite,-0.59375
knob,-0.078125
lady,-0.515625
lake,-0.515625
landscape,0.171875
letter,0.125
line,-0.796875
lotion,0.53125
lunchbox,-0.99951171875
machine,-0.96826171875
magazine,0.0
maid,-0.15625
make,0.421875
man,0.125
marble,-0.25
mason,0.078125
material,0.8271484375
meat,-0.078125
mirror,-0.984375
model,-0.859375
motorcycle,-1.140625
motorist,-0.48388671875
mountain,-0.453125
mover,-0.71875
mushroom,-0.390625
musician,0.20361328125
narrator,-0.109375
notetaker,-0.453125
novel,0.5625
novelist,0.953125
orator,0.31298828125
packaging,0.234375
painter,-0.59326171875
panel,-0.875
paper,0.109375
passage,-0.296875
pastry,-0.26513671875
patissier,-0.31298828125
pattern,-1.046875
peddler,0.078125
pepper,-0.1875
person,0.53125
photographer,-0.89111328125
pianist,-0.42138671875
piano,-1.0625
pie,-0.03125
pilot,0.390625
pizza,-0.04736328125
plane,-0.375
poem,0.390625
poet,0.125
portraitist,0.046875
pot,-0.70361328125
potato,-0.84375
potter,-0.92138671875
product,1.390625
professor,-0.45263671875
proposal,0.6708984375
pumpkin,-1.23388671875
quilt,-0.96875
racer,-0.09375
report,0.1875
roadtripper,0.37451171875
routine,-0.53125
salesman,0.90625
saleswoman,0.59326171875
salmon,-0.64111328125
scene,0.171875
screw,-0.140625
scribe,-0.671875
script,0.34375
sculptor,-0.70361328125
seamster,-0.51611328125
seamstress,-0.81298828125
section,-0.109375
shirt,-0.75
shopkeeper,0.15625
sideburn,-0.96826171875
silk,-0.45361328125
silverware,-0.25
singer,0.125
snack,0.25
soloist,0.2666015625
sonata,0.25
song,0.7041015625
steak,-0.43798828125
stone,-0.71875
stubble,-0.51611328125
student,-0.21875
suitcase,-0.79638671875
surface,-0.125
surgeon,-1.95361328125
suv,-0.65625
tailor,-0.65673828125
tank,-0.5625
teacher,-0.57861328125
telemarketer,0.34375
tent,-0.375
thread,-0.546875
toy,-0.56201171875
tractor,-0.65625
trader,0.70263671875
traveller,0.0625
truck,-0.71875
tub,-1.4375
tuna,-0.546875
turkey,0.21875
upholsterer,0.234375
valve,-0.8125
van,-0.359375
vegetable,-0.21875
vehicle,-0.484375
verse,-0.265625
view,-0.40625
violin,-0.90625
violinist,-0.296875
waiter,-1.140869140625
waitress,-1.06298828125
wall,-0.5625
window,-0.40625
windshield,-0.25
woman,-0.15625
wood,-0.09375
wool,0.015625
worker,-0.07763671875
wound,-0.265625
yarn,-0.3125
