noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-1.36737060546875
actor,1,0.0,-0.4375
aircraft,3,1.0,0.2864583333333333
album,3,0.0,-0.69287109375
animal,2,0.0,-1.1878662109375
announcer,2,0.0,-1.0155029296875
artisan,4,0.0,-0.9453125
artist,4,0.0,-0.90240478515625
author,2,0.0,-1.24200439453125
aviator,3,1.0,0.5882161458333334
backpack,2,0.0,-0.4686279296875
backpacker,2,0.5,-0.2108154296875
bag,2,0.0,-0.8201904296875
baker,6,0.0,-0.52099609375
barber,7,0.0,-0.92626953125
basket,2,0.0,-0.625
beard,3,0.0,-0.8492024739583334
bedding,5,0.0,-0.54697265625
bike,4,0.25,-0.26953125
blanket,2,0.0,-0.85888671875
blogger,2,0.0,-0.609375
board,4,0.0,-0.894775390625
book,3,0.0,-0.6460774739583334
bottle,2,0.0,-0.3125
bowl,2,0.0,-0.6563720703125
bread,3,0.0,-0.19270833333333334
broadcaster,2,0.0,-0.921875
building,2,0.0,-1.9139404296875
bus,3,0.0,-0.234375
busboy,5,0.0,-0.50625
businessman,3,0.3333333333333333,-0.3802083333333333
businesswoman,3,0.0,-0.9217122395833334
butcher,4,0.0,-0.87506103515625
cake,3,0.0,-0.4166666666666667
cameraman,2,0.0,-0.6798095703125
camper,2,0.0,-0.3905029296875
canvas,4,0.0,-0.59765625
captain,3,0.0,-0.23958333333333334
car,12,0.16666666666666666,-0.31512451171875
cardboard,4,0.0,-0.52716064453125
carpet,3,0.0,-0.4529622395833333
carver,7,0.0,-0.8548758370535714
caterer,3,0.0,-0.3958333333333333
cd,3,0.0,-0.8282877604166666
cellist,2,0.0,-0.6954345703125
cello,2,0.0,-0.5076904296875
chauffeur,3,0.3333333333333333,-0.036458333333333336
chef,10,0.0,-0.7249755859375
choreography,1,0.0,-0.078125
clarinet,2,0.0,-0.0703125
clarinetist,2,0.0,-0.0703125
clay,6,0.0,-0.6069742838541666
cleaner,5,0.0,-0.709326171875
clerk,2,0.0,-0.835693359375
cloth,8,0.0,-1.037139892578125
coat,2,0.0,-0.4921875
code,2,0.0,-0.98431396484375
comedian,1,1.0,0.140625
concerto,1,1.0,0.421875
confectioner,3,0.0,-0.3020833333333333
container,2,0.0,-0.4686279296875
convertible,3,0.0,-0.4791666666666667
cook,6,0.0,-0.8463134765625
cotton,4,0.0,-0.90618896484375
countertop,3,0.3333333333333333,-0.13020833333333334
crate,2,0.0,-0.499755859375
cushion,4,0.0,-0.4493408203125
cut,4,0.0,-1.355377197265625
dancer,1,0.0,-0.3125
dealer,3,0.0,-0.6666666666666666
dish,2,0.0,-0.8282470703125
doctor,2,0.0,-1.47637939453125
dough,3,0.0,-0.17708333333333334
dressmaker,4,0.0,-1.210784912109375
driver,7,0.14285714285714285,-0.44178989955357145
drug,3,0.0,-0.614501953125
drummer,2,0.0,-0.461181640625
duffle,2,0.5,-0.2735595703125
essay,4,0.0,-0.76959228515625
essayist,2,0.0,-0.546875
fabric,20,0.0,-1.046112060546875
fillet,3,0.0,-0.6826171875
fish,3,0.0,-0.6405436197916666
floor,3,0.0,-0.42724609375
flute,2,0.0,-0.4530029296875
flutist,2,0.0,-0.570068359375
food,2,0.0,-0.265625
gem,4,0.0,-0.769287109375
glass,4,0.0,-0.843994140625
hairdresser,7,0.0,-0.6005161830357143
handle,4,0.25,-0.28125
hat,3,0.0,-0.4322916666666667
herb,3,0.0,-0.432373046875
hiker,2,0.0,-0.46875
housekeeper,3,0.0,-0.718505859375
ice,7,0.0,-0.727783203125
illustrator,4,0.0,-1.15618896484375
ingredient,3,0.0,-0.16145833333333334
instrument,2,0.0,-1.03125
item,3,0.0,-0.869873046875
jacket,2,0.0,-0.3594970703125
janitor,3,0.3333333333333333,-0.10416666666666667
jet,3,0.0,-0.08333333333333333
jeweler,4,0.0,-0.703125
jewelry,3,0.0,-0.15625
journalist,2,0.0,-0.4217529296875
kite,3,0.3333333333333333,-0.046875
knob,4,0.25,-0.109375
lady,5,0.0,-1.3125
lake,2,0.0,-0.9058837890625
landscape,2,0.0,-1.0
letter,2,0.0,-1.0938720703125
line,2,0.0,-1.367431640625
lotion,3,0.3333333333333333,-0.026041666666666668
lunchbox,2,0.0,-0.3204345703125
machine,8,0.0,-1.2716522216796875
magazine,3,0.0,-0.3853352864583333
maid,5,0.0,-0.9001708984375
make,3,0.0,-0.7709147135416666
man,5,0.0,-1.1748779296875
