verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.0,1.0,0.5714285714285714,-1.5364922417534723,-1.8118387858072917
carves,20,28,0.0,1.0,0.5833333333333334,-1.5993560791015624,-1.8726327078683036
cleans,21,33,0.0,1.0,0.6111111111111112,-1.2618408203125,-1.8444065903172349
cooks,12,33,0.0,1.0,0.7333333333333333,-1.4323018391927083,-1.6890388257575757
cuts,16,24,0.0,1.0,0.6,-1.3446426391601562,-2.084014892578125
drives,9,27,0.0,1.0,0.75,-1.6547783745659723,-1.9490605107060186
embroiders,12,16,0.0,1.0,0.5714285714285714,-1.393310546875,-1.8117256164550781
flies,12,12,0.0,1.0,0.5,-1.4193827311197917,-1.8866119384765625
knits,20,15,0.0,1.0,0.42857142857142855,-1.8601043701171875,-2.3966959635416667
packs,16,24,0.0,1.0,0.6,-1.6501960754394531,-2.014439900716146
paints,20,28,0.0,1.0,0.5833333333333334,-1.793011474609375,-2.1428418840680803
performs,7,6,0.0,1.0,0.46153846153846156,-1.5514875139508928,-1.966278076171875
photographs,4,14,0.0,1.0,0.7777777777777778,-1.332000732421875,-2.360416957310268
plays,14,12,0.0,1.0,0.46153846153846156,-1.3515625,-1.8022562662760417
reads,14,20,0.0,1.0,0.5882352941176471,-1.7120448521205358,-2.577098083496094
sculpts,15,15,0.0,1.0,0.5,-1.6448282877604166,-1.8979085286458333
sells,27,45,0.0,1.0,0.625,-1.2968840422453705,-1.8388780381944445
sews,12,8,0.0,1.0,0.4,-2.0688069661458335,-2.2716598510742188
shaves,6,9,0.0,1.0,0.6,-1.3072916666666667,-1.9600151909722223
stitches,20,28,0.0,1.0,0.5833333333333334,-1.799859619140625,-2.296415056501116
turns,16,28,0.0,1.0,0.6363636363636364,-1.6972427368164062,-2.082981654575893
washes,8,18,0.0,1.0,0.6923076923076923,-1.5466156005859375,-2.1180318196614585
writes,24,10,0.0,1.0,0.29411764705882354,-1.5012766520182292,-2.3344024658203124
