noun,avg_LL_delta
abstract,-1.0
actor,0.0
aircraft,-0.5
album,-2.5
animal,-1.74951171875
announcer,0.0
artisan,-0.50048828125
artist,-0.50048828125
author,0.49951171875
aviator,-0.75
backpack,-2.49951171875
backpacker,-1.75
bag,-1.00048828125
baker,-0.5
barber,-1.250244140625
basket,-2.0
beard,-1.249755859375
bedding,-1.75
bike,-1.0
blanket,-2.4990234375
blogger,0.0
board,-1.00048828125
book,-1.0
bottle,-1.75048828125
bowl,-1.9993896484375
bread,-1.25
broadcaster,-0.25048828125
building,-1.0
bus,-1.5009765625
busboy,-1.00048828125
businessman,0.75048828125
businesswoman,0.0
butcher,-1.99951171875
cake,-1.750732421875
cameraman,0.24951171875
camper,-1.00048828125
canvas,-1.49951171875
captain,-0.25048828125
car,-1.00048828125
cardboard,-2.50048828125
carpet,-1.999267578125
carver,-0.49951171875
caterer,-0.24951171875
cd,-1.249755859375
cellist,-1.24951171875
cello,-2.0
chauffeur,-0.5
chef,0.5
choreography,-0.75
clarinet,-1.7501220703125
clarinetist,-1.25
clay,-1.499755859375
cleaner,-1.00048828125
clerk,-0.49951171875
cloth,-1.74951171875
coat,-0.75
code,-0.5
comedian,-0.5
concerto,-1.500244140625
confectioner,-0.5
container,-2.2509765625
convertible,-1.750244140625
cook,-1.24951171875
cotton,-1.49951171875
countertop,-1.75048828125
crate,-1.999267578125
cushion,-2.25048828125
cut,-2.00048828125
dancer,-1.0
dealer,0.49951171875
dish,-1.75048828125
doctor,-0.99951171875
dough,-1.75
dressmaker,-0.5
driver,-0.24951171875
drug,-1.24951171875
drummer,-1.50048828125
duffle,-1.25048828125
essay,-0.25
essayist,0.0
fabric,-1.999755859375
fillet,-1.999755859375
fish,-1.49951171875
floor,-2.000732421875
flute,-1.9996337890625
flutist,-1.249755859375
food,-1.75
gem,-1.000244140625
glass,-1.749755859375
hairdresser,-0.25048828125
handle,-1.750732421875
hat,-1.499755859375
herb,-1.0
hiker,-1.250244140625
housekeeper,-1.00048828125
ice,-0.749755859375
illustrator,0.0
ingredient,0.0
instrument,-2.00048828125
item,-1.0009765625
jacket,-1.00048828125
janitor,-0.74951171875
jet,-1.250244140625
jeweler,-0.25048828125
jewelry,-2.0009765625
journalist,0.0
kite,-1.75048828125
knob,-2.000244140625
lady,-0.5
lake,-0.999755859375
landscape,-0.75
letter,-1.249755859375
line,-1.24951171875
lotion,-1.25
lunchbox,-1.5
machine,-1.5
magazine,-0.75
maid,0.25
make,-1.00048828125
man,-0.50048828125
marble,-1.9998779296875
mason,-2.4991455078125
material,-1.2509765625
meat,-2.5
mirror,-2.00048828125
model,-1.0
motorcycle,-0.99951171875
motorist,-1.00048828125
mountain,-2.000244140625
mover,-1.000244140625
mushroom,-2.2496337890625
musician,-2.2490234375
narrator,0.25
notetaker,-1.25048828125
novel,0.25
novelist,0.74951171875
orator,-0.25
packaging,-1.24951171875
painter,-1.25
panel,-1.750732421875
paper,-1.9990234375
passage,-1.7509765625
pastry,-2.4991455078125
patissier,-1.75
pattern,-1.75
peddler,-1.0
pepper,-1.500244140625
person,0.25
photographer,-0.75
pianist,-1.5
piano,-2.499755859375
pie,-1.7496337890625
pilot,-0.74951171875
pizza,-1.25048828125
plane,-1.0
poem,-1.25048828125
poet,-1.24951171875
portraitist,-0.74951171875
pot,-1.5
potato,-2.4991455078125
potter,-1.249755859375
product,-0.75
professor,-0.99951171875
proposal,0.25
pumpkin,-2.0
quilt,-1.75048828125
racer,-1.25
report,-0.75
roadtripper,-0.5
routine,-1.2490234375
salesman,1.25
saleswoman,1.0
salmon,-1.750244140625
scene,0.0
screw,-1.7503662109375
scribe,-0.99951171875
script,0.24951171875
sculptor,-1.75
seamster,-0.5
seamstress,-0.75048828125
section,-1.0
shirt,-1.5
shopkeeper,-0.74951171875
sideburn,-2.0009765625
silk,-1.7498779296875
silverware,-1.49951171875
singer,-0.75
snack,-2.249267578125
soloist,-1.0
sonata,-1.24951171875
song,-1.24951171875
steak,-1.99951171875
stone,-2.7498779296875
stubble,-2.00048828125
student,-0.75
suitcase,-1.75
surface,-1.99951171875
surgeon,-2.0
suv,-1.0
tailor,-1.75048828125
tank,-1.7509765625
teacher,-0.50048828125
telemarketer,-0.75048828125
tent,-1.250244140625
thread,-1.75
toy,-1.99951171875
tractor,-1.0
trader,0.0
traveller,-0.75
truck,-0.75
tub,-2.500244140625
tuna,-1.999267578125
turkey,-2.0006103515625
upholsterer,-1.249755859375
valve,-2.2490234375
van,0.0
vegetable,-1.50048828125
vehicle,0.0
verse,0.2490234375
view,-0.75
violin,-2.75
violinist,-2.2490234375
waiter,-1.5
waitress,-1.4990234375
wall,-2.50048828125
window,-1.25
windshield,-2.000244140625
woman,-1.5
wood,-2.2493896484375
wool,-1.250244140625
worker,-1.0
wound,-2.4990234375
yarn,-1.5
