noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-0.5
actor,1,0.0,-0.5
aircraft,3,0.0,-0.750244140625
album,3,0.0,-0.6669108072916666
animal,2,0.0,-1.0001220703125
announcer,2,0.0,-0.25
artisan,4,0.0,-0.8123779296875
artist,4,0.0,-1.2498779296875
author,2,0.0,-0.874755859375
aviator,3,0.0,-0.6668294270833334
backpack,2,0.0,-1.124755859375
backpacker,2,0.0,-1.0
bag,2,0.0,-0.5
baker,6,0.0,-0.5417073567708334
barber,7,0.0,-0.8570382254464286
basket,2,0.0,-0.875244140625
beard,3,0.0,-0.25
bedding,5,0.0,-0.399951171875
bike,4,0.0,-0.4376220703125
blanket,2,0.0,-0.375
blogger,2,0.0,-0.375244140625
board,4,0.0,-0.6873779296875
book,3,0.0,-0.9166666666666666
bottle,2,0.5,-0.125
bowl,2,0.0,-0.5
bread,3,0.0,-0.5834147135416666
broadcaster,2,0.0,-0.7496337890625
building,2,1.0,0.749755859375
bus,3,0.6666666666666666,-0.08333333333333333
busboy,5,0.0,-0.50009765625
businessman,3,1.0,0.08333333333333333
businesswoman,3,0.0,-0.4996744791666667
butcher,4,0.0,-0.68719482421875
cake,3,0.0,-1.08349609375
cameraman,2,1.0,0.125
camper,2,0.0,-0.749755859375
canvas,4,0.0,-0.81243896484375
captain,3,0.0,-0.9999186197916666
car,12,0.9166666666666666,0.14579264322916666
cardboard,4,0.0,-0.4998779296875
carpet,3,0.0,-0.5003255208333334
carver,7,0.0,-0.5357142857142857
caterer,3,0.0,-0.9164225260416666
cd,3,0.0,-0.5833333333333334
cellist,2,0.0,-0.9996337890625
cello,2,0.0,-1.249755859375
chauffeur,3,0.3333333333333333,-0.3331705729166667
chef,10,0.0,-0.5498779296875
choreography,1,0.0,-0.75048828125
clarinet,2,0.0,-0.6251220703125
clarinetist,2,0.0,-1.0
clay,6,0.0,-1.25018310546875
cleaner,5,0.2,-0.5
clerk,2,0.0,-0.875
cloth,8,0.0,-0.74993896484375
coat,2,0.0,-0.6246337890625
code,2,1.0,0.0
comedian,1,0.0,-0.5
concerto,1,0.0,-0.5
confectioner,3,0.0,-0.7499186197916666
container,2,0.0,-0.750244140625
convertible,3,0.3333333333333333,-0.16666666666666666
cook,6,0.0,-1.0414225260416667
cotton,4,0.0,-1.0623779296875
countertop,3,0.0,-0.4998372395833333
crate,2,0.0,-0.624755859375
cushion,4,0.0,-0.68743896484375
cut,4,0.0,-0.6251220703125
dancer,1,0.0,-0.74951171875
dealer,3,1.0,0.08333333333333333
dish,2,0.0,-0.625
doctor,2,0.0,-1.50006103515625
dough,3,0.0,-0.25
dressmaker,4,0.0,-0.81243896484375
driver,7,0.2857142857142857,-0.17857142857142858
drug,3,0.0,-0.5834147135416666
drummer,2,0.0,-1.124755859375
duffle,2,0.0,-0.62451171875
essay,4,0.5,-0.125
essayist,2,0.0,-0.5001220703125
fabric,20,0.0,-0.812548828125
fillet,3,0.0,-0.91650390625
fish,3,0.0,-0.9999186197916666
floor,3,0.0,-0.8333333333333334
flute,2,0.0,-0.749755859375
flutist,2,0.0,-0.75048828125
food,2,0.0,-1.25
gem,4,0.0,-0.4375
glass,4,0.0,-0.5
hairdresser,7,0.0,-0.7499302455357143
handle,4,0.0,-0.375
hat,3,0.6666666666666666,-0.08333333333333333
herb,3,0.0,-0.8333333333333334
hiker,2,0.0,-1.74957275390625
housekeeper,3,0.0,-0.5830891927083334
ice,7,0.0,-0.7856096540178571
illustrator,4,0.0,-0.49993896484375
ingredient,3,0.0,-0.25
instrument,2,0.0,-1.125
item,3,0.0,-0.25
jacket,2,0.0,-0.25
janitor,3,0.0,-0.6669108072916666
jet,3,0.0,-0.583251953125
jeweler,4,0.0,-0.4996337890625
jewelry,3,0.0,-1.0
journalist,2,0.0,-0.7503662109375
kite,3,0.0,-0.6666666666666666
knob,4,0.0,-0.5625
lady,5,0.0,-1.15
lake,2,0.0,-0.625
landscape,2,0.0,-0.375
letter,2,0.0,-0.7501220703125
line,2,0.0,-0.25
lotion,3,0.0,-0.25
lunchbox,2,0.0,-0.62548828125
machine,8,0.0,-0.6873779296875
magazine,3,0.0,-0.4163411458333333
maid,5,0.0,-0.50009765625
make,3,1.0,0.41650390625
man,5,0.0,-0.6498046875
marble,3,0.0,-1.5002034505208333
mason,3,0.0,-1.0000813802083333
material,4,0.0,-0.37493896484375
meat,7,0.0,-1.4286411830357142
mirror,3,0.0,-0.66650390625
model,2,0.0,-0.625244140625
motorcycle,4,0.25,-0.1875
motorist,4,0.0,-0.3125
mountain,2,0.0,-1.0
mover,2,0.0,-0.25
mushroom,3,0.0,-0.9999186197916666
musician,3,0.0,-1.1665852864583333
narrator,2,0.0,-0.6248779296875
notetaker,2,0.0,-0.875
novel,3,1.0,0.75
novelist,2,1.0,0.0
orator,2,0.0,-0.875
packaging,4,0.25,-0.1875
painter,4,0.0,-1.06243896484375
panel,4,0.0,-1.06243896484375
paper,4,0.0,-0.93743896484375
passage,6,0.0,-0.3333333333333333
pastry,3,0.0,-0.9164225260416666
patissier,3,0.0,-0.9998372395833334
pattern,5,0.0,-0.400048828125
peddler,3,0.0,-0.25
pepper,3,0.0,-0.499755859375
person,30,0.0,-0.5332112630208333
photographer,2,0.0,-0.25
pianist,2,0.0,-0.9998779296875
piano,2,0.0,-1.0003662109375
pie,3,0.0,-0.3333333333333333
pilot,7,0.0,-0.5357142857142857
pizza,3,0.0,-0.5
plane,3,0.0,-0.83349609375
poem,2,0.0,-1.0001220703125
poet,2,0.0,-1.250244140625
portraitist,4,0.0,-1.062255859375
pot,3,0.0,-0.3333333333333333
potato,3,0.0,-0.8333333333333334
potter,3,0.0,-1.08349609375
product,3,0.0,-0.3333333333333333
professor,2,0.0,-1.37530517578125
proposal,2,1.0,0.25
pumpkin,4,0.0,-0.56231689453125
quilt,4,0.0,-0.75
racer,4,0.0,-1.18756103515625
report,2,0.0,-0.375
roadtripper,2,0.0,-0.5
routine,1,0.0,-0.5
salesman,3,1.0,0.25
saleswoman,3,1.0,0.6665852864583334
salmon,3,0.0,-1.0001627604166667
scene,1,0.0,-0.25
screw,4,0.0,-0.25
scribe,2,0.0,-1.0
script,2,1.0,0.25
sculptor,7,0.0,-1.1785365513392858
seamster,8,0.0,-0.500091552734375
seamstress,4,0.0,-0.62530517578125
section,2,0.0,-0.875
shirt,2,0.0,-0.375244140625
shopkeeper,3,0.0,-0.749755859375
sideburn,3,0.0,-0.66650390625
silk,4,0.0,-1.062744140625
silverware,3,0.0,-0.5831705729166666
singer,1,0.0,-0.75048828125
snack,3,0.0,-0.6666666666666666
soloist,1,0.0,-1.250244140625
sonata,1,0.0,-0.749755859375
song,1,0.0,-0.749755859375
steak,7,0.0,-0.8214285714285714
stone,7,0.0,-1.0357491629464286
stubble,3,0.0,-0.6669108072916666
student,4,0.0,-1.499969482421875
suitcase,2,0.0,-0.7496337890625
surface,7,0.0,-1.1425432477678572
surgeon,4,0.0,-1.31231689453125
suv,6,1.0,0.2500813802083333
tailor,12,0.0,-1.08319091796875
tank,3,0.0,-0.3333333333333333
teacher,2,0.0,-1.12548828125
telemarketer,3,0.0,-0.3333333333333333
tent,2,0.0,-0.75
thread,4,0.0,-1.3748779296875
toy,3,0.0,-0.6663411458333334
tractor,3,0.0,-0.3331705729166667
trader,3,0.0,-0.5
traveller,2,0.0,-1.1253662109375
truck,3,0.0,-0.25
tub,2,0.0,-0.62548828125
tuna,3,0.0,-0.9165852864583334
turkey,4,0.0,-0.81256103515625
upholsterer,4,0.0,-0.75018310546875
valve,4,0.75,-0.0625
van,3,1.0,0.83349609375
vegetable,3,0.0,-0.7501627604166666
vehicle,3,1.0,0.3333333333333333
verse,2,0.0,-0.25
view,2,0.0,-0.375244140625
violin,2,0.0,-1.1248779296875
violinist,2,0.0,-1.375
waiter,3,0.0,-0.750244140625
waitress,3,0.0,-0.7498372395833334
wall,4,0.0,-1.12493896484375
window,3,0.0,-0.41650390625
windshield,5,0.8,-0.05
woman,5,0.0,-1.2001953125
wood,11,0.0,-1.2044566761363635
wool,5,0.0,-1.2499267578125
worker,4,0.0,-0.9998779296875
wound,4,0.0,-1.18743896484375
yarn,5,0.0,-0.80009765625
