verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.0,1.0,0.5714285714285714,-1.1804538302951388,-1.3438720703125
carves,20,28,0.0,1.0,0.5833333333333334,-1.02489013671875,-1.4911281040736608
cleans,21,33,0.0,1.0,0.6111111111111112,-1.0594889322916667,-1.1742757161458333
cooks,12,33,0.0,1.0,0.7333333333333333,-1.4167989095052083,-1.613582726680871
cuts,16,24,0.0,1.0,0.6,-1.0000076293945312,-1.2707977294921875
drives,9,27,0.0,0.8518518518518519,0.6388888888888888,-0.5556640625,-0.39815719039351855
embroiders,12,16,0.0,1.0,0.5714285714285714,-1.2292378743489583,-1.5312843322753906
flies,12,12,0.0,1.0,0.5,-1.1874491373697917,-1.249969482421875
knits,20,15,0.0,1.0,0.42857142857142855,-1.337542724609375,-1.6501383463541666
packs,16,24,0.0,1.0,0.6,-1.3905563354492188,-1.4688771565755208
paints,20,28,0.0,1.0,0.5833333333333334,-1.387408447265625,-1.7052764892578125
performs,7,6,0.0,1.0,0.46153846153846156,-1.3213413783482142,-1.24993896484375
photographs,4,14,0.25,0.8571428571428571,0.7222222222222222,-0.3748779296875,-1.0001220703125
plays,14,12,0.0,1.0,0.46153846153846156,-1.4285975864955358,-1.5626118977864583
reads,14,20,0.0,1.0,0.5882352941176471,-0.9105747767857143,-0.86239013671875
sculpts,15,15,0.0,1.0,0.5,-1.3001220703125,-1.9669759114583334
sells,27,45,0.25925925925925924,0.9111111111111111,0.6666666666666666,-0.6295753761574074,-0.7443820529513889
sews,12,8,0.0,1.0,0.4,-1.2501017252604167,-1.2812042236328125
shaves,6,9,0.0,1.0,0.6,-1.083251953125,-1.3054470486111112
stitches,20,28,0.0,1.0,0.5833333333333334,-1.212530517578125,-1.4374891008649553
turns,16,28,0.0625,1.0,0.6590909090909091,-0.828155517578125,-0.7590157645089286
washes,8,18,0.0,1.0,0.6923076923076923,-1.03118896484375,-1.1251017252604167
writes,24,10,0.0,0.9,0.2647058823529412,-1.2083536783854167,-0.899951171875
