verb,overall_acc,avg_LL_delta
bakes,1.0,-0.8511497860863095
carves,1.0,-1.1093902587890625
cleans,1.0,-1.0647424768518519
cooks,1.0,-1.0111735026041666
cuts,0.975,-0.9562255859375
drives,0.8055555555555556,-0.3749593098958333
embroiders,1.0,-1.0713718959263392
flies,1.0,-0.6769917805989584
knits,1.0,-1.12138671875
packs,1.0,-1.2250747680664062
paints,1.0,-1.1718292236328125
performs,1.0,-0.8269324669471154
photographs,0.7777777777777778,-0.5279134114583334
plays,1.0,-1.1730534480168269
reads,0.9411764705882353,-0.6323026769301471
sculpts,1.0,-1.4418009440104167
sells,0.4861111111111111,-0.142364501953125
sews,1.0,-0.837469482421875
shaves,1.0,-1.1999104817708333
stitches,1.0,-1.27593994140625
turns,0.9318181818181818,-0.6022865988991477
washes,0.9615384615384616,-0.7404503455528846
writes,0.9705882352941176,-0.9264777688419118
