noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,0.5,0.5,0.03125
actor,1,1.0,0.0,0.296875
aircraft,3,0.0,0.0,0.3645833333333333
album,3,0.0,1.0,0.28125
animal,2,0.0,0.0,0.09375
announcer,2,1.0,1.0,0.5389404296875
artisan,4,1.0,1.0,0.7421875
artist,4,1.0,1.0,0.40625
author,2,1.0,1.0,0.7738037109375
aviator,3,1.0,0.0,0.578125
backpack,2,0.0,1.0,0.3203125
backpacker,2,1.0,0.0,0.3046875
bag,2,0.0,0.0,0.390625
baker,6,0.8333333333333334,0.8333333333333334,0.3020426432291667
barber,7,0.8571428571428571,0.14285714285714285,0.35934012276785715
basket,2,0.0,0.0,0.3203125
beard,3,0.0,1.0,0.16145833333333334
bedding,5,0.6,0.6,-0.10625
bike,4,0.25,0.25,0.1796875
blanket,2,0.0,0.0,0.234375
blogger,2,1.0,1.0,0.8206787109375
board,4,0.25,0.25,0.10546875
book,3,0.0,0.0,0.296875
bottle,2,0.0,0.0,0.4140625
bowl,2,0.0,0.0,0.3203125
bread,3,0.3333333333333333,0.3333333333333333,0.125
broadcaster,2,1.0,1.0,0.6563720703125
building,2,0.0,0.0,0.140625
bus,3,0.0,0.0,0.13541666666666666
busboy,5,0.8,0.2,0.153125
businessman,3,1.0,1.0,0.7657063802083334
businesswoman,3,1.0,0.0,0.5780436197916666
butcher,4,1.0,0.0,0.39447021484375
cake,3,0.3333333333333333,0.3333333333333333,0.171875
cameraman,2,1.0,1.0,0.5390625
camper,2,1.0,0.0,0.1328125
canvas,4,0.25,0.25,0.22265625
captain,3,1.0,1.0,0.5831705729166666
car,12,0.08333333333333333,0.08333333333333333,0.28515625
cardboard,4,0.0,1.0,0.3477783203125
carpet,3,0.0,0.0,0.2864583333333333
carver,7,1.0,0.0,0.5960867745535714
caterer,3,0.6666666666666666,0.3333333333333333,0.234375
cd,3,0.0,1.0,0.36962890625
cellist,2,1.0,1.0,0.5233154296875
cello,2,0.0,1.0,0.429931640625
chauffeur,3,1.0,0.0,0.588623046875
chef,10,0.7,0.3,0.3093505859375
choreography,1,0.0,0.0,0.15625
clarinet,2,0.0,1.0,0.664306640625
clarinetist,2,1.0,1.0,0.695556640625
clay,6,0.0,1.0,0.46875
cleaner,5,1.0,1.0,0.459375
