verb,overall_acc,avg_LL_delta
bakes,1.0,-0.7054327101934523
carves,1.0,-0.4498850504557292
cleans,1.0,-0.6941460503472222
cooks,1.0,-0.6972059461805555
cuts,1.0,-0.63907470703125
drives,1.0,-0.7162000868055556
embroiders,1.0,-0.6657191685267857
flies,1.0,-0.5787353515625
knits,1.0,-0.8290108816964286
packs,1.0,-0.72508544921875
paints,1.0,-0.653594970703125
performs,1.0,-0.5145545372596154
photographs,1.0,-0.7680935329861112
plays,1.0,-0.5402362530048077
reads,1.0,-0.7242072610294118
sculpts,1.0,-0.565576171875
sells,1.0,-0.6117418077256944
sews,1.0,-0.70087890625
shaves,1.0,-0.6446126302083334
stitches,1.0,-0.8571014404296875
turns,1.0,-0.6300215287642046
washes,1.0,-0.6725416917067307
writes,1.0,-0.46867819393382354
