noun,avg_LL_delta
abstract,-0.9103766083717346
actor,-0.1118792891502381
aircraft,-1.5388412177562707
album,-1.877063736319542
animal,-0.9676980972290036
announcer,-0.0847644805908203
artisan,-0.5642166137695312
artist,-1.0623426139354706
author,0.6236124038696289
aviator,-0.4677324295043945
backpack,-1.7713632881641388
backpacker,-1.0991993248462677
bag,-2.1096934527158737
baker,-1.0868139266967771
barber,-1.4028740525245669
basket,-1.3906269371509552
beard,-1.3221158385276794
bedding,-1.8548860251903532
bike,-1.6347675919532778
blanket,-1.9442568272352216
blogger,-0.1188402175903319
board,-1.1780623793601992
book,-0.7600021958351135
bottle,-2.022410288453102
bowl,-1.7671555429697037
bread,-1.5802001655101778
broadcaster,-0.3249988555908203
building,-1.2871246635913849
bus,-1.0987958908081057
busboy,-1.006313353776932
businessman,0.0553941726684571
businesswoman,-0.239084243774414
butcher,-1.5777110755443573
cake,-1.9061440229415891
cameraman,-0.6739730834960938
camper,-0.8866328597068787
canvas,-2.3354587256908417
captain,0.0830812454223632
car,-1.7290907055139542
cardboard,-2.150094985961914
carpet,-1.6952295750379562
carver,-1.2899856865406036
caterer,-1.0893001556396484
cd,-1.391710251569748
cellist,-1.184952735900879
cello,-1.693735092878342
chauffeur,-0.9199990928173064
chef,-0.8776827454566956
choreography,-0.0949077606201171
clarinet,-1.582705497741699
clarinetist,-1.1427622437477112
clay,-1.7138805240392685
cleaner,-1.0604210197925568
clerk,0.0266914367675782
cloth,-1.4724197685718543
coat,-1.3285207152366638
code,-0.3520964980125427
comedian,-0.248464584350586
concerto,-1.3196735680103302
confectioner,-1.2478743195533752
container,-1.8777436912059784
convertible,-1.1650924682617188
cook,-0.765664130449295
cotton,-1.713788986206055
countertop,-1.086102545261383
crate,-2.391633883118629
cushion,-2.0172634720802307
cut,-1.3171605467796326
dancer,-0.6763487458229065
dealer,-0.6481046676635742
dish,-1.5519237816333764
doctor,-0.2507610321044922
dough,-1.2562131881713867
dressmaker,-1.1537351608276367
driver,-0.8658619523048401
drug,-0.5853919982910156
drummer,-1.409263640642166
duffle,-1.6432400047779083
essay,-0.2230548858642578
essayist,0.053053855895996
