noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-2.566988006234169
actor,1,1.0,-1.5719566941261292
aircraft,3,1.0,-2.5885009467601776
album,3,1.0,-2.1716219385464988
animal,2,1.0,-2.624706283211708
announcer,2,1.0,-2.2785376608371735
artisan,4,1.0,-2.2758827582001686
artist,4,1.0,-2.857544019818306
author,2,1.0,-0.8841056525707245
aviator,3,1.0,-2.2626520643631616
backpack,2,1.0,-2.9970626309514046
backpacker,2,1.0,-3.0712852254509926
bag,2,1.0,-2.896095357835293
baker,6,1.0,-2.3765259136756263
barber,7,1.0,-1.8419908242566245
basket,2,1.0,-2.8575973585247993
beard,3,1.0,-2.3646316130956015
bedding,5,1.0,-1.665104728937149
bike,4,1.0,-2.597265250980854
blanket,2,1.0,-1.9001312404870987
blogger,2,1.0,-1.5303707569837566
board,4,1.0,-2.4058856070041656
book,3,1.0,-1.2524922986825306
bottle,2,1.0,-2.308158963918686
bowl,2,1.0,-2.5742911994457245
bread,3,1.0,-3.059786563118299
broadcaster,2,1.0,-2.041400946676731
building,2,1.0,-1.2995567619800568
bus,3,1.0,-2.932657847801844
busboy,5,1.0,-2.950585901737213
businessman,3,1.0,-1.5514984329541524
businesswoman,3,1.0,-1.6650721629460652
butcher,4,1.0,-2.3926182202994823
cake,3,1.0,-2.998570740222931
cameraman,2,1.0,-2.878232955932617
camper,2,1.0,-2.3085289150476456
canvas,4,1.0,-3.243923183530569
captain,3,1.0,-1.7792790730794275
car,12,1.0,-2.0751047109564147
cardboard,4,1.0,-3.143398281186819
carpet,3,1.0,-2.1814168294270835
carver,7,1.0,-2.154378584453038
caterer,3,1.0,-2.350606307387352
cd,3,1.0,-3.062342345714569
cellist,2,1.0,-1.8592166900634766
cello,2,1.0,-2.788009643554688
chauffeur,3,1.0,-1.3549448351065319
chef,10,1.0,-2.1876327633857726
choreography,1,1.0,-0.8574141860008238
clarinet,2,1.0,-2.7896041870117188
clarinetist,2,1.0,-2.133136674761772
clay,6,1.0,-2.7387377123037973
cleaner,5,1.0,-2.136083984375
clerk,2,1.0,-2.21924214810133
cloth,8,1.0,-2.536796586588025
coat,2,1.0,-2.323383405804634
code,2,1.0,-1.9850578308105469
comedian,1,1.0,-1.7785950601100922
concerto,1,1.0,-1.82472226023674
confectioner,3,1.0,-2.010236084461212
container,2,1.0,-1.9775277152657509
convertible,3,1.0,-3.027748088041941
cook,6,1.0,-1.8051630655924482
cotton,4,1.0,-3.3221664428710938
countertop,3,1.0,-2.134663919607798
crate,2,1.0,-2.2083739936351776
cushion,4,1.0,-2.8705844804644585
cut,4,1.0,-1.1878815069794655
dancer,1,1.0,-1.2471847534179688
dealer,3,1.0,-1.7692400415738423
dish,2,1.0,-2.004802718758583
doctor,2,1.0,-1.1262454986572266
dough,3,1.0,-3.354431226849556
dressmaker,4,1.0,-1.9939498454332352
driver,7,1.0,-1.7150977126189642
drug,3,1.0,-1.7229588528474171
drummer,2,1.0,-2.740108475089073
duffle,2,1.0,-2.5148925706744194
essay,4,1.0,-1.4176368489861488
essayist,2,1.0,-0.9844531714916229
fabric,20,1.0,-2.5245773337781428
fillet,3,1.0,-2.7634201695521674
fish,3,1.0,-2.754313200712204
floor,3,1.0,-1.2837321162223816
flute,2,1.0,-3.2347984798252583
flutist,2,1.0,-2.4837742000818253
food,2,1.0,-2.848937951028347
gem,4,1.0,-3.372574847191572
glass,4,1.0,-2.185232177376747
hairdresser,7,1.0,-1.5891658238002233
handle,4,1.0,-2.095872886478901
hat,3,1.0,-2.1218541314204535
herb,3,1.0,-2.4130998998880386
hiker,2,1.0,-2.0053099542856216
housekeeper,3,1.0,-2.2558288474877677
ice,7,1.0,-2.164966038295201
illustrator,4,1.0,-2.307764008641243
ingredient,3,1.0,-2.4972076267004013
instrument,2,1.0,-2.1711005866527557
item,3,1.0,-1.5942026774088542
jacket,2,1.0,-2.7705384120345116
janitor,3,1.0,-1.4483668009440105
jet,3,1.0,-1.5822677512963612
jeweler,4,1.0,-1.9876251220703125
jewelry,3,1.0,-2.9437103072802224
journalist,2,1.0,-0.9197959899902344
kite,3,1.0,-2.0791092067956924
knob,4,1.0,-2.4969559311866765
lady,5,1.0,-1.9205771923065185
lake,2,1.0,-1.681192308664322
landscape,2,1.0,-1.7428283989429474
letter,2,1.0,-1.7061004340648651
line,2,1.0,-1.705158248543739
lotion,3,1.0,-1.163744608561198
lunchbox,2,1.0,-3.199283663183451
machine,8,1.0,-1.4821834601461887
magazine,3,1.0,-2.186767647663752
maid,5,1.0,-2.0497162103652955
make,3,1.0,-1.5581614176432292
man,5,1.0,-1.3122848510742187
marble,3,1.0,-3.0160039762655892
mason,3,1.0,-2.2177937875191374
material,4,1.0,-1.8626288846135137
meat,7,1.0,-2.438258626631328
mirror,3,1.0,-1.9514261980851495
model,2,1.0,-2.3323744982481003
motorcycle,4,1.0,-2.4510802887380123
motorist,4,1.0,-1.7372150160372257
mountain,2,1.0,-2.3426704108715057
mover,2,1.0,-1.8708725571632385
mushroom,3,1.0,-2.4804662416378656
musician,3,1.0,-2.545646627744039
narrator,2,1.0,-2.2904223799705505
notetaker,2,1.0,-1.732921540737152
novel,3,1.0,-0.32632062832514447
novelist,2,1.0,-1.149991974234581
orator,2,1.0,-1.696197584271431
packaging,4,1.0,-2.78087804839015
