noun,avg_LL_delta
abstract,0.21087646484375
actor,1.386154174804688
aircraft,0.4138946533203127
album,-0.3001957535743713
animal,-0.3461112976074219
announcer,1.7633628845214844
artisan,0.8096685409545896
artist,0.7550201416015625
author,0.7540054321289062
aviator,0.989723265171051
backpack,-0.0303840637207031
backpacker,0.5289764404296877
bag,-0.3471373915672302
baker,0.2016429901123047
barber,0.2905712127685547
basket,-0.1957664489746091
beard,-0.4378662109375
bedding,0.598716735839844
bike,-0.3601551055908202
blanket,0.4335747361183167
blogger,1.9333630204200745
board,-0.0991897583007812
book,0.2657623291015625
bottle,-0.1085357666015627
bowl,0.1648902893066406
bread,-0.0441741943359372
broadcaster,1.368671417236328
building,-0.5768165588378908
bus,0.0940608978271486
busboy,0.5402203202247621
businessman,1.508417010307312
businesswoman,1.127771258354187
butcher,0.186553955078125
cake,-0.2618412375450132
cameraman,2.094398558139801
camper,0.5213852524757384
canvas,-0.3105474114418027
captain,1.6640644073486328
car,-0.2738990783691404
cardboard,-0.2735471725463865
carpet,0.6391048431396484
carver,0.4684410095214844
caterer,0.9282665252685548
cd,-0.4883155822753906
cellist,0.333221435546875
cello,0.14691162109375
chauffeur,1.6973933577537537
chef,0.6471290588378905
choreography,-0.3498954772949214
clarinet,0.2947501540184022
clarinetist,0.94541734457016
clay,-0.5898418426513672
cleaner,0.3401260375976562
clerk,0.7174835205078126
cloth,-0.3339538574218751
coat,0.249847412109375
code,-0.6338443756103516
comedian,1.3411465287208555
concerto,0.4330558776855469
confectioner,0.1695594787597656
container,-0.5745887756347656
convertible,-0.1095275878906247
cook,0.2076034545898439
cotton,0.1204257011413575
countertop,0.3116378784179687
crate,-0.0705184936523437
cushion,0.385749876499176
cut,-0.4285564422607422
dancer,0.8595620393753052
dealer,1.0752334594726565
dish,-0.2246856689453125
doctor,-0.3459129333496094
dough,-0.3427239060401916
dressmaker,0.8633537888526913
driver,-0.0754470825195314
drug,0.1287689208984375
drummer,0.364511489868164
duffle,0.1251868605613709
essay,0.7441464066505432
essayist,1.4870529174804688
fabric,0.2266865372657776
fillet,-0.049417495727539
fish,-0.1131477355957033
floor,0.4253692626953126
flute,0.148366928100586
flutist,0.4148845672607422
food,-0.1076545715332031
gem,-0.2977218627929687
glass,-0.4715499877929687
hairdresser,0.8772202134132385
handle,0.0860061645507812
hat,-0.1954231858253479
herb,-0.1343460083007812
hiker,0.9133948087692264
housekeeper,0.907009184360504
ice,-0.6106843948364258
illustrator,1.0580434799194334
ingredient,1.0457230806350704
instrument,-0.5602149963378906
item,-0.1246414184570312
jacket,0.2632102966308594
janitor,0.669459342956543
jet,0.1791095733642577
jeweler,0.3327122330665587
jewelry,-0.4878578782081605
journalist,1.8974400758743288
kite,0.3454160690307618
knob,-0.050544738769531
lady,0.5190621018409727
lake,-0.0939865112304687
landscape,0.4318122863769531
letter,-0.0906295776367187
line,-0.0857429504394531
lotion,0.4123191833496094
lunchbox,0.6519069671630862
machine,0.2051868438720703
magazine,0.5397148728370667
maid,0.6831264495849607
make,-0.6463241577148438
man,0.2620353698730469
marble,-0.1640419960021972
mason,0.5406818985939026
material,0.2384147644042968
meat,-0.2212105393409728
mirror,-0.4594230651855469
model,-0.409027099609375
motorcycle,-0.7532796859741213
motorist,-0.3087120056152346
mountain,-0.1719427108764648
mover,0.474802017211914
mushroom,-0.4598340392112732
musician,0.4891948699951172
narrator,1.92449951171875
notetaker,0.6034698486328125
novel,0.0075302124023437
novelist,2.0314921736717224
orator,0.7450714111328125
packaging,-0.4013252258300783
painter,0.1005954742431642
panel,-0.1518363952636721
paper,-0.1087303161621092
passage,-0.2184638977050779
pastry,-0.0614566802978514
patissier,0.5166911482810972
pattern,-0.8018379211425779
peddler,0.8776340484619141
pepper,-0.5648556351661682
person,0.6892890930175781
photographer,0.9143924713134766
pianist,0.5557975769042971
piano,-0.1784468293190002
pie,-0.4622259140014646
pilot,0.0227775573730468
pizza,-0.2162380218505859
plane,0.3165740966796875
poem,0.1757431030273437
poet,0.4404354095458984
portraitist,1.2064914107322693
pot,-0.7172050476074219
potato,-0.3683862090110779
potter,-0.1054668426513671
product,0.8853988647460935
professor,0.3517627716064453
proposal,0.137054443359375
pumpkin,-0.6233130097389221
quilt,0.0490236282348632
racer,0.7285347580909729
report,0.2457847595214843
roadtripper,0.7713737487792969
routine,-0.0140914916992187
salesman,1.934476852416992
saleswoman,1.656465470790863
salmon,-0.0506951808929444
scene,-0.2482833862304683
screw,0.357990264892578
scribe,0.4350242018699646
script,0.33087158203125
sculptor,0.1615486145019531
seamster,1.0129776000976562
seamstress,1.4540519714355469
section,-0.5517845749855045
shirt,0.208251953125
shopkeeper,0.7563896179199219
sideburn,-0.2220230102539062
silk,-0.0002641677856445
silverware,0.161068022251129
singer,1.2652322053909302
snack,0.2612876892089844
soloist,1.0414503812789917
sonata,-0.1339416503906251
song,0.3168411254882812
steak,0.0912199616432191
stone,-0.4895687699317932
stubble,-0.1583003997802733
student,0.6773300170898438
suitcase,0.2320900559425355
surface,-0.01873779296875
surgeon,-0.0483455657958984
suv,-0.1299123764038086
tailor,0.9999961853027344
tank,-0.0756034851074214
teacher,0.44195556640625
telemarketer,1.0131568908691402
tent,-0.2715301513671876
thread,-0.0233306884765625
toy,-0.3619422912597656
tractor,-0.2995586395263673
trader,1.7738971710205078
traveller,0.8401947021484375
truck,-0.0517063140869142
tub,-0.6521549820899963
tuna,0.0243964195251465
turkey,-0.1409868597984312
upholsterer,0.6445426344871519
valve,-0.705497682094574
van,-0.3176651000976561
vegetable,-0.1617698669433591
vehicle,-0.3752098083496091
verse,-0.197639465332031
view,-0.2005271911621093
violin,-0.2684244513511656
violinist,0.523183822631836
waiter,1.613603591918945
waitress,1.4081841111183169
wall,-0.0430049896240234
window,0.2552089691162109
windshield,-0.5560750961303711
woman,0.1973419189453127
wood,-0.4493637084960937
wool,-0.1180800795555114
worker,0.0600605010986328
wound,-0.8825340270996094
yarn,0.3252315521240234
