noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,0.5,0.5,0.012199401855468747
actor,1,1.0,1.0,2.0531386584043503
aircraft,3,0.0,1.0,0.7566553751627604
album,3,0.0,0.0,1.0067520042260487
animal,2,1.0,1.0,-0.3919410705566406
announcer,2,1.0,1.0,1.6234436333179472
artisan,4,1.0,1.0,1.4386100769042969
artist,4,0.5,0.5,0.09745979309082033
author,2,1.0,1.0,0.6074867248535156
aviator,3,1.0,1.0,1.3146693507830303
backpack,2,0.0,0.0,0.7375907897949218
backpacker,2,1.0,1.0,0.8522262573242189
bag,2,0.0,0.0,0.39379501342773426
baker,6,1.0,1.0,1.2449022978544235
barber,7,1.0,1.0,0.4215490903173174
basket,2,0.0,0.0,0.8146781623363495
beard,3,1.0,1.0,-0.578582763671875
bedding,5,0.0,1.0,1.85890731215477
bike,4,1.0,1.0,-0.24083137512207026
blanket,2,0.0,1.0,1.4921264499425888
blogger,2,1.0,1.0,1.4044113457202916
board,4,1.0,1.0,-0.6609268188476562
book,3,0.0,1.0,0.8835500081380209
bottle,2,0.0,0.0,1.1824378669261932
bowl,2,0.0,1.0,1.3191108703613281
bread,3,0.0,0.0,0.3212432861328125
broadcaster,2,1.0,1.0,1.687622055411339
building,2,0.0,0.0,0.79693703353405
bus,3,0.0,1.0,0.43584440151850373
busboy,5,1.0,1.0,0.5913238525390625
businessman,3,1.0,1.0,1.1210225423177083
businesswoman,3,1.0,1.0,1.6680908103783925
butcher,4,1.0,1.0,0.2346820831298828
cake,3,0.0,0.0,0.5101318359375
cameraman,2,1.0,1.0,1.836097702383995
camper,2,1.0,1.0,1.3886337131261826
canvas,4,0.0,0.0,0.38484762609004974
captain,3,1.0,1.0,1.8724771738052368
car,12,0.5,0.5,0.3885059307018916
cardboard,4,0.0,0.0,0.5123786926269531
carpet,3,0.0,1.0,1.7861200819412868
carver,7,1.0,1.0,0.8834533563682011
caterer,3,1.0,1.0,1.7391154517730076
cd,3,0.0,0.0,0.3864034016927083
cellist,2,1.0,1.0,0.4481964111328124
cello,2,0.0,1.0,0.3808708190917969
chauffeur,3,1.0,1.0,1.3211161494255066
chef,10,1.0,1.0,1.3238967955112457
choreography,1,0.0,0.0,0.2615393996238706
clarinet,2,0.0,1.0,1.009021744132042
clarinetist,2,1.0,1.0,1.141742706298828
clay,6,0.0,0.0,0.439959188302358
cleaner,5,1.0,1.0,1.1409606754779815
clerk,2,1.0,1.0,1.1399727165699005
cloth,8,0.875,0.875,-0.14906977862119675
coat,2,0.0,1.0,1.1632194817066193
code,2,0.0,0.0,0.26078411936759943
comedian,1,1.0,1.0,1.9275359511375427
concerto,1,0.0,1.0,1.464828446507454
confectioner,3,1.0,1.0,0.9699554642041525
container,2,0.0,0.0,0.47038456797599804
convertible,3,0.6666666666666666,0.6666666666666666,-0.09532928466796871
cook,6,1.0,1.0,0.8045679728190104
cotton,4,0.0,1.0,0.954435333609581
countertop,3,0.0,1.0,0.8711471358935038
crate,2,0.0,0.0,0.7432822585105895
cushion,4,0.0,1.0,0.7599392160773277
cut,4,1.0,1.0,-0.5682430565357208
dancer,1,1.0,1.0,1.2930603027343754
dealer,3,1.0,1.0,0.9120712081591288
dish,2,0.0,0.0,0.6971397399902344
doctor,2,0.0,1.0,-0.2546691596508026
dough,3,0.6666666666666666,0.6666666666666666,0.0488459269205729
dressmaker,4,1.0,1.0,1.512374885380268
driver,7,0.0,1.0,-0.3903612494468689
drug,3,0.0,1.0,0.6405449310938517
drummer,2,1.0,1.0,0.08979415893554679
duffle,2,0.0,1.0,0.5767822265625
essay,4,0.25,0.75,0.1398143768310547
essayist,2,1.0,1.0,0.9225349426269532
fabric,20,0.0,1.0,1.171579936146736
fillet,3,0.0,0.0,0.6776580909887949
fish,3,0.0,0.0,0.34647369384765625
floor,3,0.0,1.0,0.7246602574984232
flute,2,0.0,1.0,0.5680503845214844
flutist,2,1.0,1.0,0.35951232910156244
food,2,0.0,0.0,0.10594367980957026
gem,4,0.0,0.0,0.6245594099164009
glass,4,0.0,0.0,1.577196091413498
hairdresser,7,1.0,1.0,0.9163894823619297
handle,4,0.0,1.0,0.30580329895019537
hat,3,0.0,0.0,1.5530039469401042
herb,3,0.0,0.0,0.39812467495600384
hiker,2,1.0,1.0,0.5917740166187285
housekeeper,3,1.0,1.0,1.0768508613109589
ice,7,0.0,0.0,0.3479341779436384
illustrator,4,1.0,1.0,1.1751041412353518
ingredient,3,0.0,1.0,1.192368855079015
instrument,2,0.0,0.0,0.2624092400074005
item,3,0.0,0.0,1.6877962748209632
jacket,2,0.0,1.0,1.0462303161621094
janitor,3,1.0,1.0,0.9046656390031179
jet,3,0.0,1.0,0.6351114809513092
jeweler,4,1.0,1.0,0.6804657205939293
jewelry,3,0.0,0.0,1.093638112147649
journalist,2,1.0,1.0,1.6814688593149185
kite,3,0.0,1.0,1.3079630335172017
knob,4,1.0,1.0,-0.24498558044433588
lady,5,0.4,0.4,-0.026818847656249978
lake,2,1.0,1.0,-0.437706023454666
landscape,2,1.0,0.0,-0.3298969268798828
letter,2,1.0,1.0,-0.6245193183422089
line,2,0.5,0.5,-0.07720184326171875
lotion,3,0.0,1.0,2.5853118523955345
lunchbox,2,0.0,1.0,1.3993873745203018
machine,8,0.875,0.875,0.25175331532955164
magazine,3,0.0,1.0,1.4605000515778859
maid,5,1.0,1.0,1.671656858921051
