noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,0.3190784156322479
actor,1,1.0,1.598121613264084
aircraft,3,1.0,0.6968428492546082
album,3,1.0,0.8903974294662476
animal,2,0.0,-0.26870632171630854
announcer,2,1.0,0.12611389160156244
artisan,4,1.0,0.21104049682617193
artist,4,0.5,-0.07862758636474615
author,2,0.5,0.10052299499511726
aviator,3,1.0,0.5495147705078126
backpack,2,1.0,0.6777763366699218
backpacker,2,1.0,0.488563597202301
bag,2,1.0,0.3745707869529725
baker,6,1.0,0.6378466089566549
barber,7,0.2857142857142857,-0.04567391531808031
basket,2,1.0,0.9477958679199219
beard,3,0.0,-0.18299357096354163
bedding,5,1.0,1.728528583049774
bike,4,0.0,-0.4866456985473633
blanket,2,1.0,1.6399250328540802
blogger,2,1.0,0.4618663489818573
board,4,0.0,-0.690037727355957
book,3,1.0,0.9332891901334127
bottle,2,1.0,0.9048919677734375
bowl,2,1.0,1.3941326290369036
bread,3,1.0,0.614074687163035
broadcaster,2,1.0,0.7945479899644852
building,2,1.0,1.8099908977746964
bus,3,1.0,0.6124891042709351
busboy,5,1.0,0.3653747677803039
businessman,3,1.0,0.2262700398763021
businesswoman,3,1.0,0.7409362395604452
butcher,4,0.25,0.003709793090820354
cake,3,1.0,0.7403284907341003
cameraman,2,1.0,0.49379920959472645
camper,2,1.0,0.8744621574878693
canvas,4,0.75,0.17290689051151284
captain,3,1.0,1.0453541974226634
car,12,0.4166666666666667,0.08596993982791896
cardboard,4,1.0,0.3336811214685439
carpet,3,1.0,1.6338602503140767
carver,7,1.0,0.28050996576036724
caterer,3,1.0,1.1823247075080872
cd,3,1.0,0.29000093539555866
cellist,2,0.5,0.026927947998046847
cello,2,1.0,0.03710746765136719
chauffeur,3,1.0,0.7198536992073059
chef,10,1.0,0.6742591798305512
choreography,1,1.0,0.8197823166847229
clarinet,2,1.0,0.7354355156421661
clarinetist,2,1.0,0.5566787719726564
clay,6,1.0,0.41146086653073627
cleaner,5,1.0,0.8452812314033509
clerk,2,0.0,-0.150665283203125
cloth,8,0.25,-0.1537737771868706
coat,2,1.0,1.0866508185863495
code,2,0.5,0.03787708282470714
comedian,1,1.0,1.1174087524414062
concerto,1,1.0,1.3469848930835724
confectioner,3,1.0,0.38544972737630195
container,2,1.0,0.3543510138988495
convertible,3,0.6666666666666666,0.013014475504557333
cook,6,1.0,0.7348823348681132
cotton,4,1.0,0.4524993747472763
countertop,3,1.0,1.04974110921224
crate,2,1.0,0.45537182688713074
cushion,4,1.0,0.6304307132959366
cut,4,0.0,-0.159682273864746
dancer,1,1.0,1.065757691860199
dealer,3,0.6666666666666666,-0.0314865112304687
dish,2,1.0,1.0050049424171448
doctor,2,0.0,-0.9498768150806428
dough,3,1.0,0.29811479647954303
dressmaker,4,1.0,1.085994765162468
driver,7,0.0,-1.0086272188595362
drug,3,1.0,0.7077484329541525
drummer,2,0.0,-0.5656585693359376
