noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,1.0,1.0,-2.2259760200977325
actor,1,0.0,1.0,-1.6922407448291772
aircraft,3,1.0,1.0,-2.0621302376190824
album,3,1.0,1.0,-2.006601611773173
animal,2,1.0,1.0,-1.9805360361933708
announcer,2,0.0,1.0,-1.8847151920199399
artisan,4,0.0,1.0,-2.2524543199688196
artist,4,0.0,1.0,-1.7739839926362038
author,2,0.0,1.0,-1.16012142598629
aviator,3,0.0,1.0,-1.9027478744586308
backpack,2,1.0,1.0,-2.1639236994087696
backpacker,2,0.0,1.0,-2.165374767035246
bag,2,1.0,1.0,-2.3629860766232014
baker,6,0.0,1.0,-2.3968674764037132
barber,7,0.0,1.0,-1.5925373286008835
basket,2,1.0,1.0,-3.023447969928384
beard,3,1.0,1.0,-2.4334710712234178
bedding,5,1.0,1.0,-2.113796764612198
bike,4,1.0,1.0,-1.8006672486662867
blanket,2,1.0,1.0,-2.2718076147139072
blogger,2,0.0,1.0,-1.4833240285515785
board,4,1.0,1.0,-2.0623121205717325
book,3,1.0,1.0,-1.4535468518733978
bottle,2,1.0,1.0,-2.324416723102331
bowl,2,1.0,1.0,-2.7669076956808567
bread,3,1.0,1.0,-2.3905191297332444
broadcaster,2,0.0,1.0,-2.08494183793664
building,2,1.0,1.0,-2.4938921444118023
bus,3,1.0,1.0,-2.1703965117534003
busboy,5,0.0,1.0,-1.7247426986694336
businessman,3,0.0,1.0,-1.3986396839221318
businesswoman,3,0.0,1.0,-1.4898013720909755
butcher,4,0.0,1.0,-2.07651755400002
cake,3,1.0,1.0,-2.7206236521402993
cameraman,2,0.0,1.0,-2.563208617269993
camper,2,0.0,1.0,-2.1469521932303905
canvas,4,1.0,1.0,-2.7618622547015548
captain,3,0.0,1.0,-1.4867226382096608
car,12,1.0,1.0,-1.9209794451793034
cardboard,4,1.0,1.0,-1.9855783134698868
carpet,3,1.0,1.0,-2.2420046279827752
carver,7,0.0,1.0,-2.112748992230211
caterer,3,0.0,1.0,-2.0398229037721953
cd,3,1.0,1.0,-1.8112303366263707
cellist,2,0.0,1.0,-1.709684371948242
cello,2,1.0,1.0,-1.8902273327112196
chauffeur,3,0.0,1.0,-1.8112369825442631
chef,10,0.0,1.0,-1.9069098569452763
choreography,1,1.0,1.0,-1.7986821830272672
clarinet,2,1.0,1.0,-2.225038059055805
clarinetist,2,0.0,1.0,-1.9802651330828667
clay,6,1.0,1.0,-2.6482440320154033
cleaner,5,0.0,1.0,-1.3899730682373046
clerk,2,0.0,1.0,-1.8415121734142308
cloth,8,1.0,1.0,-2.3862128257751465
coat,2,1.0,1.0,-2.5893034860491753
code,2,1.0,1.0,-1.8686809986829758
comedian,1,0.0,1.0,-1.5546588599681854
concerto,1,1.0,1.0,-2.156139276921749
confectioner,3,0.0,1.0,-1.9260518103837967
container,2,1.0,1.0,-2.225153923034668
convertible,3,1.0,1.0,-2.4002050211032233
cook,6,0.0,1.0,-2.5970923453569412
cotton,4,1.0,1.0,-2.48039722815156
countertop,3,1.0,1.0,-2.4195019428928695
crate,2,1.0,1.0,-2.2485371083021164
cushion,4,1.0,1.0,-2.821627859957516
cut,4,1.0,1.0,-2.6984496638178825
dancer,1,0.0,1.0,-1.5874156653881073
dealer,3,0.0,1.0,-1.8671223123868306
dish,2,1.0,1.0,-2.4526047073304653
doctor,2,0.0,1.0,-1.4542450979351997
dough,3,1.0,1.0,-2.6236540550986924
dressmaker,4,0.0,1.0,-1.8660127930343149
driver,7,0.0,1.0,-1.8185126100267683
drug,3,1.0,1.0,-1.961349497238795
drummer,2,0.0,1.0,-2.2321648858487606
duffle,2,1.0,1.0,-2.7888631746172905
essay,4,1.0,1.0,-1.7636198811233044
essayist,2,0.0,1.0,-1.7018513604998589
fabric,20,1.0,1.0,-2.3257870227098465
fillet,3,1.0,1.0,-2.5123053019245467
fish,3,1.0,1.0,-2.260377250611782
floor,3,1.0,1.0,-1.9981100459893544
flute,2,1.0,1.0,-2.3013934642076492
flutist,2,0.0,1.0,-1.841614231467247
food,2,1.0,1.0,-2.176090255379677
gem,4,1.0,1.0,-2.2925050426274542
glass,4,1.0,1.0,-2.4630036614835262
hairdresser,7,0.0,1.0,-1.816009025488581
handle,4,1.0,1.0,-2.1673774924129248
hat,3,1.0,1.0,-2.1509361589948335
herb,3,1.0,1.0,-2.7287893344958625
hiker,2,0.0,1.0,-1.8101592212915423
housekeeper,3,0.0,1.0,-2.1871109530329704
ice,7,1.0,1.0,-2.1758216598204205
illustrator,4,0.0,1.0,-1.862797949463129
ingredient,3,1.0,1.0,-2.1261319741606712
instrument,2,1.0,1.0,-2.3507194630801678
item,3,1.0,1.0,-1.89439357817173
jacket,2,1.0,1.0,-2.231572575867176
janitor,3,0.0,1.0,-1.7408421834309893
jet,3,1.0,1.0,-1.7506755342086155
jeweler,4,0.0,1.0,-1.652488477528095
jewelry,3,1.0,1.0,-2.27112640440464
journalist,2,0.0,1.0,-1.608964428305626
