noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-1.2928313910961151
actor,1,1.0,-0.6808014214038849
aircraft,3,1.0,-1.277530958255132
album,3,1.0,-0.8625208536783854
animal,2,1.0,-1.2454238086938858
announcer,2,1.0,-1.1541080921888351
artisan,4,1.0,-1.4624190106987953
artist,4,1.0,-0.8563797324895859
author,2,1.0,-0.2533082962036133
aviator,3,1.0,-0.8796870311101278
backpack,2,1.0,-0.9481744915246964
backpacker,2,1.0,-1.3443946689367294
bag,2,1.0,-1.0081720054149628
baker,6,1.0,-1.3151850576202075
barber,7,1.0,-0.7266969765935626
basket,2,1.0,-1.4870085343718529
beard,3,1.0,-1.2840398450692494
bedding,5,1.0,-0.7954902529716492
bike,4,1.0,-0.7181822806596756
blanket,2,1.0,-0.930806577205658
blogger,2,1.0,-0.7203192859888076
board,4,1.0,-1.3045575693249702
book,3,1.0,-0.35912005106608075
bottle,2,1.0,-0.7497334480285645
bowl,2,1.0,-1.0418095737695694
bread,3,1.0,-1.2774804631869
broadcaster,2,1.0,-1.4987816661596298
building,2,1.0,-1.8246331289410591
bus,3,1.0,-1.1396672030289967
busboy,5,1.0,-0.8660700023174286
businessman,3,1.0,-0.3706334431966145
businesswoman,3,1.0,-0.8071225186189016
butcher,4,1.0,-0.8303780257701874
cake,3,1.0,-1.39946016172568
cameraman,2,1.0,-2.071979507803917
camper,2,1.0,-1.079160675406456
canvas,4,1.0,-1.4464113898575306
captain,3,1.0,-0.6884978512922922
car,12,1.0,-0.7781089022755623
cardboard,4,1.0,-0.9908489957451821
carpet,3,1.0,-0.6889073252677917
carver,7,1.0,-1.0628565507275718
caterer,3,1.0,-1.0323403775691988
cd,3,1.0,-0.746571550766627
cellist,2,1.0,-0.7920398861169816
cello,2,1.0,-0.6831569671630859
chauffeur,3,1.0,-0.6025082369645437
chef,10,1.0,-0.8206113755702973
choreography,1,1.0,-0.4724712371826173
clarinet,2,1.0,-1.1269073337316513
clarinetist,2,1.0,-1.1198392361402512
clay,6,1.0,-1.2932457824548085
cleaner,5,1.0,-0.4020988464355469
clerk,2,1.0,-0.7097620815038681
cloth,8,1.0,-1.2197046428918839
coat,2,1.0,-1.2073860615491867
code,2,1.0,-0.4436540603637694
comedian,1,1.0,-0.7215051352977753
concerto,1,1.0,-0.7764568626880646
confectioner,3,1.0,-1.3621327032645543
container,2,1.0,-0.9108099937438965
convertible,3,1.0,-1.0075887044270833
cook,6,1.0,-1.4818048377831776
cotton,4,1.0,-1.4017472378909588
countertop,3,1.0,-1.0448643267154694
crate,2,1.0,-0.7942624390125275
cushion,4,1.0,-1.2076945453882217
cut,4,1.0,-1.364299051463604
dancer,1,1.0,-0.2889280319213867
dealer,3,1.0,-0.5439443488915762
dish,2,1.0,-0.7644009441137314
doctor,2,1.0,-0.5487985759973525
dough,3,1.0,-1.473827342192332
dressmaker,4,1.0,-1.2048537731170654
driver,7,1.0,-0.866889259644917
drug,3,1.0,-0.6903924942016602
drummer,2,1.0,-0.9865675419569016
duffle,2,1.0,-1.2725653499364853
essay,4,1.0,-0.8999202102422714
essayist,2,1.0,-0.8093495219945908
fabric,20,1.0,-1.233252926170826
fillet,3,1.0,-1.039412220319112
fish,3,1.0,-0.8035475512345632
floor,3,1.0,-0.635783831278483
flute,2,1.0,-1.322060078382492
flutist,2,1.0,-1.0171828418970108
food,2,1.0,-0.7674727588891983
gem,4,1.0,-0.9351458624005318
glass,4,1.0,-1.0244481340050697
hairdresser,7,1.0,-1.0402566407408034
handle,4,1.0,-0.8185141310095787
hat,3,1.0,-0.9628559748331704
herb,3,1.0,-1.3468567778666813
hiker,2,1.0,-0.7755779772996904
housekeeper,3,1.0,-1.1826083064079285
ice,7,1.0,-0.9293952711990902
illustrator,4,1.0,-1.0181710571050644
ingredient,3,1.0,-0.9994519650936127
instrument,2,1.0,-1.2216963917016983
item,3,1.0,-0.7093156178792318
jacket,2,1.0,-1.0432458221912384
janitor,3,1.0,-0.7437785069147745
jet,3,1.0,-0.7745495041211446
jeweler,4,1.0,-0.9022087901830673
jewelry,3,1.0,-1.0381247500578563
journalist,2,1.0,-0.7407417595386505
kite,3,1.0,-0.8810186684131622
knob,4,1.0,-1.16302540153265
lady,5,1.0,-1.3870553910732268
lake,2,1.0,-1.941799208521843
landscape,2,1.0,-1.7909330949187279
letter,2,1.0,-1.185815840959549
line,2,1.0,-0.9117722362279892
lotion,3,1.0,-0.7549378176530203
lunchbox,2,1.0,-1.34831715375185
machine,8,1.0,-1.1686527654528618
magazine,3,1.0,-0.9912922779719034
maid,5,1.0,-1.188727569580078
make,3,1.0,-0.7553068896134695
man,5,1.0,-1.0681459546089171
marble,3,1.0,-0.997079203526179
mason,3,1.0,-1.082440714041392
material,4,1.0,-0.9153356328606606
meat,7,1.0,-0.9731577251638684
mirror,3,1.0,-1.2350311279296875
model,2,1.0,-1.6845040395855904
motorcycle,4,1.0,-0.8325062096118927
motorist,4,1.0,-0.7265763506293297
mountain,2,1.0,-1.9490518793463707
mover,2,1.0,-0.6688909232616426
mushroom,3,1.0,-1.2609964907169342
musician,3,1.0,-0.49882348378499347
narrator,2,1.0,-0.9009108543395996
notetaker,2,1.0,-1.0196409672498703
novel,3,1.0,-0.41772206624348956
novelist,2,1.0,-0.32790374755859375
orator,2,1.0,-0.9763941764831543
packaging,4,1.0,-0.7788362503051758
painter,4,1.0,-1.0076038837432861
panel,4,1.0,-1.2910089679062366
paper,4,1.0,-0.803949847817421
passage,6,1.0,-0.8326816856861115
pastry,3,1.0,-1.5295374890168507
patissier,3,1.0,-1.7978426416714985
pattern,5,1.0,-0.9145191431045532
peddler,3,1.0,-0.9554192026456197
pepper,3,1.0,-0.9771270751953125
person,30,1.0,-0.5826882074276606
photographer,2,1.0,-1.4714770689606667
pianist,2,1.0,-0.949233502149582
piano,2,1.0,-0.8469662368297576
pie,3,1.0,-1.4508784711360931
pilot,7,1.0,-1.09187793305942
pizza,3,1.0,-1.3477735469738643
plane,3,1.0,-1.391545573870341
poem,2,1.0,-1.270903080701828
poet,2,1.0,-0.6312890350818634
portraitist,4,1.0,-1.1799557134509087
pot,3,1.0,-1.0610459844271343
potato,3,1.0,-1.5273599276940029
potter,3,1.0,-1.120738019545873
product,3,1.0,-0.743150383234024
professor,2,1.0,-0.3364982604980469
proposal,2,1.0,-0.4295620918273926
pumpkin,4,1.0,-1.5263936817646027
quilt,4,1.0,-1.4892452098429203
racer,4,1.0,-0.6366889253258705
report,2,1.0,-1.1220683753490448
roadtripper,2,1.0,-1.2713141590356827
routine,1,1.0,-0.4391479492187499
salesman,3,1.0,-0.4624652961889902
saleswoman,3,1.0,-0.9745490252971649
salmon,3,1.0,-1.134108543395996
scene,1,1.0,-0.6814937591552734
screw,4,1.0,-1.1692318841814995
scribe,2,1.0,-0.499021515250206
script,2,1.0,-1.0858654975891113
sculptor,7,1.0,-1.2747244047267097
seamster,8,1.0,-1.1432283092290163
seamstress,4,1.0,-1.0833971351385117
section,2,1.0,-0.43701982498168945
shirt,2,1.0,-0.9611082524061203
shopkeeper,3,1.0,-0.872142473856608
sideburn,3,1.0,-1.3835236181815465
silk,4,1.0,-1.1988544799387455
silverware,3,1.0,-0.6866744756698608
singer,1,1.0,-0.6995190978050232
snack,3,1.0,-0.9193035761515299
soloist,1,1.0,-0.9415474534034728
sonata,1,1.0,-1.37908074259758
song,1,1.0,-0.5140466690063477
steak,7,1.0,-0.9560642455305371
stone,7,1.0,-0.9647141822746821
stubble,3,1.0,-1.168400138616562
student,4,1.0,-0.37842369079589844
suitcase,2,1.0,-0.8531685173511505
surface,7,1.0,-0.927814896617617
surgeon,4,1.0,-0.7474730387330055
suv,6,1.0,-1.1856011127432187
tailor,12,1.0,-0.8786539932092031
tank,3,1.0,-1.3628825893004735
teacher,2,1.0,-0.5643396079540255
telemarketer,3,1.0,-0.9300460815429688
tent,2,1.0,-1.3670310899615288
thread,4,1.0,-1.2934119552373886
toy,3,1.0,-0.5076586306095123
tractor,3,1.0,-1.1269156436125438
trader,3,1.0,-0.2998806635538737
traveller,2,1.0,-0.6619023829698563
truck,3,1.0,-1.0246461232503254
tub,2,1.0,-0.7307339012622833
tuna,3,1.0,-1.2395883699258168
turkey,4,1.0,-1.1057865470647812
upholsterer,4,1.0,-0.9066929817199707
valve,4,1.0,-0.8898957073688507
van,3,1.0,-1.1352971494197845
vegetable,3,1.0,-1.2318401038646698
vehicle,3,1.0,-1.4091952840487163
verse,2,1.0,-1.213057979941368
view,2,1.0,-1.5107121169567108
violin,2,1.0,-1.1910062283277512
violinist,2,1.0,-1.189021572470665
waiter,3,1.0,-0.8148495058218638
waitress,3,1.0,-1.0396801829338074
wall,4,1.0,-1.2142202705144882
window,3,1.0,-0.534855862458547
windshield,5,1.0,-1.0052593290805816
woman,5,1.0,-1.5039611846208571
wood,11,1.0,-0.9920044107870623
wool,5,1.0,-1.158543774485588
worker,4,1.0,-0.4971606805920601
wound,4,1.0,-1.4920251332223415
yarn,5,1.0,-0.9949646115303039
