noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-0.9764886051416397
actor,1,0.0,-0.5500736832618713
aircraft,3,0.0,-1.1417620877424877
album,3,0.0,-0.9618145624796549
animal,2,0.0,-1.0313229858875277
announcer,2,0.0,-0.9236282706260681
artisan,4,0.0,-1.1700379624962807
artist,4,0.0,-0.653230682015419
author,2,0.0,-0.03338527679443355
aviator,3,0.0,-0.6007878184318544
backpack,2,0.0,-1.0954551696777344
backpacker,2,0.0,-0.9315719455480577
bag,2,0.0,-0.9961046725511551
baker,6,0.0,-1.0876988023519516
barber,7,0.0,-0.6530805400439671
basket,2,0.0,-1.6168961599469187
beard,3,0.0,-1.2058486839135487
bedding,5,0.0,-0.7889484345912934
bike,4,0.0,-0.7315817102789879
blanket,2,0.0,-0.8577613532543182
blogger,2,0.0,-0.5656166672706604
board,4,0.0,-0.8133864402770996
book,3,0.0,-0.3314723968505859
bottle,2,0.0,-0.7894582450389862
bowl,2,0.0,-1.1165070533752441
bread,3,0.0,-1.1491677165031433
broadcaster,2,0.0,-1.2081108093261719
building,2,0.0,-1.835633710026741
bus,3,0.0,-1.0150286654631298
busboy,5,0.0,-0.7163515269756318
businessman,3,0.0,-0.2806202570597331
businesswoman,3,0.0,-0.5722542007764181
butcher,4,0.0,-0.6460349634289742
cake,3,0.0,-1.4191573361555736
cameraman,2,0.0,-1.925416961312294
camper,2,0.0,-0.7774615436792374
canvas,4,0.0,-1.3974509090185165
captain,3,0.0,-0.4979142944018046
car,12,0.0,-0.6978421236077944
cardboard,4,0.0,-0.5781833902001381
carpet,3,0.0,-0.6028308471043905
carver,7,0.0,-0.9639936174665179
caterer,3,0.0,-0.8920243084430693
cd,3,0.0,-0.6468544403711954
cellist,2,0.0,-0.637553259730339
cello,2,0.0,-0.6963086128234863
chauffeur,3,0.0,-0.6221418976783751
chef,10,0.0,-0.8011278957128525
choreography,1,0.0,-0.3919639587402344
clarinet,2,0.0,-1.0034403502941132
clarinetist,2,0.0,-0.9123873263597488
clay,6,0.0,-1.0577700783809025
cleaner,5,0.2,-0.05318126678466793
clerk,2,0.0,-0.66094970703125
cloth,8,0.0,-0.9058690331876278
coat,2,0.0,-1.071284756064415
code,2,0.0,-0.5884619057178497
comedian,1,0.0,-0.4916229248046875
concerto,1,0.0,-0.6676903069019318
confectioner,3,0.0,-1.0825685063997905
container,2,0.0,-1.0072117149829865
convertible,3,0.0,-0.9626950919628143
