verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.0,1.0,0.5714285714285714,-4.857770595777779,-5.678464522958333
carves,20,28,0.0,1.0,0.5833333333333334,-3.3198666521,-5.368241597328572
cleans,21,33,0.0,1.0,0.6111111111111112,-3.3406533647142864,-3.833309812666667
cooks,12,33,0.0,1.0,0.7333333333333333,-4.8480799135,-5.681250935509092
cuts,16,24,0.0,1.0,0.6,-3.467946206875,-4.617477612208334
drives,9,27,0.0,1.0,0.75,-3.2201008455555558,-4.331882232518518
embroiders,12,16,0.0,1.0,0.5714285714285714,-3.6166517652499994,-4.784620726625
flies,12,12,0.0,1.0,0.5,-3.543288660916667,-4.780495529166667
knits,20,15,0.0,1.0,0.42857142857142855,-5.159341763949998,-5.400266318400001
packs,16,24,0.0,1.0,0.6,-3.3856283308125,-5.256518615270834
paints,20,28,0.0,1.0,0.5833333333333334,-3.617110065,-4.663749097249999
performs,7,6,0.0,1.0,0.46153846153846156,-3.099014768571428,-3.9749193375
photographs,4,14,0.0,1.0,0.7777777777777778,-3.27598302,-4.500905240214285
plays,14,12,0.0,1.0,0.46153846153846156,-5.721187213642857,-6.786643958125
reads,14,20,0.0,1.0,0.5882352941176471,-2.665025045714286,-3.94911983975
sculpts,15,15,0.0,1.0,0.5,-4.0190699808,-4.470993582666666
sells,27,45,0.2222222222222222,1.0,0.7083333333333334,-0.7189497718518518,-3.876150625622222
sews,12,8,0.0,1.0,0.4,-3.7638399564166662,-3.93814075375
shaves,6,9,0.0,1.0,0.6,-2.6521917533333332,-4.622226120222222
stitches,20,28,0.0,1.0,0.5833333333333334,-4.378899048399999,-5.084879740928571
turns,16,28,0.0,1.0,0.6363636363636364,-3.4165738234375,-4.918636780535714
washes,8,18,0.0,1.0,0.6923076923076923,-2.8333669825000003,-4.0477443904444455
writes,24,10,0.0,1.0,0.29411764705882354,-2.7663795760416665,-3.6761593606
