noun,avg_LL_delta
abstract,-1.02377796
actor,-0.7414705400000001
aircraft,-0.8931228400000001
album,-0.7983932399999999
animal,-1.5676195000000002
announcer,-0.337879
artisan,0.51194
artist,0.2339188999999999
author,-0.0637100999999999
aviator,0.06946574
backpack,-0.8457745999999999
backpacker,-0.6432434999999999
bag,-1.4825677
baker,-1.2063044
barber,-1.6437092
basket,-1.1701087
beard,-1.7159383
bedding,-1.88060534
bike,-0.6241608
blanket,-2.6554528
blogger,-0.7381802
board,-1.1551102
book,-0.7362221999999999
bottle,-1.2972022500000002
bowl,-1.6505012
bread,-0.7954130399999999
broadcaster,-1.0177211000000002
building,-0.7594833999999999
bus,-1.23631396
busboy,-0.8087034500000001
businessman,-0.0289345
businesswoman,0.2107078
butcher,-1.4766684
cake,-1.6136845000000002
cameraman,-0.3948085999999999
camper,-1.2808599
canvas,-1.4702878
captain,-0.472396
car,-0.4807566999999999
cardboard,-1.60702987
carpet,-0.8874666
carver,-0.8149298399999999
caterer,0.1501733
cd,-0.8575792999999998
cellist,-0.7138997
cello,-1.23058795
chauffeur,0.1083727999999999
chef,-0.7118798
choreography,0.3777216999999999
clarinet,-1.1704663599999998
clarinetist,-0.404074
clay,-1.1526815
cleaner,-0.7784511000000001
clerk,-0.5258361
cloth,-1.61534105
coat,-1.23252295
code,-1.5862541
comedian,-0.61143873
concerto,0.0593042999999999
confectioner,-0.8312339999999999
container,-0.6777610500000001
convertible,-0.8067523
cook,-1.2331094
cotton,-2.3462296
countertop,-0.9032259
crate,-2.2319546
cushion,-1.97460728
cut,-2.59954358
dancer,-0.58372686
dealer,-0.5823077000000001
dish,-1.44893275
doctor,-2.18155285
dough,-0.1207217999999998
dressmaker,-0.3225612999999998
driver,-0.6481313
drug,-2.2296658
drummer,-0.6038473
duffle,-2.5509873
essay,-1.0492874
essayist,-0.7366532000000001
fabric,-1.5268297000000002
fillet,-0.7414130000000001
fish,-2.02307613
floor,-0.1549903000000001
flute,-1.9486055
flutist,-0.88657185
food,-1.212473
gem,-1.5927170999999998
glass,-1.8755745
hairdresser,-0.99326797
handle,-1.1675939
hat,-1.7471455000000002
herb,-1.5300016399999998
hiker,-1.12437636
housekeeper,-0.2267320299999999
ice,-1.9385231
illustrator,0.0003138
ingredient,-0.0029202999999999
instrument,-1.2735974
item,-0.3815012
jacket,-1.21607674
janitor,-0.2654133000000001
jet,-1.2639417000000002
jeweler,0.3151769000000002
jewelry,-0.4041728999999998
journalist,-0.8323175
kite,-1.95943618
knob,-1.7691177
lady,-1.51178364
lake,-1.8775880000000005
landscape,-0.6848965
letter,-1.719021
line,-1.18933976
lotion,-0.8772584000000001
lunchbox,-1.5294531400000002
machine,-1.2256689499999998
magazine,-0.4941444000000001
maid,-0.2864046999999998
make,-1.3051567
man,-1.34267226
marble,-1.84447087
mason,-0.8933476499999999
material,-0.2932941
meat,-1.4437236
mirror,-1.5300006
model,-0.5981101999999998
motorcycle,-0.8695565
motorist,-0.8187256600000001
mountain,-1.3739584000000002
mover,-0.9045123
mushroom,-1.7705707
musician,-0.4555720000000001
narrator,-0.95989415
notetaker,-0.9429854
novel,-0.5861558
novelist,-0.5885944
orator,-1.10582635
packaging,-1.0175885
painter,-1.1193284
panel,-1.4105234000000002
paper,-0.99387854
passage,-0.9726239
pastry,-2.0533476200000003
patissier,-0.5534726
pattern,-0.99237823
peddler,-0.1240996999999999
pepper,-1.11440186
person,-0.79683207
photographer,-0.9506559
pianist,-0.8483419000000001
piano,-1.2882363
pie,-1.2219506
pilot,-0.91646196
pizza,-0.5249043
plane,-0.99166967
poem,-1.5055209
poet,-1.2212896000000002
portraitist,-0.8403462299999999
pot,-1.3449268500000002
potato,-2.23286426
potter,-1.3283185
product,0.0857094999999998
professor,-1.4023742
proposal,-1.1874579
pumpkin,-2.6202792
quilt,-2.2168837
racer,-0.5489128999999999
report,-1.464534
roadtripper,0.0141769999999998
routine,-1.46946897
salesman,-0.1226548
saleswoman,0.5296076999999999
salmon,-1.70378412
scene,-0.6992806999999999
screw,-0.8740730000000001
scribe,-0.70833304
script,-1.29342654
sculptor,-1.1342571599999998
seamster,-0.6593781999999999
seamstress,-1.0152597
section,-1.4832649
shirt,-1.3559010700000005
shopkeeper,-0.2936774
sideburn,-1.7672748499999995
silk,-1.66656577
silverware,-1.1785125
singer,-0.4220351
snack,-0.93917573
soloist,-0.371064
sonata,-1.01620294
song,-0.995058
steak,-1.94063557
stone,-1.99359235
stubble,-1.3255262
student,-1.2811374300000002
suitcase,-0.5144539
surface,-0.0209616999999999
surgeon,-2.7602012
suv,0.1610808000000001
tailor,-0.6065883999999999
tank,-1.2305888
teacher,-1.4009019
telemarketer,-0.4857048600000001
tent,-2.15335005
thread,-1.5777015000000003
toy,-2.21047493
tractor,-1.34964935
trader,0.1789084999999999
traveller,-0.3784493
truck,-0.7316027999999999
tub,-2.0344808
tuna,-2.2324667
turkey,-1.84943858
upholsterer,0.35884675
valve,-1.71903863
van,-1.26779485
vegetable,-1.6067352
vehicle,-0.50275035
verse,-1.3329831
view,-1.6523759
violin,-1.4245882400000005
violinist,-0.89893626
waiter,-1.2746650000000002
waitress,-1.5201521299999998
wall,-1.6916865
window,-1.0211200000000002
windshield,-0.9233809
woman,-1.55905532
wood,-0.93961735
wool,-1.16198054
worker,-0.4786043
wound,-2.1650875000000003
yarn,-1.50838193
