noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-1.83759505
actor,1,1.0,-1.2571830199999998
aircraft,3,1.0,-2.0079738833333334
album,3,1.0,-1.6211032066666666
animal,2,1.0,-2.118747405
announcer,2,1.0,-1.44258583
artisan,4,1.0,-0.8366747275000002
artist,4,1.0,-1.5604576725
author,2,1.0,-1.1072206100000002
aviator,3,1.0,-1.2290629266666668
backpack,2,1.0,-2.4090749025
backpacker,2,1.0,-2.3690582630000003
bag,2,1.0,-2.6294431400000002
baker,6,1.0,-1.941124455
barber,7,1.0,-1.753295507142857
basket,2,1.0,-2.933383759
beard,3,1.0,-2.128603348
bedding,5,1.0,-2.190572244
bike,4,1.0,-1.8864871174999998
blanket,2,1.0,-2.778834227
blogger,2,1.0,-1.72179511
board,4,1.0,-2.2524513977500003
book,3,1.0,-1.9255924899999999
bottle,2,1.0,-2.5191832300000003
bowl,2,1.0,-2.788231725
bread,3,1.0,-2.4212849983333338
broadcaster,2,1.0,-2.6249083275
building,2,1.0,-2.296208405
bus,3,1.0,-2.00128342
busboy,5,1.0,-1.95512765
businessman,3,1.0,-1.5814660400000002
businesswoman,3,1.0,-1.5761432166666667
butcher,4,1.0,-2.0638375425
cake,3,1.0,-2.3515840583333336
cameraman,2,1.0,-1.65271755
camper,2,1.0,-2.248523587
canvas,4,1.0,-2.7794869755000002
captain,3,1.0,-1.2708798066666667
car,12,1.0,-1.8162310525000003
cardboard,4,1.0,-2.147903915
carpet,3,1.0,-1.9424572733333332
carver,7,1.0,-2.0210802500000002
caterer,3,1.0,-1.848681273333333
cd,3,1.0,-1.78007118
cellist,2,1.0,-1.8664655049999999
cello,2,1.0,-2.3637410699999997
chauffeur,3,1.0,-1.3980492900000001
chef,10,1.0,-1.446440886
choreography,1,1.0,-1.73577504
clarinet,2,1.0,-2.612358793
clarinetist,2,1.0,-2.04742607
clay,6,1.0,-2.5039598485
cleaner,5,1.0,-2.4082729288
clerk,2,1.0,-1.837507205
cloth,8,1.0,-2.670932897625
coat,2,1.0,-2.643570715
code,2,1.0,-1.49988268
comedian,1,1.0,-1.65646371
concerto,1,1.0,-1.7116281
confectioner,3,1.0,-2.5676483403333332
container,2,1.0,-2.6464344900000003
convertible,3,1.0,-1.7781432733333336
cook,6,1.0,-2.132378904
cotton,4,1.0,-2.8637431935
countertop,3,1.0,-2.3527589819999997
crate,2,1.0,-2.7408094800000002
cushion,4,1.0,-3.118897175
cut,4,1.0,-2.5083033825000003
dancer,1,1.0,-2.13395108
dealer,3,1.0,-1.5852577933333334
dish,2,1.0,-2.5903368049999997
doctor,2,1.0,-1.804471955
dough,3,1.0,-2.5963673446666666
dressmaker,4,1.0,-2.4411186802500002
driver,7,1.0,-1.3992518000000003
drug,3,1.0,-2.12065183
drummer,2,1.0,-1.62219405
duffle,2,1.0,-2.999913212
essay,4,1.0,-1.6432523575000002
essayist,2,1.0,-1.65107049
fabric,20,1.0,-2.735191659800001
fillet,3,1.0,-2.0031711766666667
fish,3,1.0,-2.4581336366666666
floor,3,1.0,-2.001502056666667
flute,2,1.0,-2.8455951170000002
flutist,2,1.0,-2.236221047
food,2,1.0,-2.4223655
gem,4,1.0,-2.4345510837499997
glass,4,1.0,-2.76410800625
hairdresser,7,1.0,-1.76828292
handle,4,1.0,-2.0847276075
hat,3,1.0,-2.0003642566666664
herb,3,1.0,-2.2068377866666666
hiker,2,1.0,-2.37204351
housekeeper,3,1.0,-1.6962940900000003
ice,7,1.0,-2.30506107
