verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.0,1.0,0.5714285714285714,-2.176468477333333,-2.6715376109999998
carves,20,28,0.0,1.0,0.5833333333333334,-1.8017345145,-2.386995835464286
cleans,21,33,0.0,1.0,0.6111111111111112,-2.024472999333333,-2.3877657624242428
cooks,12,33,0.0,1.0,0.7333333333333333,-1.9767380258333331,-2.4723367100000004
cuts,16,24,0.0,1.0,0.6,-1.7610265431249998,-2.195743174
drives,9,27,0.0,1.0,0.75,-1.5156957344444444,-2.0694660113333336
embroiders,12,16,0.0,1.0,0.5714285714285714,-2.267708825666667,-2.6502821059375004
flies,12,12,0.0,1.0,0.5,-1.4614055516666664,-2.503296903416667
knits,20,15,0.0,1.0,0.42857142857142855,-2.41117113475,-2.8825037173999997
packs,16,24,0.0,1.0,0.6,-2.0819686340624997,-2.6471239392083334
paints,20,28,0.0,1.0,0.5833333333333334,-1.8469659927499997,-2.5474096609285715
performs,7,6,0.0,1.0,0.46153846153846156,-1.974494074285714,-2.3204218575
photographs,4,14,0.0,1.0,0.7777777777777778,-1.8059363524999998,-2.2329549355
plays,14,12,0.0,1.0,0.46153846153846156,-1.9896521804285714,-2.458344809166667
reads,14,20,0.0,1.0,0.5882352941176471,-1.9849679765000003,-2.12337538075
sculpts,15,15,0.0,1.0,0.5,-2.0275223934,-2.5322177669999997
sells,27,45,0.0,1.0,0.625,-1.7128631018518519,-2.1245772243777776
sews,12,8,0.0,1.0,0.4,-2.3224091195833334,-2.443643947625
shaves,6,9,0.0,1.0,0.6,-1.7462106516666667,-2.4325400626666664
stitches,20,28,0.0,1.0,0.5833333333333334,-2.2194301474500002,-2.7372229381785713
turns,16,28,0.0,1.0,0.6363636363636364,-1.8506117846249999,-2.324598410571429
washes,8,18,0.0,1.0,0.6923076923076923,-2.23945036875,-2.6330958341111117
writes,24,10,0.0,1.0,0.29411764705882354,-1.8519566529166667,-1.9574900995
