noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-0.83849428
actor,1,0.0,-0.82876583
aircraft,3,0.0,-0.8451474500000001
album,3,0.0,-0.6595617533333333
animal,2,0.0,-0.325777085
announcer,2,0.0,-1.0625018699999997
artisan,4,0.0,-1.3233470175000002
artist,4,0.0,-1.0375084325
author,2,0.0,-0.4189442749999999
aviator,3,0.0,-0.6824270266666668
backpack,2,0.0,-1.0121764500000001
backpacker,2,0.0,-1.415217915
bag,2,0.0,-0.895881615
baker,6,0.0,-1.209285025
barber,7,0.0,-1.0481234514285716
basket,2,0.0,-1.0690335750000002
beard,3,0.0,-0.7506256233333334
bedding,5,0.0,-1.150222006
bike,4,0.0,-0.39484599749999993
blanket,2,0.0,-1.13385395
blogger,2,0.0,-1.098975245
board,4,0.0,-1.0146054975
book,3,0.0,-0.29989429
bottle,2,0.0,-0.5674848549999999
bowl,2,0.0,-1.066033475
bread,3,0.0,-1.1457240166666667
broadcaster,2,0.0,-1.18373872
building,2,0.0,-0.7401839100000001
bus,3,0.0,-1.0674190533333332
busboy,5,0.0,-1.105273396
businessman,3,0.0,-1.3060696866666666
businesswoman,3,0.0,-1.2050884666666668
butcher,4,0.0,-1.082173805
cake,3,0.0,-1.4867935133333334
cameraman,2,0.0,-0.85302072
camper,2,0.0,-1.31493185
canvas,4,0.0,-1.0825829275
captain,3,0.0,-0.9746099566666667
car,12,0.0,-0.8584718791666667
cardboard,4,0.0,-0.963932465
carpet,3,0.0,-0.9164441166666667
carver,7,0.0,-0.9635868257142858
caterer,3,0.0,-1.4657598300000003
cd,3,0.0,-0.9072112099999999
cellist,2,0.0,-0.8156194649999999
cello,2,0.0,-0.5181255600000001
chauffeur,3,0.0,-1.2611820999999999
chef,10,0.0,-0.8941833370000001
choreography,1,0.0,-0.69562353
clarinet,2,0.0,-0.3350868749999999
clarinetist,2,0.0,-0.55345724
clay,6,0.0,-1.1167211283333331
cleaner,5,0.0,-0.904405216
clerk,2,0.0,-1.08671096
cloth,8,0.0,-0.7218721499999999
coat,2,0.0,-0.935242625
code,2,1.0,0.030850344999999897
comedian,1,0.0,-1.2235563
concerto,1,0.0,-0.16447774
confectioner,3,0.0,-1.3321501400000002
