verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.0,1.0,0.5714285714285714,-0.9356087422222222,-1.524750979583333
carves,20,28,0.0,1.0,0.5833333333333334,-0.7394745795,-0.9196749703571426
cleans,21,33,0.0,1.0,0.6111111111111112,-1.0031056095238096,-1.1125261721212123
cooks,12,33,0.0,1.0,0.7333333333333333,-0.8382623383333333,-1.1992722193939394
cuts,16,24,0.0,1.0,0.6,-0.713896995625,-0.9843460691666666
drives,9,27,0.0,1.0,0.75,-0.9119551077777778,-1.0666387440740743
embroiders,12,16,0.0,1.0,0.5714285714285714,-0.9393773083333334,-1.0485960018750002
flies,12,12,0.0,1.0,0.5,-0.7571357266666666,-0.9389983308333334
knits,20,15,0.0,1.0,0.42857142857142855,-1.063411296,-0.941273494
packs,16,24,0.0,1.0,0.6,-1.004173821875,-1.1801617545833334
paints,20,28,0.0,1.0,0.5833333333333334,-0.7975155605,-1.0558657417857142
performs,7,6,0.0,1.0,0.46153846153846156,-0.7460438985714285,-0.9206570816666666
photographs,4,14,0.0,1.0,0.7777777777777778,-0.5539212500000001,-0.7946742614285716
plays,14,12,0.0,1.0,0.46153846153846156,-0.5659217171428572,-0.6819831183333332
reads,14,20,0.0,1.0,0.5882352941176471,-0.7482409114285715,-0.8737971369999998
sculpts,15,15,0.0,1.0,0.5,-0.8628474066666667,-1.0049955866666667
sells,27,45,0.0,1.0,0.625,-0.9441145407407409,-0.8924155231111112
sews,12,8,0.0,1.0,0.4,-0.9319159191666668,-0.89618108
shaves,6,9,0.0,1.0,0.6,-0.8063244783333333,-1.0187250655555558
stitches,20,28,0.0,1.0,0.5833333333333334,-1.0790333445,-1.278658785714286
turns,16,28,0.0,1.0,0.6363636363636364,-0.82550303625,-0.8151206396428569
washes,8,18,0.0,1.0,0.6923076923076923,-1.11307405125,-1.28173376
writes,24,10,0.0,1.0,0.29411764705882354,-0.7535018495833333,-0.8603416429999999
