noun,avg_LL_delta
abstract,0.1716566599999999
actor,-0.0745287
aircraft,0.1242023000000001
album,-0.3261310599999999
animal,-0.0828527399999999
announcer,0.4164039499999999
artisan,1.01654576
artist,0.4769139499999999
author,0.5585206
aviator,0.55528766
backpack,-0.7448057000000001
backpacker,-0.38884405
bag,-0.56939064
baker,0.3258683
barber,-0.19590306
basket,-0.84288793
beard,-0.26114035
bedding,-0.78811878
bike,-0.4972594
blanket,-0.5848744000000001
blogger,0.1490861
board,-0.5371663600000001
book,-0.37309133
bottle,-0.6514529600000001
bowl,-0.50062945
bread,-0.5338201
broadcaster,0.2969554
building,0.0128454
bus,-0.6012611
busboy,-0.1252822599999999
businessman,0.29119206
businesswoman,0.5976808499999999
butcher,0.42647755
cake,-0.22537664
cameraman,0.25736465
camper,-0.22074295
canvas,-0.0815285
captain,0.2165443999999999
car,-0.0427457999999999
cardboard,-0.4670155
carpet,-0.6410171
carver,-0.01023549
caterer,-0.0624962
cd,-0.2438039599999999
cellist,0.2690332999999999
cello,-0.5600763999999999
chauffeur,0.16749256
chef,0.35937555
choreography,0.39114439
clarinet,-0.0595498599999999
clarinetist,0.50456327
clay,-0.09732814
cleaner,0.3335857999999999
clerk,0.3077507
cloth,-0.2654708
coat,-0.3727454999999999
code,-0.2250079999999999
comedian,0.2353737999999999
concerto,0.2825101
confectioner,0.6293181799999998
container,-0.28246496
convertible,0.2093299
cook,0.18519586
cotton,-0.1720608999999999
countertop,-0.3865317
crate,-0.5363690999999999
cushion,-0.7143546700000001
cut,-0.12743154
dancer,0.1223189399999999
dealer,0.5016851600000001
dish,-0.22596195
doctor,0.7088756300000001
dough,0.20019889
dressmaker,0.82998292
driver,0.02308655
drug,0.0697269
drummer,0.2077843999999999
duffle,-0.5720934299999999
essay,-0.0920168499999999
essayist,0.7584685
fabric,-0.1153570299999999
fillet,-0.66642122
fish,-0.3124520699999999
floor,-0.7781117400000002
flute,-0.1669053999999999
flutist,0.5401585
food,-0.3268575999999999
gem,-0.4891395
glass,-0.14585164
hairdresser,0.50150677
handle,0.1624666499999999
hat,-0.34717465
herb,-0.14268529
hiker,-0.2080973
housekeeper,0.2998717000000001
ice,-0.5079764000000001
illustrator,0.6095717300000001
ingredient,0.1508197399999999
instrument,-0.01063203
item,-0.3655680999999999
jacket,-0.2792167399999999
janitor,0.2709021699999999
jet,-0.2498574
jeweler,0.30683616
jewelry,-0.36704158
journalist,0.0732268999999999
kite,-0.0849317899999999
knob,-0.28905541
lady,0.0645083399999999
lake,-0.5840262999999999
landscape,0.0819602
letter,-0.7742233700000001
line,-0.5727900500000002
lotion,-0.2697067000000001
lunchbox,-0.5643982000000001
machine,0.21306603
magazine,-0.25501795
maid,0.01047666
make,0.2332477999999999
man,0.1683348599999999
marble,-0.4066193999999999
mason,0.8085219
material,0.04692835
meat,-0.5806389
mirror,-0.4023548
model,-0.0569191
motorcycle,-0.2386408
motorist,0.2516784999999999
mountain,-0.30538643
mover,0.1072395
mushroom,-0.59277865
musician,0.5019960699999999
narrator,1.03009423
notetaker,1.06082904
novel,0.26405036
novelist,0.9190655
orator,0.23630899
packaging,0.13292755
painter,0.4602293999999999
panel,-0.11300655
paper,-0.2730106999999999
passage,0.0090817699999999
pastry,-0.1897603
patissier,0.5966218399999998
pattern,0.1251647599999999
peddler,0.4039543999999999
pepper,-0.5959729
person,0.38478294
photographer,0.4597766
pianist,0.33859375
piano,-0.1989067399999999
pie,-0.39273071
pilot,0.0679407699999999
pizza,-1.0389823699999998
plane,-0.45032416
poem,0.4984322
poet,0.5742301999999999
portraitist,0.4370506
pot,-0.27247238
potato,-0.5869913999999999
potter,0.4248801999999999
product,0.14644605
professor,0.5712088999999999
proposal,0.0771851999999999
pumpkin,0.03709412
quilt,-0.3942437
racer,0.1558720999999999
report,-0.3452831
roadtripper,-0.09798804
routine,0.2229332
salesman,0.3698768
saleswoman,0.3807563699999999
salmon,-0.43508926
scene,0.0958685899999999
screw,0.0732732999999999
scribe,0.5695970000000001
script,-0.0688824299999999
sculptor,0.5103208
seamster,0.8953153200000001
seamstress,0.79530338
section,-0.39492916
shirt,-0.31238935
shopkeeper,0.30957424
sideburn,-0.2504206399999999
silk,-0.0858877999999999
silverware,0.0466283299999999
singer,0.1872050599999999
snack,-0.1501705399999999
soloist,0.5232538
sonata,0.5551719
song,0.1692764799999999
steak,-0.7987786000000001
stone,-0.3920479
stubble,-0.2126466
student,0.46497675
suitcase,-0.8520515
surface,-0.4392862699999998
surgeon,1.1604224799999998
suv,0.4654696
tailor,0.6741514799999999
tank,0.04032051
teacher,0.4425658999999999
telemarketer,0.1081755499999999
tent,-0.6297581400000001
thread,-0.18128853
toy,-0.19924939
tractor,0.1071137999999999
trader,0.07827826
traveller,-0.1716978999999999
truck,-0.1875668999999999
tub,-0.0090750999999998
tuna,-0.59283453
turkey,-0.31754506
upholsterer,0.5521763000000001
valve,0.18148546
van,-0.2660616999999999
vegetable,-0.0112364999999999
vehicle,0.20845656
verse,0.2679107
view,-0.31646857
violin,-0.5031332
violinist,0.1027044999999999
waiter,-0.0611496
waitress,-0.04072184
wall,-0.7229757600000001
window,-0.2079290999999999
windshield,0.0249367
woman,0.1852538999999999
wood,-0.0803075
wool,-0.4759320699999999
worker,0.25191405
wound,-0.19263794
yarn,-0.2045707
