verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.1111111111111111,1.0,0.6190476190476191,-0.6104368572222222,-2.361962289333333
carves,20,28,0.65,1.0,0.8541666666666666,0.249979513,-1.5492720971428569
cleans,21,33,0.23809523809523808,1.0,0.7037037037037037,-0.48576345142857147,-1.5704746836363637
cooks,12,33,0.5,1.0,0.8666666666666667,-0.2505728466666667,-2.3798745029090904
cuts,16,24,0.5625,1.0,0.825,0.09691095437500002,-1.1501892550000001
drives,9,27,0.1111111111111111,1.0,0.7777777777777778,-0.5714967022222223,-1.329492212962963
embroiders,12,16,0.4166666666666667,1.0,0.75,-0.4217450308333333,-2.0831393650625003
flies,12,12,0.16666666666666666,1.0,0.5833333333333334,-0.5903571841666666,-1.442834420833333
knits,20,15,0.0,1.0,0.42857142857142855,-1.3229171650000002,-2.519880594266666
packs,16,24,0.0,1.0,0.6,-1.3517590071875,-2.426765928833334
paints,20,28,0.4,1.0,0.75,-0.25774212449999995,-2.2905423330357144
performs,7,6,0.14285714285714285,1.0,0.5384615384615384,-0.4098030314285714,-1.122164625
photographs,4,14,0.5,1.0,0.8888888888888888,0.030026817499999962,-2.2886614414285718
plays,14,12,0.14285714285714285,1.0,0.5384615384615384,-0.41534250285714286,-1.05282194
reads,14,20,0.07142857142857142,1.0,0.6176470588235294,-0.6272132728571427,-2.1636406202500007
sculpts,15,15,0.8,1.0,0.9,0.42745073533333333,-1.4102369019999998
sells,27,45,0.2962962962962963,1.0,0.7361111111111112,-0.3545908807407408,-1.849986588866666
sews,12,8,0.16666666666666666,1.0,0.5,-0.8104547074999999,-2.2354114225
shaves,6,9,0.5,1.0,0.8,-0.14419923166666668,-1.6796600511111113
stitches,20,28,0.5,1.0,0.7916666666666666,-0.3339934885,-1.8827999282142858
turns,16,28,0.125,1.0,0.6818181818181818,-0.782325074375,-1.3214581757142858
washes,8,18,0.0,1.0,0.6923076923076923,-1.2450442449999999,-1.968335761111111
writes,24,10,0.2916666666666667,1.0,0.5,-0.3371607416666665,-1.37005936
