verb,overall_acc,avg_LL_delta
bakes,0.40476190476190477,-0.15268879928571424
carves,0.7083333333333334,0.4859058210416667
cleans,0.2962962962962963,-0.3227763887037037
cooks,0.26666666666666666,-0.21086346911111115
cuts,0.575,0.35437489075
drives,0.8611111111111112,0.5283662333333333
embroiders,0.32142857142857145,-0.32551232142857145
flies,0.875,0.8204920270833335
knits,0.2571428571428571,-0.27334835571428573
packs,0.075,-1.0322448067499999
paints,0.3541666666666667,-0.11913232625000005
performs,0.0,-0.563077323076923
photographs,0.2222222222222222,-0.6420481905555556
plays,0.6153846153846154,0.0910318046153846
reads,0.29411764705882354,-0.6474401967647058
sculpts,0.8,0.7535985463333336
sells,0.3611111111111111,-0.1548519966666666
sews,0.45,-0.07237228400000001
shaves,0.4,-0.09583737200000005
stitches,0.4583333333333333,-0.06448340749999999
turns,0.5454545454545454,0.19524650386363646
washes,0.07692307692307693,-0.9569292826923075
writes,0.5294117647058824,0.25213784529411765
