noun,semantic role,gpt3-davinci_acc,gpt3-davinci_avg_LL_delta,gpt3-babbage_acc,gpt3-babbage_avg_LL_delta,text-davinci-001_acc,text-davinci-001_avg_LL_delta,bloom-1b1_acc,bloom-1b1_avg_LL_delta,bloom-3b_acc,bloom-3b_avg_LL_delta,gpt2-x_acc,gpt2-x_avg_LL_delta,bloom-560m_acc,bloom-560m_avg_LL_delta,gpt3-ada_acc,gpt3-ada_avg_LL_delta,gpt3-curie_acc,gpt3-curie_avg_LL_delta,text-davinci-003_acc,text-davinci-003_avg_LL_delta,gpt2-medium_acc,gpt2-medium_avg_LL_delta,gpt2-xl_acc,gpt2-xl_avg_LL_delta,bloom-1b7_acc,bloom-1b7_avg_LL_delta,text-ada-001_acc,text-ada-001_avg_LL_delta,gpt2-large_acc,gpt2-large_avg_LL_delta,text-curie-001_acc,text-curie-001_avg_LL_delta,text-babbage-001_acc,text-babbage-001_avg_LL_delta,bloom-7b1_acc,bloom-7b1_avg_LL_delta
abstract,patient,1.0,-1.908965965,1.0,-1.9181338,1.0,-2.2171556025,0.0,0.28125,1.0,-2.09393310546875,0.5,0.0121994018554687,1.0,-0.9998779296875,1.0,-3.39966368,1.0,-0.813883825,1.0,-17.6859700538,1.0,-1.9515838101506235,1.0,-2.2259760200977325,0.0,0.265625,1.0,-3.9699205835,1.0,-0.4287920296192168,1.0,-2.097584487,0.0,0.67698247,0.5,0.03125
actor,agent,0.0,-0.6317995299999999,0.0,-1.35586727,1.0,7.879047061,1.0,0.484375,0.0,-1.5782470703125,1.0,2.0531386584043503,0.0,-0.99951171875,0.0,-2.1548231,0.0,-0.6826362800000001,1.0,15.3512479826,0.0,-1.2011719048023224,0.0,-1.6922407448291772,1.0,0.40625,1.0,3.248017335,1.0,0.9808883666992188,0.0,-1.91013129,0.0,-1.33744621,1.0,0.296875
aircraft,patient,1.0,-1.0852314933333334,1.0,-2.20015383,0.0,5.7401747641666665,0.0,0.9010416666666666,1.0,-1.4372151692708333,0.0,0.7566553751627604,1.0,-1.25,1.0,-4.251926173333334,1.0,-0.9292876133333332,0.0,8.7394615327,1.0,-1.83876034617424,1.0,-2.0621302376190824,1.0,-0.4375813802083333,0.3333333333333333,1.09893381,1.0,-0.3951826095581054,1.0,-2.2292957766666666,1.0,-1.435061666666667,0.0,0.3645833333333333
album,patient,1.0,-2.02630944,1.0,-1.8750538866666664,0.0,2.505979169333333,0.0,0.1875,1.0,-1.8122965494791667,0.0,1.0067520042260487,1.0,-1.1665852864583333,1.0,-5.229263424,1.0,-0.84035559,1.0,-16.52152546426667,1.0,-2.0219217538833623,1.0,-2.006601611773173,1.0,-1.0311686197916667,1.0,-5.789025733999999,0.0,0.2403507232666014,1.0,-2.9683702933333334,1.0,-1.348822813333333,0.0,0.28125
animal,patient,1.0,-2.27235301,1.0,-2.2532958675000003,0.0,1.896030817,0.0,0.3359375,1.0,-2.124176025390625,1.0,-0.3919410705566406,1.0,-1.50018310546875,1.0,-5.2506123,1.0,-0.467501695,1.0,-17.7249037748,1.0,-1.7690163403749462,1.0,-1.9805360361933708,1.0,-0.4217529296875,1.0,-8.844712226350001,1.0,-0.4669704735279083,1.0,-2.520708875,1.0,-3.6297873,0.0,0.09375
announcer,agent,0.0,-0.82663633,0.0,-1.49338036,1.0,9.3957668487,0.0,-0.0703125,0.0,-1.42193603515625,1.0,1.6234436333179472,0.0,-0.25,0.0,-1.67943565,0.0,-0.724486295,1.0,14.30850970458,0.0,-0.9197082668542862,0.0,-1.88471519201994,1.0,0.421875,1.0,4.09968301,0.5,0.0195727348327636,0.0,-1.797808475,0.0,-2.7259624375,1.0,0.5389404296875
artisan,agent,1.0,0.3750946025,0.0,-1.30104888,1.0,8.7470920001,0.0,-0.2890625,0.0,-1.316436767578125,1.0,1.4386100769042969,0.0,-1.1873779296875,0.0,-2.69910542,0.0,-0.94023371,1.0,13.950384342675,0.0,-1.3582934886217115,0.0,-2.25245431996882,1.0,0.40625,0.75,1.0901418825,1.0,0.7424709647893906,0.0,-2.8162440415,0.0,-3.0287554092500004,1.0,0.7421875
artist,agent,0.25,-0.375109305,0.0,-1.6074337975,1.0,6.7165640262,0.75,0.046875,0.0,-1.4962158203125,0.5,0.0974597930908203,0.0,-1.874786376953125,0.0,-2.5275486000000003,0.0,-0.7979926700000002,1.0,15.097250895435,0.0,-1.567455280572176,0.0,-1.7739839926362038,1.0,0.39837646484375,1.0,2.156103625,1.0,0.7846779748797417,0.0,-2.9247082200000003,0.0,-3.8702003425,1.0,0.40625
author,agent,0.5,-0.024309665,0.0,-1.55935476,1.0,9.38603417035,1.0,0.5626220703125,0.0,-1.593505859375,1.0,0.6074867248535156,0.0,-1.25,0.0,-1.907806335,0.0,-0.43148705,1.0,15.392071776775,0.0,-0.5053023993968964,0.0,-1.16012142598629,1.0,0.5941162109375,1.0,0.74994815,1.0,1.343556858599186,0.0,-3.051753878,0.0,-1.82570259,1.0,0.7738037109375
aviator,agent,0.3333333333333333,-0.2397571933333333,0.0,-1.34878021,1.0,7.347841161333332,1.0,0.8855794270833334,0.0,-0.77099609375,1.0,1.3146693507830305,0.0,-1.3332926432291667,0.0,-3.3231017883333336,0.0,-0.6259937166666667,1.0,15.3368908208,0.0,-2.109481781721115,0.0,-1.9027478744586308,1.0,0.5208333333333334,0.6666666666666666,0.5072764533333333,1.0,0.4911279777685801,0.0,-2.3624293716666664,0.0,-1.4296991433333333,1.0,0.578125
backpack,patient,1.0,-2.20814899,1.0,-2.4727411230000005,0.5,0.78573693,0.0,0.0625,1.0,-1.9378662109375,0.0,0.7375907897949218,1.0,-1.75030517578125,1.0,-4.510156424,1.0,-1.1876658999999998,0.0,4.5810700123,1.0,-2.494110140949488,1.0,-2.1639236994087696,1.0,-0.765869140625,1.0,-2.293054263,1.0,-1.386113628745079,1.0,-2.408160167,1.0,-2.1522303450000004,0.0,0.3203125
backpacker,agent,0.0,-1.736466815,0.0,-1.96781342,1.0,1.64220452,1.0,0.1484375,0.0,-1.49200439453125,1.0,0.8522262573242189,0.0,-1.62530517578125,0.0,-3.442690203,0.0,-0.99347395,1.0,12.120516347075,0.0,-1.5490723103284836,0.0,-2.165374767035246,1.0,0.234375,0.5,-0.260140445,0.5,-0.174077033996582,0.0,-3.06500141,0.0,-3.7414931425,1.0,0.3046875
bag,patient,1.0,-2.72228681,1.0,-2.664559275,0.0,0.969231855,1.0,-0.078125,1.0,-2.17974853515625,0.0,0.3937950134277342,1.0,-1.375244140625,1.0,-5.988608340999999,1.0,-1.08812996,1.0,-3.49778669865,1.0,-2.4479599595069885,1.0,-2.3629860766232014,1.0,-1.015380859375,1.0,-5.9622506205,1.0,-1.9175462573766708,1.0,-2.4308184375,1.0,-2.480579415,0.0,0.390625
baker,agent,0.5,-0.2527332283333333,0.0,-2.1321391333333337,1.0,4.425256963816667,0.1666666666666666,-0.09375,0.0,-1.3409016927083333,1.0,1.2449022978544235,0.0,-1.2500813802083333,0.0,-4.645031384333333,0.0,-0.80658847,1.0,15.136790425491668,0.0,-1.3837814082702,0.0,-2.396867476403713,1.0,0.3177083333333333,0.0,-3.542070298666667,1.0,1.0794272447625797,0.0,-3.92694908525,0.0,-4.1582123871666665,0.8333333333333334,0.3020426432291667
