noun,num_counts,accuracy,avg_LL_delta
abstract,2,0.0,-6.587266596999999
actor,1,1.0,4.05381259
aircraft,3,0.0,-1.7767755733333335
album,3,0.0,-4.943779428
animal,2,0.0,-10.189914202299999
announcer,2,1.0,4.43857752
artisan,4,0.0,-4.85203952
artist,4,0.0,-1.8909391350000002
author,2,1.0,0.28116558499999994
aviator,3,0.0,-3.5770026330000007
backpack,2,0.0,-9.983233387950001
backpacker,2,0.0,-2.881437665
bag,2,0.0,-12.0538313829
baker,6,0.0,-6.871952804483333
barber,7,0.14285714285714285,-2.6290294170000004
basket,2,0.0,-13.107286352795
beard,3,0.0,-10.4235864938
bedding,5,0.0,-1.0830924199999998
bike,4,0.0,-7.515324496825
blanket,2,0.0,-9.19589380525
blogger,2,0.0,-6.115411975000001
board,4,0.0,-3.0856464125
book,3,0.0,-3.1011277033333333
bottle,2,0.0,-4.582187115
bowl,2,0.0,-7.57288616285
bread,3,0.0,-11.143384689933333
broadcaster,2,0.5,-1.2621104450000002
building,2,0.0,-3.4475562500000003
bus,3,0.0,-3.414661402566667
busboy,5,0.0,-2.1057243970000004
businessman,3,1.0,2.5679747
businesswoman,3,0.0,-3.6118326133333327
butcher,4,0.5,-1.0947120099999998
cake,3,0.0,-14.047218480666666
cameraman,2,0.0,-1.62991755
camper,2,0.0,-1.3798487449999999
canvas,4,0.0,-9.6604738175
captain,3,0.0,-2.9359290000000002
car,12,0.0,-3.3762659274166666
cardboard,4,0.0,-8.06360987715
carpet,3,0.3333333333333333,-0.5463171833333332
carver,7,0.0,-7.070168453357141
caterer,3,0.0,-9.187340319
cd,3,0.0,-7.803397373333333
cellist,2,0.0,-8.069569115
cello,2,0.0,-12.130491129949998
chauffeur,3,1.0,2.136654436666667
chef,10,0.2,-2.939815602
choreography,1,1.0,0.9043713800000002
clarinet,2,0.0,-10.12516384205
clarinetist,2,0.0,-5.909463968
clay,6,0.0,-10.442791725518333
cleaner,5,0.8,1.23554514
clerk,2,0.0,-2.5499967650000004
cloth,8,0.0,-9.035166507425
coat,2,0.0,-8.9354012115
code,2,0.0,-5.315624137
comedian,1,0.0,-2.1186723
concerto,1,0.0,-2.78542121
confectioner,3,0.0,-11.456945998633332
container,2,0.0,-13.8199068875
convertible,3,0.0,-6.327004541333333
cook,6,0.0,-10.973181083466665
cotton,4,0.0,-12.7336105916875
countertop,3,0.0,-2.8445193126666664
crate,2,0.0,-10.00866554645
cushion,4,0.0,-10.397745300462502
cut,4,0.0,-8.589660150324999
dancer,1,0.0,-7.385127578
dealer,3,1.0,2.7661545333333333
dish,2,0.0,-7.8090062188500005
doctor,2,0.0,-4.24326515
dough,3,0.0,-13.109229387666666
dressmaker,4,0.0,-4.4486387825
driver,7,0.5714285714285714,0.6564622714285715
drug,3,0.3333333333333333,-1.3502601
drummer,2,0.0,-5.5490727075
duffle,2,0.0,-5.929581253
essay,4,0.0,-5.0575239995
essayist,2,0.0,-2.7870792074999997
fabric,20,0.0,-7.681285053295001
fillet,3,0.0,-12.468511290116666
fish,3,0.0,-11.337485467773334
floor,3,0.3333333333333333,-0.046539019999999987
flute,2,0.0,-11.509924288099999
flutist,2,0.0,-9.964867111250001
food,2,0.0,-9.4382729278
gem,4,0.0,-11.18334110925
glass,4,0.0,-8.65141993935
hairdresser,7,0.8571428571428571,2.241469871857143
handle,4,0.5,-1.7895155897500001
hat,3,0.0,-8.741047376733333
herb,3,0.0,-13.484416760613334
hiker,2,0.0,-3.5948822619999996
housekeeper,3,0.0,-4.488151443333333
ice,7,0.0,-12.243810691125715
illustrator,4,0.0,-3.2950002864999997
ingredient,3,0.0,-4.926489866
instrument,2,0.0,-13.3641209711
item,3,0.0,-1.8051681333333336
jacket,2,0.0,-9.214146542
janitor,3,1.0,1.0411376333333335
jet,3,0.0,-7.557715415600001
jeweler,4,0.0,-2.98713248
jewelry,3,0.0,-2.74943925
journalist,2,0.0,-4.980101830000001
kite,3,0.0,-10.108798683066667
knob,4,0.0,-5.8743131459999995
lady,5,0.0,-14.196810279390002
lake,2,0.0,-7.38028630885
landscape,2,0.0,-6.158891834
letter,2,0.0,-7.605637303
line,2,0.0,-6.5096909499999995
lotion,3,0.0,-5.825303719333333
lunchbox,2,0.0,-9.083734565050001
machine,8,0.0,-5.3916739332875
magazine,3,0.0,-2.9766996433333337
maid,5,0.0,-5.0848192472000004
make,3,0.0,-3.4643395766666667
man,5,0.6,-0.36897038080000005
marble,3,0.0,-7.484432051166667
mason,3,0.0,-9.165629146633334
material,4,0.0,-9.8888711935
