verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.0,1.0,0.5714285714285714,-4.979758728283333,-8.509496208687084
carves,20,28,0.3,1.0,0.7083333333333334,-1.7331918837500002,-6.868984704174286
cleans,21,33,0.47619047619047616,0.9393939393939394,0.7592592592592593,-1.2384679683809523,-2.7526919636696974
cooks,12,33,0.0,0.9696969696969697,0.7111111111111111,-4.3859532556083325,-5.074668990519998
cuts,16,24,0.625,0.9583333333333334,0.825,1.1639231828749999,-3.203308886420833
drives,9,27,0.5555555555555556,0.4074074074074074,0.4444444444444444,-1.2624593700000002,0.16857565692592594
embroiders,12,16,0.08333333333333333,1.0,0.6071428571428571,-2.6141010138333334,-6.844959478437499
flies,12,12,0.3333333333333333,0.8333333333333334,0.5833333333333334,-2.0240806283333335,-2.611974752683333
knits,20,15,0.15,1.0,0.5142857142857142,-5.274310675724999,-7.299029883898666
packs,16,24,0.3125,1.0,0.725,-0.9073532062499999,-4.4263784722083335
paints,20,28,0.3,1.0,0.7083333333333334,-2.8910755365,-5.923343989982858
performs,7,6,0.14285714285714285,0.5,0.3076923076923077,-1.6319797431428569,-0.8542069201666668
photographs,4,14,0.75,0.9285714285714286,0.8888888888888888,0.12347865000000001,-5.662366613092858
plays,14,12,0.07142857142857142,1.0,0.5,-3.8409826109285703,-7.991225824283333
reads,14,20,0.35714285714285715,1.0,0.7352941176470589,-2.044874393357143,-5.069180233240001
sculpts,15,15,0.2,1.0,0.6,-4.46894484102,-6.187693671093333
sells,27,45,0.5925925925925926,0.7111111111111111,0.6666666666666666,0.9184153974074074,-1.8904644255111114
sews,12,8,0.16666666666666666,1.0,0.5,-1.2023641140833332,-6.1450854180875005
shaves,6,9,1.0,1.0,1.0,3.234702046666667,-1.6659357035555555
stitches,20,28,0.25,1.0,0.6875,-0.6698640636000001,-6.745778688078569
turns,16,28,0.1875,0.6071428571428571,0.45454545454545453,-0.9991901360625,-0.6012177877142857
washes,8,18,0.625,0.7222222222222222,0.6923076923076923,2.03825314925,-1.4749224619166668
writes,24,10,0.16666666666666666,1.0,0.4117647058823529,-3.318057847270832,-3.1848704075
