verb,overall_acc,avg_LL_delta
bakes,0.0,-11.337240458862144
carves,0.0,-7.728783664635626
cleans,0.25925925925925924,-1.905420966620371
cooks,0.0,-10.444817525499113
cuts,0.225,-3.66085221426
drives,0.1111111111111111,-3.766926910461111
embroiders,0.0,-7.402140760406786
flies,0.0,-5.013402953375
knits,0.08571428571428572,-8.418894630897142
packs,0.0,-7.009930568877249
paints,0.0,-6.765616688270832
performs,0.38461538461538464,-3.0138680822307693
photographs,0.0,-6.107750541350001
plays,0.0,-9.293016818142307
reads,0.08823529411764706,-4.282174585991177
sculpts,0.0,-7.482278089613666
sells,0.2222222222222222,-2.6004069248000006
sews,0.0,-6.380593680395
shaves,0.13333333333333333,-4.951516371173333
stitches,0.14583333333333334,-5.952104353478126
turns,0.13636363636363635,-3.6580141890090916
washes,0.07692307692307693,-3.899595637226923
writes,0.058823529411764705,-4.207023095720587
