noun,num_counts,accuracy,overlap,avg_LL_delta
abstract,2,0.0,0.0,0.67698247
actor,1,0.0,1.0,-1.33744621
aircraft,3,1.0,1.0,-1.4350616666666667
album,3,1.0,1.0,-1.3488228133333333
animal,2,1.0,1.0,-3.6297873000000003
announcer,2,0.0,1.0,-2.7259624375
artisan,4,0.0,1.0,-3.0287554092500004
artist,4,0.0,1.0,-3.8702003425000004
author,2,0.0,1.0,-1.8257025900000001
aviator,3,0.0,1.0,-1.4296991433333333
backpack,2,1.0,1.0,-2.1522303450000004
backpacker,2,0.0,1.0,-3.7414931425
bag,2,1.0,1.0,-2.4805794150000002
baker,6,0.0,1.0,-4.1582123871666665
barber,7,0.0,1.0,-3.653182829857143
basket,2,1.0,1.0,-2.5847448
beard,3,1.0,1.0,-3.7311224406666668
bedding,5,1.0,1.0,-1.230128872
bike,4,1.0,1.0,-2.382783688
blanket,2,1.0,1.0,-1.9008111075
blogger,2,0.0,1.0,-3.7991504465
board,4,1.0,1.0,-3.07407471175
book,3,1.0,1.0,-0.6652679066666667
bottle,2,1.0,1.0,-1.51228434
bowl,2,1.0,1.0,-1.318184835
bread,3,1.0,1.0,-3.345332886333333
broadcaster,2,0.0,1.0,-3.602918679
building,2,1.0,1.0,-0.842352925
bus,3,1.0,1.0,-1.6275099666666666
busboy,5,0.0,1.0,-3.3720767705999997
businessman,3,0.0,1.0,-0.9909114733333334
businesswoman,3,0.0,1.0,-2.09560337
butcher,4,0.0,1.0,-3.4263340172500003
cake,3,1.0,1.0,-3.894721729333334
cameraman,2,0.0,1.0,-3.6168415449999998
camper,2,0.0,1.0,-3.490407783
canvas,4,1.0,1.0,-3.14390435225
captain,3,0.0,1.0,-2.4595927566666664
car,12,1.0,1.0,-1.28750684
cardboard,4,1.0,1.0,-3.25884952425
carpet,3,1.0,1.0,-1.9001781653333332
carver,7,0.0,1.0,-3.4927420422857147
caterer,3,0.0,1.0,-3.6573785116666664
cd,3,1.0,1.0,-1.8848669866666665
cellist,2,0.0,1.0,-3.9905382095
cello,2,1.0,1.0,-2.9207024219999997
chauffeur,3,0.0,1.0,-1.3209889766666665
chef,10,0.0,1.0,-3.5252473517
choreography,1,1.0,1.0,-0.77162946
clarinet,2,1.0,1.0,-3.6260598975000002
clarinetist,2,0.0,1.0,-3.8348530999999997
clay,6,1.0,1.0,-3.649893543333334
cleaner,5,0.0,1.0,-2.198405558
clerk,2,0.0,1.0,-3.5720970865000004
cloth,8,1.0,1.0,-2.7308363442499997
coat,2,1.0,1.0,-2.3999041525
code,2,1.0,1.0,-1.7659399900000001
comedian,1,0.0,1.0,-2.03878096
concerto,1,1.0,1.0,-1.10142992
confectioner,3,0.0,1.0,-3.972486974666667
container,2,1.0,1.0,-1.102769915
convertible,3,1.0,1.0,-0.8759892800000001
cook,6,0.0,1.0,-3.923038861166667
cotton,4,1.0,1.0,-3.747929091875
countertop,3,1.0,1.0,-1.964127076666667
crate,2,1.0,1.0,-2.617548873
cushion,4,1.0,1.0,-3.316753266
cut,4,1.0,1.0,-1.9827803574999998
dancer,1,0.0,1.0,-2.989371453
dealer,3,0.0,1.0,-1.4647978899999998
dish,2,1.0,1.0,-1.406326325
doctor,2,0.0,1.0,-3.0565360980000005
dough,3,1.0,1.0,-2.886880139666667
dressmaker,4,0.0,1.0,-4.1711624976
driver,7,0.0,1.0,-1.4520682152857145
drug,3,1.0,1.0,-0.8058646399999999
drummer,2,0.0,1.0,-2.03187518
duffle,2,1.0,1.0,-2.265334085
essay,4,0.75,0.75,-0.38580279750000007
essayist,2,0.0,1.0,-2.362605535
fabric,20,1.0,1.0,-2.0352243343
fillet,3,1.0,1.0,-3.008807473333333
