noun,num_counts,accuracy,avg_LL_delta
abstract,2,1.0,-1.1105818699999999
actor,1,1.0,-0.6341142
aircraft,3,1.0,-0.6460503333333333
album,3,1.0,-1.0028857633333332
animal,2,1.0,-2.85461321
announcer,2,1.0,-3.360223132
artisan,4,1.0,-2.19143695
artist,4,1.0,-3.6219984782499997
author,2,1.0,-3.7254789165
aviator,3,1.0,-1.7082549966666667
backpack,2,1.0,-2.49183799
backpacker,2,1.0,-3.8432223555
bag,2,1.0,-2.366699008
baker,6,1.0,-3.560645222833333
barber,7,1.0,-4.365804346
basket,2,1.0,-3.0397317795000003
beard,3,1.0,-4.024574284666667
bedding,5,1.0,-2.463695941
bike,4,1.0,-2.1879446875
blanket,2,1.0,-2.450435
blogger,2,1.0,-5.293987374
board,4,1.0,-3.9000799365
book,3,1.0,-1.33699518
bottle,2,1.0,-2.1302136000000003
bowl,2,1.0,-1.80755743
bread,3,1.0,-2.9862270166666662
broadcaster,2,1.0,-4.0617684545
building,2,1.0,-1.2221183500000001
bus,3,1.0,-1.7084312933333334
busboy,5,1.0,-2.9475168631999997
businessman,3,1.0,-2.607674768666667
businesswoman,3,1.0,-3.069481082333333
butcher,4,1.0,-3.6993964817500005
cake,3,1.0,-3.2097024029999996
cameraman,2,1.0,-3.7401605695
camper,2,1.0,-2.821812025
canvas,4,1.0,-3.72606283475
captain,3,1.0,-2.542884153333333
car,12,1.0,-1.0946344116666664
cardboard,4,1.0,-4.138890852
carpet,3,1.0,-1.8347302700000003
carver,7,1.0,-3.685993361857143
caterer,3,1.0,-3.9905997673333338
cd,3,1.0,-1.4464635
cellist,2,1.0,-3.24513319
cello,2,1.0,-2.8779888115
chauffeur,3,1.0,-1.2251049466666666
chef,10,1.0,-3.3059183581999996
choreography,1,1.0,-1.076558
clarinet,2,1.0,-3.53277046
clarinetist,2,1.0,-3.92874165
clay,6,1.0,-3.0447784556666666
cleaner,5,1.0,-1.0722062659999998
clerk,2,1.0,-3.229283685
cloth,8,1.0,-2.920457442125
coat,2,1.0,-2.7362931550000003
code,2,1.0,-1.9546852580000003
comedian,1,1.0,-2.65687546
concerto,1,1.0,-1.63426207
confectioner,3,1.0,-3.775877164333334
container,2,1.0,-1.6884746050000001
convertible,3,1.0,-1.1573689600000001
cook,6,1.0,-2.745498436
cotton,4,1.0,-4.0599026665
countertop,3,1.0,-3.083168133666667
crate,2,1.0,-2.73152907
cushion,4,1.0,-2.7099835375
cut,4,1.0,-3.6611225138749997
dancer,1,1.0,-2.57023056
dealer,3,1.0,-2.1678653100000003
dish,2,1.0,-1.468315125
doctor,2,1.0,-3.878407222
dough,3,1.0,-2.5462979283333333
dressmaker,4,1.0,-4.9734808675
driver,7,1.0,-0.9463854542857142
drug,3,1.0,-1.1940357799999999
drummer,2,1.0,-1.80874787
duffle,2,1.0,-2.655258545
essay,4,1.0,-2.17110483075
essayist,2,1.0,-4.76972477975
fabric,20,1.0,-2.1283797773
fillet,3,1.0,-2.4414653200000003
fish,3,1.0,-2.741799878
floor,3,1.0,-1.3839629133333335
flute,2,1.0,-3.0515082840000005
flutist,2,1.0,-3.7438397675000004
food,2,1.0,-2.8327358775
gem,4,1.0,-2.0773157925000003
glass,4,1.0,-3.5517186615
hairdresser,7,1.0,-4.251873987142857
handle,4,1.0,-1.2312318725
hat,3,1.0,-2.477381391333333
herb,3,1.0,-2.498412706666667
hiker,2,1.0,-3.6218813145000004
housekeeper,3,1.0,-3.1076893833333337
ice,7,1.0,-2.7325442612857143
illustrator,4,1.0,-4.004161359249999
ingredient,3,1.0,-1.8867453433333334
instrument,2,1.0,-1.623464485
item,3,0.3333333333333333,-0.027157766666666805
jacket,2,1.0,-2.28275015
janitor,3,1.0,-2.6045099766666664
jet,3,1.0,-0.7504431166666666
jeweler,4,1.0,-3.9368767295
jewelry,3,1.0,-1.900327036666667
journalist,2,1.0,-4.661060190500001
kite,3,1.0,-3.6481172693333335
knob,4,1.0,-2.2649365972499997
lady,5,1.0,-4.0124155086
lake,2,1.0,-2.8395942625000004
landscape,2,1.0,-3.1407159289999997
letter,2,1.0,-1.676667595
line,2,1.0,-2.17278173
lotion,3,1.0,-2.8514781536666667
lunchbox,2,1.0,-3.636718497
machine,8,1.0,-3.1724726372500003
magazine,3,1.0,-2.2884823566666666
maid,5,1.0,-1.8374512008
make,3,1.0,-1.0765772333333332
man,5,1.0,-3.5437602085999997
marble,3,1.0,-2.645712841
mason,3,1.0,-4.184946286333333
material,4,1.0,-1.054170555
meat,7,1.0,-2.224122142857143
mirror,3,1.0,-2.805824756
model,2,1.0,-3.246617314
motorcycle,4,1.0,-2.0038742525
motorist,4,1.0,-2.63873264375
mountain,2,1.0,-3.5960985355000004
mover,2,1.0,-2.95878407
mushroom,3,1.0,-3.011489676
musician,3,1.0,-2.5887340266666667
narrator,2,1.0,-3.4523099475
notetaker,2,1.0,-3.5339304445
novel,3,0.6666666666666666,-0.3424923866666667
novelist,2,1.0,-4.2041608010000004
orator,2,1.0,-4.366428128500001
packaging,4,1.0,-2.3254769724999997
painter,4,1.0,-3.5353542612499997
panel,4,1.0,-2.8438618605
paper,4,1.0,-2.84655833875
passage,6,1.0,-1.3493211033333334
pastry,3,1.0,-3.2541636793333333
patissier,3,1.0,-4.355347176666666
pattern,5,1.0,-3.2067166214000005
peddler,3,1.0,-3.238871355666667
pepper,3,1.0,-3.0249135176666666
person,30,1.0,-3.4671567214000003
photographer,2,1.0,-3.7136920195
pianist,2,1.0,-3.6473573225
piano,2,1.0,-2.145283575
pie,3,1.0,-2.5692151586666667
pilot,7,1.0,-2.0341973614285718
pizza,3,1.0,-2.830216638
plane,3,1.0,-1.1029036600000002
poem,2,1.0,-2.260959042
poet,2,1.0,-4.344257052750001
portraitist,4,1.0,-5.057855367749999
pot,3,1.0,-2.7379922886666663
potato,3,1.0,-3.033640388
potter,3,1.0,-4.194108920166666
product,3,0.6666666666666666,-0.29939777666666667
professor,2,1.0,-3.896125393
proposal,2,1.0,-2.211674393
pumpkin,4,1.0,-4.323542864249999
quilt,4,1.0,-4.41753941425
racer,4,1.0,-1.96888609
report,2,1.0,-2.08668377
roadtripper,2,1.0,-3.3552370575
routine,1,1.0,-0.5638722999999999
salesman,3,1.0,-2.715525816
saleswoman,3,1.0,-2.842223956
salmon,3,1.0,-2.722154699666667
scene,1,1.0,-1.06568226
screw,4,1.0,-3.17285512175
scribe,2,1.0,-4.1538953655
script,2,1.0,-1.926873
sculptor,7,1.0,-3.8581464961428575
seamster,8,1.0,-3.6918499144375003
seamstress,4,1.0,-4.1588689205
section,2,1.0,-1.508354725
shirt,2,1.0,-2.03334274
shopkeeper,3,1.0,-3.7423759496666666
sideburn,3,1.0,-5.211094408
silk,4,1.0,-3.8175296850000002
silverware,3,1.0,-2.5843777993333332
singer,1,1.0,-2.05754362
snack,3,1.0,-2.790923540666667
soloist,1,1.0,-3.257563547
sonata,1,1.0,-3.304175847
song,1,1.0,-1.3301067
steak,7,1.0,-2.689192805
stone,7,1.0,-2.849297043
stubble,3,1.0,-4.113837898333333
student,4,1.0,-3.07611272475
suitcase,2,1.0,-2.45988944
surface,7,1.0,-1.5202482757142857
surgeon,4,1.0,-3.7480502113750003
suv,6,1.0,-1.4360532333333331
tailor,12,1.0,-4.151200672800001
tank,3,1.0,-1.02168367
teacher,2,1.0,-3.3452750445
telemarketer,3,1.0,-2.5746065166666665
tent,2,1.0,-2.9161418625
thread,4,1.0,-2.5797260685
toy,3,1.0,-2.6139570190000003
tractor,3,1.0,-1.3178030166666665
trader,3,1.0,-2.3765423133333337
traveller,2,1.0,-3.5220835935
truck,3,1.0,-0.9226486700000001
tub,2,1.0,-2.2360728400000003
tuna,3,1.0,-3.0261082569999993
turkey,4,1.0,-5.277786285175001
upholsterer,4,1.0,-4.3475558442499995
valve,4,1.0,-2.0816153175
van,3,1.0,-1.54441634
vegetable,3,1.0,-2.1953642353333334
vehicle,3,0.6666666666666666,-0.08726759000000002
verse,2,1.0,-1.56858449
view,2,1.0,-2.211389285
violin,2,1.0,-2.50588229
violinist,2,1.0,-3.6795766855
waiter,3,1.0,-3.4337412759999997
waitress,3,1.0,-3.2368823863333334
wall,4,1.0,-2.9709019985
window,3,1.0,-1.3422821733333332
windshield,5,1.0,-1.16254118
woman,5,1.0,-4.3522553466
wood,11,1.0,-3.013696048909091
wool,5,1.0,-3.8671550936
worker,4,1.0,-2.4777106
wound,4,1.0,-3.2039329175000004
yarn,5,1.0,-3.8239761646
